time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/std,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
4083,1,512,0,,,,,,,,,,,,,
1891,2,1024,0,0.028144946,1.000223994255066,-44.000120878219604,-0.04009672626852989,-0.11393892765045166,16,0.2,0.284912109375,0.1070771182057797,-0.03315843337622937,0.0004092704424510632,,
1624,3,1536,0,0.019058816,0.9987375140190125,-43.97041141986847,-0.037975702434778214,0.0006617307662963867,32,0.2,0.246826171875,0.002652723851497285,-0.02859975243336521,0.0004092704424510632,1223.0,-2.227714
1515,4,2048,1,0.01856712,0.9981108903884888,-43.935882568359375,-0.04050072282552719,-0.004979848861694336,48,0.2,0.2608642578125,0.004635473873349838,-0.03155581638566218,0.0004092704424510632,1223.0,-2.227714
1450,5,2560,1,0.019986222,0.9977208971977234,-43.92098093032837,-0.028561558574438095,-0.0019571781158447266,64,0.2,0.3062744140625,0.0011949137333431281,-0.028124394681071863,0.0004092704424510632,1223.0,-2.2614330000000002
1414,6,3072,2,0.015384857,0.9982577562332153,-43.91879737377167,-0.02333429455757141,-0.0031616687774658203,80,0.2,0.2537841796875,0.007881430050474592,-0.024147974705556408,0.0004092704424510632,1223.0,-2.2614330000000002
1387,7,3584,2,0.016875608,0.9989163875579834,-43.94301152229309,-0.050816699862480164,0.0006739497184753418,96,0.2,0.2574462890625,0.002302805758517934,-0.03041725093498826,0.0004092704424510632,1223.0,-2.2614330000000002
1369,8,4096,2,0.02056976,1.0002150535583496,-43.96186876296997,-0.03821245953440666,-0.00045239925384521484,112,0.2,0.270263671875,0.003270780245657079,-0.0280183205177309,0.0004092704424510632,1223.0,-2.3170040000000003
1356,9,4608,3,0.016255926,1.0015593767166138,-44.010730147361755,-0.02432120218873024,0.0011489391326904297,128,0.2,0.2047119140625,0.017725881858495995,-0.02095741906668991,0.0004092704424510632,1223.0,-2.3170040000000003
1345,10,5120,3,0.016158499,1.0014169216156006,-44.026206851005554,-0.02793433889746666,-0.0057108402252197266,144,0.2,0.178955078125,0.00164328343453235,-0.01727660428150557,0.0004092704424510632,1223.0,-2.3430595
1336,11,5632,4,0.015441997,1.0029276609420776,-44.03921043872833,-0.029345348477363586,0.003035426139831543,160,0.2,0.2628173828125,0.0253885502461344,-0.027260085247689858,0.0004092704424510632,1223.0,-2.3430595
1330,12,6144,4,0.01636577,1.0040810108184814,-44.08504569530487,-0.05583544075489044,0.012298107147216797,176,0.2,0.2628173828125,0.0017136892674898263,-0.03131964858039282,0.0004092704424510632,1223.0,-2.3114255999999997
1323,13,6656,5,0.021826874,1.0021601915359497,-44.082595229148865,-0.024388296529650688,0.0061182379722595215,192,0.2,0.259521484375,0.028016346390359104,-0.031087352719623595,0.0004092704424510632,1223.0,-2.3114255999999997
1319,14,7168,5,0.022323072,1.0006211996078491,-44.01364719867706,-0.04279491305351257,0.021708428859710693,208,0.2,0.2498779296875,0.0022475426594610326,-0.03423816589929629,0.0004092704424510632,1223.0,-2.3114255999999997
1314,15,7680,5,0.021942882,1.0002961158752441,-43.98676657676697,-0.04003725200891495,-0.01283109188079834,224,0.2,0.248046875,0.002548133641539607,-0.028605448314920068,0.0004092704424510632,1223.0,-2.2869441666666663
1310,16,8192,6,0.025734562,1.0021181106567383,-43.99996614456177,-0.010870279744267464,0.0038434863090515137,240,0.2,0.2740478515625,0.04080062988214195,-0.028635544498683885,0.0004092704424510632,1223.0,-2.2869441666666663
1305,17,8704,6,0.02388079,1.0013463497161865,-44.029825925827026,-0.036709945648908615,-0.18920910358428955,256,0.2,0.2503662109375,0.0017639170873735566,-0.02799500092805829,0.0004092704424510632,1223.0,-2.295635142857143
1300,18,9216,7,0.019023865,1.0022897720336914,-44.01854062080383,-0.007446514442563057,0.02136629819869995,272,0.2,0.23583984375,0.0471361264353618,-0.022694493149174377,0.0004092704424510632,1223.0,-2.295635142857143
1297,19,9728,7,0.019215554,1.001557469367981,-44.031161308288574,-0.037967778742313385,0.14532065391540527,288,0.2,0.226806640625,0.002095542524330085,-0.02467794477706775,0.0004092704424510632,1223.0,-2.295635142857143
1295,20,10240,7,0.023246044,1.0030887126922607,-44.03019559383392,-0.04300224781036377,-0.03887581825256348,304,0.2,0.2503662109375,0.00237290744917118,-0.031328564597060904,0.0004092704424510632,1223.0,-2.285992625
1293,21,10752,8,0.029840585,1.0029566287994385,-44.069605350494385,-0.010225687175989151,0.007361471652984619,320,0.2,0.291259765625,0.054940856411121786,-0.030143512703943998,0.0004092704424510632,1223.0,-2.285992625
1291,22,11264,8,0.013082221,1.0022790431976318,-44.04923748970032,-0.025845535099506378,-0.758175253868103,336,0.2,0.181884765625,0.002189987415476935,-0.02031861076829955,0.0004092704424510632,1223.0,-2.2834897777777776
1290,23,11776,9,0.021581687,1.0014349222183228,-44.02167248725891,-0.012058049440383911,0.009101331233978271,352,0.2,0.2171630859375,0.06636293255724013,-0.02380489702045452,0.0004092704424510632,1223.0,-2.2834897777777776
1288,24,12288,9,0.021606937,1.0013874769210815,-44.00453460216522,-0.048437945544719696,-0.5304701328277588,368,0.2,0.2359619140625,0.0018499510624678805,-0.02814201868022792,0.0004092704424510632,1223.0,-2.2769426
1287,25,12800,9,0.023732685,1.0006916522979736,-43.99219560623169,-0.008314458653330803,0.07535529136657715,384,0.2,0.2537841796875,0.08161206019576639,-0.02889902234892361,0.0004092704424510632,1223.0,-2.2769426
1286,26,13312,10,0.015874883,0.9992289543151855,-43.95759105682373,-0.02199767343699932,-0.020029544830322266,400,0.2,0.204345703125,0.0048160876394831575,-0.021733082860009745,0.0004092704424510632,1223.0,-2.2769426
1286,27,13824,10,0.024426393,0.9979843497276306,-43.913092255592346,-0.038182102143764496,-0.018634557723999023,416,0.2,0.2685546875,0.0027658298204187304,-0.031687993759987876,0.0004092704424510632,1223.0,-2.270228090909091
1285,28,14336,11,0.017945789,0.9965554475784302,-43.87386107444763,-0.001747284084558487,0.04545515775680542,432,0.2,0.221923828125,0.07239156356081367,-0.02329273783834651,0.0004092704424510632,1223.0,-2.270228090909091
1284,29,14848,11,0.019906892,0.9960746169090271,-43.84287762641907,-0.0579979233443737,-2.9856390953063965,448,0.2,0.259765625,0.0034854747536883224,-0.03320707874081563,0.0004092704424510632,1223.0,-2.27059625
1283,30,15360,11,0.020900976,0.9963700175285339,-43.84066414833069,-0.005497584119439125,0.03429681062698364,464,0.2,0.2586669921875,0.07670020766090602,-0.02420038657146506,0.0004092704424510632,1223.0,-2.27059625
1281,31,15872,12,0.016943727,0.9953821301460266,-43.83878195285797,-0.050885457545518875,-0.3467690944671631,480,0.2,0.2403564453125,0.008286464682896622,-0.029120663268258795,0.0004092704424510632,1223.0,-2.27059625
1281,32,16384,12,0.016037695,0.9953522682189941,-43.8130407333374,-0.02803889848291874,0.35207825899124146,496,0.2,0.21923828125,0.006555704298079945,-0.023345776891801506,0.0004092704424510632,1223.0,-2.2632923076923075
1280,33,16896,13,0.028903203,0.9947491884231567,-43.810983419418335,-0.00747949443757534,0.24656885862350464,512,0.2,0.303466796875,0.050606011354830116,-0.02159539284184575,0.0004092704424510632,1223.0,-2.2632923076923075
1281,34,17408,13,0.01612686,0.9952145218849182,-43.80471408367157,-0.037741515785455704,-3.4006104469299316,528,0.2,0.2022705078125,0.007073457672959194,-0.026493650126212742,0.0004092704424510632,1223.0,-2.2756000714285713
1282,35,17920,13,0.01968591,0.9947734475135803,-43.80506610870361,0.0007221084088087082,0.03247535228729248,544,0.2,0.23486328125,0.08266176225151867,-0.02099352354707662,0.0004092704424510632,1223.0,-2.2756000714285713
1281,36,18432,14,0.0138642015,0.9946866631507874,-43.79287779331207,-0.03162351995706558,-1.3957054615020752,560,0.2,0.1376953125,0.013555316807469353,-0.02016613821615465,0.0004092704424510632,1223.0,-2.2748718666666665
1281,37,18944,14,0.018263184,0.9942929744720459,-43.78951346874237,-0.003308679908514023,0.1420503854751587,576,0.2,0.1923828125,0.06981517001986504,-0.020260179793694988,0.0004092704424510632,1223.0,-2.2748718666666665
