time/fps,time/iterations,time/total_timesteps,time/time_elapsed,train/approx_kl,train/std,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/learning_rate,rollout/ep_len_mean,rollout/ep_rew_mean
3932,1,512,0,,,,,,,,,,,,,
1823,2,1024,0,0.012439398,0.999184250831604,-43.97931134700775,-0.038472943007946014,-0.7389558553695679,16,0.2,0.1710205078125,0.09583982418917003,-0.021936872450169176,0.0004092704424510632,,
1560,3,1536,0,0.014858302,0.9986428022384644,-43.94675433635712,-0.025123702362179756,0.00433194637298584,32,0.2,0.23828125,0.0033369013435731176,-0.026489206560654566,0.0004092704424510632,1223.0,-2.319474
1464,4,2048,1,0.01810874,0.9983869791030884,-43.940231919288635,-0.037825968116521835,0.009345531463623047,48,0.2,0.260009765625,0.002745122019405244,-0.03041057163500227,0.0004092704424510632,1223.0,-2.319474
1400,5,2560,1,0.01954112,0.9977543950080872,-43.9264075756073,-0.04215406998991966,0.019265174865722656,64,0.2,0.268798828125,0.0011682298772939248,-0.03214307897724211,0.0004092704424510632,1223.0,-2.2662750000000003
1366,6,3072,2,0.01775817,0.9958347678184509,-43.8868271112442,-0.031102778390049934,0.0028644204139709473,80,0.2,0.245361328125,0.002596592570625944,-0.02425083567504771,0.0004092704424510632,1223.0,-2.2662750000000003
1340,7,3584,2,0.017104864,0.9968587756156921,-43.8543746471405,-0.04220210760831833,0.007559418678283691,96,0.2,0.2637939453125,0.0019820413035631645,-0.030084144178545102,0.0004092704424510632,1223.0,-2.2662750000000003
1322,8,4096,3,0.022320013,0.9978054761886597,-43.90393280982971,-0.0423831008374691,0.009791076183319092,112,0.2,0.279296875,0.002464786568452837,-0.02766495881951414,0.0004092704424510632,1223.0,-2.2861076666666666
1310,9,4608,3,0.019169327,0.999905526638031,-43.93681478500366,-0.03181580454111099,-0.009668946266174316,128,0.2,0.2469482421875,0.008547873308998533,-0.027879326677066274,0.0004092704424510632,1223.0,-2.2861076666666666
1298,10,5120,3,0.019158557,1.0026415586471558,-44.01802134513855,-0.02492700144648552,0.025393903255462646,144,0.2,0.22802734375,0.0013415297835308593,-0.022793683281634003,0.0004092704424510632,1223.0,-2.2425055
