rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/actor_loss,train/learning_rate,train/ent_coef_loss,time/fps,rollout/ep_rew_mean,train/n_updates,train/ent_coef,time/total_timesteps,time/episodes
1258.0,414,0.6712828874588013,-121.88536071777344,0.0008459126528049375,-177.6448211669922,12,-4.42422625,4931,0.017327260226011276,5032,4
1258.0,833,1.6704823970794678,-130.61973571777344,0.0008459126528049375,-17.436235427856445,12,-3.300601875,9963,0.0010445808293297887,10064,8
1258.0,1271,2.3490495681762695,-132.76885986328125,0.0008459126528049375,-2.477982521057129,11,-2.6304500833333333,14995,0.0009554672869853675,15096,12
1258.0,1709,3.6173653602600098,-130.8641815185547,0.0008459126528049375,-57.724979400634766,11,-2.288376125,20027,0.0010655653895810246,20128,16
1258.0,13,3.137824535369873,-133.16006469726562,0.0008459126528049375,-12.789413452148438,11,-2.0817238500000004,25059,0.0007585147395730019,25160,20
1258.0,444,6.0644636154174805,-129.6052703857422,0.0008459126528049375,76.3051528930664,11,-1.9151784583333333,30091,0.0017134809168055654,30192,24
1258.0,885,7.680826663970947,-113.34596252441406,0.0008459126528049375,40.51885223388672,11,-1.8442212857142855,35123,0.0015874698292464018,35224,28
1258.0,1327,13.573265075683594,-101.7605972290039,0.0008459126528049375,-49.66832733154297,11,-1.80978790625,40155,0.0007233081851154566,40256,32
1258.0,1765,15.268755912780762,-88.92224884033203,0.0008459126528049375,8.616512298583984,11,-1.7441929444444444,45187,0.0009415620006620884,45288,36
1258.0,27,13.544755935668945,-86.10578918457031,0.0008459126528049375,9.839831352233887,11,-1.7003663249999998,50219,0.000650497677270323,50320,40
1258.0,463,17.25082015991211,-71.42404174804688,0.0008459126528049375,-12.266783714294434,11,-1.653307909090909,55251,0.0013691274216398597,55352,44
1258.0,904,20.09128189086914,-47.321197509765625,0.0008459126528049375,-6.626047611236572,11,-1.6316677708333334,60283,0.0005698705208487809,60384,48
1258.0,1343,13.451641082763672,-41.55906677246094,0.0008459126528049375,70.39024353027344,11,-1.6241525192307693,65315,0.0010899173794314265,65416,52
1258.0,1773,9.323760986328125,-35.07588195800781,0.0008459126528049375,28.27713966369629,11,-1.631525017857143,70347,0.000691915163770318,70448,56
1258.0,44,9.529424667358398,-29.79039764404297,0.0008459126528049375,28.195070266723633,10,-1.6242962333333333,75379,0.0003997941967099905,75480,60
1258.0,503,4.9707136154174805,-24.955429077148438,0.0008459126528049375,-171.73846435546875,10,-1.61460378125,80411,0.0004144508857280016,80512,64
1258.0,974,2.6185989379882812,-21.160724639892578,0.0008459126528049375,-42.35603332519531,10,-1.6031595735294117,85443,0.00047277010162360966,85544,68
1258.0,1440,2.2400400638580322,-17.93314552307129,0.0008459126528049375,-33.48602294921875,10,-1.5869784305555557,90475,0.00036172999534755945,90576,72
