time/fps,train/ent_coef,train/actor_loss,train/n_updates,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,train/ent_coef_loss,train/critic_loss,train/learning_rate,time/episodes,time/time_elapsed
10,0.017100706696510315,-121.40914154052734,4931,1258.0,5032,-4.547515,-181.54180908203125,1.2556469440460205,0.0008459126528049375,4,478
10,0.0007395893917419016,-126.24331665039062,9963,1258.0,10064,-3.5386337500000002,-49.28157424926758,4.584877014160156,0.0008459126528049375,8,969
10,0.0014742405619472265,-116.70880126953125,14995,1258.0,15096,-2.72277,-10.551989555358887,4.940581321716309,0.0008459126528049375,12,1461
10,0.00046518619637936354,-112.7575454711914,20027,1258.0,20128,-2.3394276250000003,-63.70798110961914,13.889739990234375,0.0008459126528049375,16,1962
9,0.0007075369358062744,-102.3138656616211,25059,1258.0,25160,-2.0689526000000003,45.0722541809082,5.842650890350342,0.0008459126528049375,20,16
10,0.00047263866872526705,-98.25225830078125,30091,1258.0,30192,-1.8763090833333333,-64.73431396484375,0.9551008939743042,0.0008459126528049375,24,510
10,0.000567095004953444,-97.62858581542969,35123,1258.0,35224,-1.7459635000000002,14.807695388793945,1.2827212810516357,0.0008459126528049375,28,996
10,0.0002349077840335667,-94.55758666992188,40155,1258.0,40256,-1.66928371875,62.300025939941406,3.5956099033355713,0.0008459126528049375,32,1484
10,0.0005258519668132067,-90.90081787109375,45187,1258.0,45288,-1.58215125,-98.32276916503906,2.646536350250244,0.0008459126528049375,36,1968
10,0.00044320401502773166,-87.110107421875,50219,1258.0,50320,-1.529987225,50.668521881103516,2.5159530639648438,0.0008459126528049375,40,31
9,0.00041379311005584896,-79.977294921875,55251,1258.0,55352,-1.5033835909090911,-6.65086555480957,1.8632169961929321,0.0008459126528049375,44,535
10,0.0003079990274272859,-74.33788299560547,60283,1258.0,60384,-1.4701602291666667,-7.851226806640625,2.774871826171875,0.0008459126528049375,48,1037
10,0.0003226660192012787,-67.54594421386719,65315,1258.0,65416,-1.4337736923076922,-89.46121215820312,3.9907379150390625,0.0008459126528049375,52,1533
10,0.00035244436003267765,-62.79993438720703,70347,1258.0,70448,-1.4039743571428571,-62.59712600708008,2.2293593883514404,0.0008459126528049375,56,2027
10,0.00031480725738219917,-59.506446838378906,75379,1258.0,75480,-1.3752281833333333,-55.097713470458984,3.6651837825775146,0.0008459126528049375,60,46
10,0.00037840259028598666,-51.63788604736328,80411,1258.0,80512,-1.3500325000000002,4.058779716491699,4.8206787109375,0.0008459126528049375,64,551
10,0.0004180461692158133,-49.10829544067383,85443,1258.0,85544,-1.324321955882353,-27.074766159057617,6.990225315093994,0.0008459126528049375,68,1052
