train/learning_rate,train/critic_loss,train/ent_coef_loss,time/fps,time/time_elapsed,train/actor_loss,time/episodes,rollout/ep_rew_mean,train/n_updates,time/total_timesteps,train/ent_coef,rollout/ep_len_mean
0.0008459126528049375,1.6475073099136353,-172.89849853515625,30,165,-123.81267547607422,4,-4.57465375,4931,5032,0.017162153497338295,1258.0
0.0008459126528049375,5.559819221496582,-10.704840660095215,29,346,-129.7793426513672,8,-3.4888521249999997,9963,10064,0.0009748284937813878,1258.0
0.0008459126528049375,3.948815107345581,-8.850950241088867,28,524,-129.8694610595703,12,-3.0009515000000007,14995,15096,0.0011454017367213964,1258.0
0.0008459126528049375,83.7611083984375,21.511157989501953,28,695,-131.85134887695312,16,-2.7147323125000002,20027,20128,0.0007064928067848086,1258.0
0.0008459126528049375,13.338890075683594,43.951210021972656,25,6,-114.16789245605469,20,-2.4670979500000003,25059,25160,0.0008942385902628303,1258.0
0.0008459126528049375,2.633547782897949,-3.9798481464385986,27,189,-109.88459777832031,24,-2.3289294166666665,30091,30192,0.0008296886808238924,1258.0
0.0008459126528049375,1.2486319541931152,20.572429656982422,27,367,-108.58820343017578,28,-2.2183075,35123,35224,0.0004687877371907234,1258.0
0.0008459126528049375,3.843578815460205,-31.040252685546875,28,532,-82.59723663330078,32,-2.1138524062500004,40155,40256,0.0008850881713442504,1258.0
0.0008459126528049375,2.552788257598877,-27.478395462036133,28,716,-68.72328186035156,36,-2.0827612222222225,45187,45288,0.0007512806332670152,1258.0
0.0008459126528049375,16.388591766357422,-35.66952896118164,27,11,-64.89029693603516,40,-2.014595175,50219,50320,0.001107902848161757,1258.0
0.0008459126528049375,1.4645916223526,19.597497940063477,26,201,-43.45157241821289,44,-1.95651725,55251,55352,0.00047792549594305456,1258.0
0.0008459126528049375,4.698073863983154,65.7305908203125,27,373,-39.019779205322266,48,-1.9091878541666667,60283,60384,0.00038376892916858196,1258.0
0.0008459126528049375,2.349226236343384,35.36616897583008,27,558,-39.80094528198242,52,-1.8707976923076923,65315,65416,0.0003464878536760807,1258.0
0.0008459126528049375,3.088594436645508,-0.45028960704803467,27,744,-36.925331115722656,56,-1.8327449821428572,70347,70448,0.0006161781493574381,1258.0
0.0008459126528049375,2.6200361251831055,-58.273075103759766,27,17,-23.21145248413086,60,-1.7917799333333333,75379,75480,0.0008483158308081329,1258.0
0.0008459126528049375,6.728034019470215,-39.607322692871094,26,207,-13.863693237304688,64,-1.7623284843749998,80411,80512,0.0008067847229540348,1258.0
0.0008459126528049375,1.1357300281524658,-70.00260925292969,26,404,-10.367450714111328,68,-1.7509017499999995,85443,85544,0.0004014228761661798,1258.0
0.0008459126528049375,9.8082914352417,43.42576599121094,25,608,0.8735677003860474,72,-1.722498,90475,90576,0.001089076860807836,1258.0
0.0008459126528049375,1.3997399806976318,-44.13693618774414,26,788,6.680846214294434,76,-1.7145035657894736,95507,95608,0.0008321221685037017,1258.0
