train/n_updates,time/fps,train/learning_rate,time/episodes,train/actor_loss,rollout/ep_rew_mean,train/ent_coef_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,train/ent_coef,time/total_timesteps
4927,10,0.0008459126528049375,4,-121.8436508178711,-5.227036,-168.0541229248047,484,44.26834487915039,1257.0,0.017422180622816086,5028
9955,10,0.0008459126528049375,8,-125.59300994873047,-4.2272792500000005,-17.54820442199707,963,5.5503082275390625,1257.0,0.001263405429199338,10056
14983,10,0.0008459126528049375,12,-121.54682159423828,-3.6522124999999996,-45.06987762451172,1444,4.075283050537109,1257.0,0.0008203823235817254,15084
20011,10,0.0008459126528049375,16,-106.7773208618164,-3.190159,60.61689376831055,1925,15.183974266052246,1257.0,0.002695763483643532,20112
25039,10,0.0008459126528049375,20,-96.6104965209961,-2.9576263999999997,45.15965270996094,13,2.7752628326416016,1257.0,0.0008790915017016232,25140
30067,10,0.0008459126528049375,24,-92.17251586914062,-2.827708916666667,45.28439712524414,496,2.944363594055176,1257.0,0.0009019508142955601,30168
35095,10,0.0008459126528049375,28,-85.84251403808594,-2.736980392857143,18.25680160522461,986,4.27116584777832,1257.0,0.0006390514899976552,35196
40123,10,0.0008459126528049375,32,-82.99087524414062,-2.6765625625,31.406784057617188,1478,5.8701677322387695,1257.0,0.0005926038138568401,40224
45151,10,0.0008459126528049375,36,-80.36161804199219,-2.6206127222222224,28.291704177856445,1964,3.8074874877929688,1257.0,0.000549380318261683,45252
50179,10,0.0008459126528049375,40,-74.30106353759766,-2.55107735,-4.830434322357178,27,5.934691429138184,1257.0,0.0009152593556791544,50280
55207,10,0.0008459126528049375,44,-66.43756103515625,-2.4963374318181817,28.480623245239258,517,4.4718427658081055,1257.0,0.0005903511773794889,55308
60235,10,0.0008459126528049375,48,-63.81955337524414,-2.4660906875,8.340862274169922,1008,3.5476691722869873,1257.0,0.0008383858948945999,60336
65263,10,0.0008459126528049375,52,-61.42094039916992,-2.44362525,-43.52175521850586,1492,1.9383747577667236,1257.0,0.00037924814387224615,65364
70291,10,0.0008459126528049375,56,-54.82228088378906,-2.409258392857143,2.3952183723449707,1981,9.67161750793457,1257.0,0.000883026747033,70392
75319,9,0.0008459126528049375,60,-44.85493087768555,-2.3892832999999998,-27.21050262451172,42,15.888275146484375,1257.0,0.001013310393318534,75420
80347,10,0.0008459126528049375,64,-25.94702911376953,-2.3615700625,68.82272338867188,544,32.29103469848633,1257.0,0.00298212468624115,80448
85375,9,0.0008459126528049375,68,-8.01882266998291,-2.3495521617647057,-20.211782455444336,1052,37.236080169677734,1257.0,0.0013028683606535196,85476
