time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/clip_fraction,train/approx_kl,train/entropy_loss,train/explained_variance,train/std,train/clip_range,train/policy_gradient_loss,train/n_updates,train/value_loss,train/learning_rate,train/loss,rollout/ep_len_mean,rollout/ep_rew_mean
1,512,0,3729,,,,,,,,,,,,,
2,1024,0,1813,0.2391357421875,0.01579335,-43.989211559295654,-1.2835426330566406,0.9998321533203125,0.2,-0.02484311567968689,16,0.10222191881621256,0.0004092704424510632,-0.02597937546670437,,
3,1536,0,1559,0.2691650390625,0.021371555,-43.969584345817566,-0.036861419677734375,0.999108076095581,0.2,-0.02781647880328819,32,0.002270128177769948,0.0004092704424510632,-0.029902895912528038,1258.0,-2.192178
4,2048,1,1459,0.2689208984375,0.019287094,-43.94553458690643,-0.010855913162231445,0.9981367588043213,0.2,-0.027043722599046305,48,0.007178494619438425,0.0004092704424510632,-0.0291893370449543,1258.0,-2.192178
5,2560,1,1405,0.318115234375,0.019892666,-43.935648918151855,0.015705585479736328,0.9990755319595337,0.2,-0.03027155417657923,64,0.0026789782859850675,0.0004092704424510632,-0.04116171598434448,1258.0,-2.1821445
6,3072,2,1371,0.2403564453125,0.01588745,-43.937888622283936,0.023893415927886963,0.9973522424697876,0.2,-0.020881785530946217,80,0.014762853679712862,0.0004092704424510632,-0.01245055254548788,1258.0,-2.1821445
7,3584,2,1345,0.256103515625,0.01618936,-43.894153118133545,0.03867560625076294,0.9974319338798523,0.2,-0.030214438142138533,96,0.0011154955545862322,0.0004092704424510632,-0.03469683229923248,1258.0,-2.1821445
8,4096,3,1331,0.2667236328125,0.019434754,-43.90864372253418,0.09661555290222168,0.9977659583091736,0.2,-0.02392821134708356,112,0.0039882883756945375,0.0004092704424510632,-0.026918213814496994,1258.0,-2.1601096666666666
9,4608,3,1321,0.2615966796875,0.017404132,-43.895209550857544,0.014264941215515137,0.9964141249656677,0.2,-0.029189942113589495,128,0.020499552105320618,0.0004092704424510632,-0.03865531086921692,1258.0,-2.1601096666666666
10,5120,3,1309,0.1878662109375,0.0137966,-43.858421087265015,0.000776827335357666,0.9957613945007324,0.2,-0.02132429754419718,144,0.0027625650218396913,0.0004092704424510632,-0.030120326206088066,1258.0,-2.1874935
11,5632,4,1298,0.294677734375,0.027794674,-43.83490037918091,0.054582059383392334,0.9947469234466553,0.2,-0.030361760283994954,160,0.026345239544752985,0.0004092704424510632,-0.03386079519987106,1258.0,-2.1874935
12,6144,4,1292,0.2177734375,0.019347556,-43.78868365287781,-0.3711658716201782,0.9930706024169922,0.2,-0.019063163636019453,176,0.0023091172351996647,0.0004092704424510632,-0.032557159662246704,1258.0,-2.1874935
13,6656,5,1285,0.2645263671875,0.021120373,-43.76524341106415,0.32238203287124634,0.9935379028320312,0.2,-0.027841983319376595,192,0.00415968047309434,0.0004092704424510632,-0.03570767864584923,1258.0,-2.1718876000000003
14,7168,5,1281,0.254150390625,0.024624193,-43.76294136047363,0.19841820001602173,0.9922434091567993,0.2,-0.030503976668114774,208,0.03224990935996175,0.0004092704424510632,-0.030572978779673576,1258.0,-2.1718876000000003
15,7680,6,1275,0.269287109375,0.027953189,-43.725115060806274,0.12884801626205444,0.9920225739479065,0.2,-0.03671318636042997,224,0.0035100411987514235,0.0004092704424510632,-0.051493629813194275,1258.0,-2.154164833333333
16,8192,6,1271,0.209716796875,0.017848292,-43.76103675365448,0.06047934293746948,0.9942885637283325,0.2,-0.02283984108362347,240,0.03868559002876282,0.0004092704424510632,-0.022417102009058,1258.0,-2.154164833333333
17,8704,6,1268,0.1856689453125,0.01538223,-43.78884243965149,-0.9923490285873413,0.9931995272636414,0.2,-0.022526534245116636,256,0.0015865852001297753,0.0004092704424510632,-0.037069130688905716,1258.0,-2.154164833333333
