time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/clip_range,train/entropy_loss,train/std,train/value_loss,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,4124,0,1,,,,,,,,,,,,,
1024,1970,0,2,0.0004092704424510632,0.2,-43.99217641353607,1.0004103183746338,0.08104055534931831,-0.02969103862415068,-0.043238744139671326,0.015854623,0.251708984375,16,-0.4827110767364502,,
1536,1679,0,3,0.0004092704424510632,0.2,-43.99918711185455,1.0003501176834106,0.004204048891551793,-0.02275411708978936,-0.039700232446193695,0.015597682,0.223388671875,32,0.07561028003692627,-2.435284,1257.0
2048,1510,1,4,0.0004092704424510632,0.2,-43.95991134643555,0.9973894953727722,0.007781832027831115,-0.028663775825407356,-0.037383053451776505,0.021973383,0.2904052734375,48,0.011813700199127197,-2.435284,1257.0
2560,1392,1,5,0.0004092704424510632,0.2,-43.8849983215332,0.9966042041778564,0.003963862385717221,-0.033266809943597764,-0.043089479207992554,0.023633555,0.3323974609375,64,0.09924203157424927,-2.5709225,1257.0
3072,1371,2,6,0.0004092704424510632,0.2,-43.88392460346222,0.9970178008079529,0.016619272908428684,-0.02558006439357996,-0.0172856654971838,0.0237827,0.3109130859375,80,-0.02473604679107666,-2.5709225,1257.0
3584,1362,2,7,0.0004092704424510632,0.2,-43.89171361923218,0.9968773722648621,0.00541052405606024,-0.02680451745982282,-0.044700440019369125,0.018596428,0.2962646484375,96,0.07502824068069458,-2.5709225,1257.0
4096,1357,3,8,0.0004092704424510632,0.2,-43.87750685214996,0.9961296319961548,0.004701994199422188,-0.027135600583278574,-0.029420897364616394,0.017088737,0.2398681640625,112,0.009208738803863525,-2.6040533333333333,1257.0
4608,1351,3,9,0.0004092704424510632,0.2,-43.821091532707214,0.9930492639541626,0.03435511759016663,-0.03280560357961804,-0.027868229895830154,0.01798844,0.2833251953125,128,0.009229660034179688,-2.6040533333333333,1257.0
5120,1348,3,10,0.0004092704424510632,0.2,-43.76617455482483,0.9937067627906799,0.002166665821278002,-0.02279470072244294,-0.02526322938501835,0.015150137,0.2386474609375,144,0.1571868658065796,-2.5925692500000004,1257.0
5632,1343,4,11,0.0004092704424510632,0.2,-43.797802329063416,0.9942569136619568,0.03874957200605422,-0.02304453532997286,-0.00590779073536396,0.017695706,0.224609375,160,-0.0026377439498901367,-2.5925692500000004,1257.0
6144,1342,4,12,0.0004092704424510632,0.2,-43.79290807247162,0.9931643605232239,0.00507311296678381,-0.02737563566188328,-0.03093826211988926,0.020085298,0.2613525390625,176,0.0814865231513977,-2.5925692500000004,1257.0
6656,1339,4,13,0.0004092704424510632,0.2,-43.760804653167725,0.9928730130195618,0.004082442254002672,-0.027410783106461167,-0.02134186215698719,0.020498585,0.2960205078125,192,-0.011559844017028809,-2.5941206,1257.0
7168,1336,5,14,0.0004092704424510632,0.2,-43.7639342546463,0.9932361245155334,0.0634578155586496,-0.026426039417856373,-0.01103689894080162,0.01928008,0.2945556640625,208,0.005122840404510498,-2.5941206,1257.0
7680,1333,5,15,0.0004092704424510632,0.2,-43.749144196510315,0.9919295310974121,0.0020032784595969133,-0.029319514622329734,-0.04819086566567421,0.021000862,0.2779541015625,224,0.03628683090209961,-2.5880063333333334,1257.0
8192,1332,6,16,0.0004092704424510632,0.2,-43.71052825450897,0.9909846186637878,0.059901989880017936,-0.026135645573958755,-0.0081674475222826,0.022928871,0.28076171875,240,0.014190971851348877,-2.5880063333333334,1257.0
8704,1331,6,17,0.0004092704424510632,0.2,-43.7100830078125,0.9923478960990906,0.004736712224257644,-0.027167842359631322,-0.03125213831663132,0.026944015,0.3094482421875,256,0.032012760639190674,-2.5880063333333334,1257.0
9216,1329,6,18,0.0004092704424510632,0.2,-43.76131749153137,0.9938353300094604,0.003460459098278079,-0.028731833823258057,-0.0412256233394146,0.017024321,0.2703857421875,272,-0.056763648986816406,-2.576832,1257.0
9728,1328,7,19,0.0004092704424510632,0.2,-43.77070355415344,0.9924887418746948,0.08618549280799925,-0.026413137064082548,0.014460930600762367,0.016452082,0.276123046875,288,0.006874203681945801,-2.576832,1257.0
