time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/learning_rate,train/clip_range,train/entropy_loss,train/std,train/value_loss,train/policy_gradient_loss,train/loss,train/approx_kl,train/clip_fraction,train/n_updates,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
512,3999,0,1,,,,,,,,,,,,,
1024,1909,0,2,0.0004092704424510632,0.2,-43.972214460372925,0.9990693926811218,0.2175055188999977,-0.029728153109317645,-0.03278777375817299,0.01604623,0.243408203125,16,-0.5518690347671509,,
1536,1650,0,3,0.0004092704424510632,0.2,-43.94740629196167,0.9983744621276855,0.004285111826902721,-0.023810286191292107,-0.029400590807199478,0.0129001755,0.1995849609375,32,0.005634963512420654,-2.490617,1257.0
2048,1550,1,4,0.0004092704424510632,0.2,-43.910130739212036,0.9967116117477417,0.0021963848594168667,-0.02950769115705043,-0.028149234130978584,0.018484578,0.2772216796875,48,-0.0012693405151367188,-2.490617,1257.0
2560,1498,1,5,0.0004092704424510632,0.2,-43.8806027173996,0.9969942569732666,0.003347227418998955,-0.0319773139199242,-0.04312262684106827,0.024659116,0.365478515625,64,0.003413379192352295,-2.5022659999999997,1257.0
3072,1465,2,6,0.0004092704424510632,0.2,-43.87627351284027,0.9956510066986084,0.007620962074724957,-0.029728768051427323,-0.03497852012515068,0.021726388,0.31591796875,80,-0.004351615905761719,-2.5022659999999997,1257.0
3584,1435,2,7,0.0004092704424510632,0.2,-43.85264778137207,0.9962542057037354,0.005563614802667871,-0.03191290295217186,-0.04409737139940262,0.024901986,0.3529052734375,96,0.003958344459533691,-2.5022659999999997,1257.0
4096,1416,2,8,0.0004092704424510632,0.2,-43.88470447063446,0.997423529624939,0.003868110004987102,-0.0230240024975501,-0.019161440432071686,0.014474635,0.2235107421875,112,0.0028961896896362305,-2.5382219999999998,1257.0
4608,1401,3,9,0.0004092704424510632,0.2,-43.90461730957031,0.9973076581954956,0.018431069853249937,-0.02953472241642885,-0.017241332679986954,0.026321933,0.29638671875,128,-0.0010963678359985352,-2.5382219999999998,1257.0
5120,1390,3,10,0.0004092704424510632,0.2,-43.904661893844604,0.9976463317871094,0.0018668588036234723,-0.025050100099178962,-0.03891291096806526,0.0149692735,0.2322998046875,144,0.008782029151916504,-2.5252805,1257.0
5632,1381,4,11,0.0004092704424510632,0.2,-43.8892285823822,0.9960570931434631,0.01747444408829324,-0.02675367286428809,-0.03045717440545559,0.021159107,0.2811279296875,160,-0.0019761323928833008,-2.5252805,1257.0
6144,1373,4,12,0.0004092704424510632,0.2,-43.84506034851074,0.9954704642295837,0.005288603002554737,-0.030087666935287416,-0.03883504867553711,0.023410885,0.3157958984375,176,0.0039907097816467285,-2.5252805,1257.0
6656,1366,4,13,0.0004092704424510632,0.2,-43.830506920814514,0.9948566555976868,0.004263622242433485,-0.02916684717638418,-0.037853747606277466,0.019004425,0.282958984375,192,0.0014002323150634766,-2.5060044,1257.0
7168,1359,5,14,0.0004092704424510632,0.2,-43.82146668434143,0.995204746723175,0.03557308262679726,-0.031398699909914285,-0.014252731576561928,0.019959182,0.3104248046875,208,0.0003024935722351074,-2.5060044,1257.0
7680,1356,5,15,0.0004092704424510632,0.2,-43.812384724617004,0.9935345649719238,0.0026824960586964153,-0.02943806014081929,-0.0316023975610733,0.022275649,0.3272705078125,224,-0.0017595291137695312,-2.5079781666666667,1257.0
8192,1351,6,16,0.0004092704424510632,0.2,-43.751394629478455,0.9923141002655029,0.0368461053003557,-0.02518143321503885,-0.009707380086183548,0.018892063,0.29541015625,240,-0.0002588033676147461,-2.5079781666666667,1257.0
8704,1346,6,17,0.0004092704424510632,0.2,-43.73301112651825,0.99208664894104,0.007493108481867239,-0.02768121234839782,-0.03696972131729126,0.020917727,0.2816162109375,256,0.0006660223007202148,-2.5079781666666667,1257.0
9216,1342,6,18,0.0004092704424510632,0.2,-43.71867752075195,0.9910796880722046,0.003992121295596007,-0.029069786658510566,-0.037232186645269394,0.0207922,0.27880859375,272,0.00469285249710083,-2.520784285714286,1257.0
9728,1339,7,19,0.0004092704424510632,0.2,-43.683316588401794,0.9903036952018738,0.06312930164858699,-0.02468510958715342,0.001207992434501648,0.012872893,0.21484375,288,0.00048166513442993164,-2.520784285714286,1257.0
10240,1336,7,20,0.0004092704424510632,0.2,-43.62840139865875,0.9873888492584229,0.004024091831524856,-0.02418959241185803,-0.032260462641716,0.014382036,0.194580078125,304,-0.005353093147277832,-2.51848875,1257.0
10752,1323,8,21,0.0004092704424510632,0.2,-43.554901480674744,0.9860596656799316,0.06521476968191564,-0.03433254067203961,-0.019796069711446762,0.027059318,0.347412109375,320,0.0013616085052490234,-2.51848875,1257.0
11264,1307,8,22,0.0004092704424510632,0.2,-43.49223804473877,0.9832935929298401,0.005012301939132158,-0.023632978642126545,-0.03632766008377075,0.020762172,0.244873046875,336,-0.008650064468383789,-2.51848875,1257.0
11776,1306,9,23,0.0004092704424510632,0.2,-43.41172671318054,0.981197714805603,0.003978211047069635,-0.0284018189413473,-0.03859829157590866,0.018870445,0.2607421875,352,0.0012066960334777832,-2.5144164444444446,1257.0
12288,1305,9,24,0.0004092704424510632,0.2,-43.367334604263306,0.9806318879127502,0.08701839647255838,-0.0260969745577313,0.006266411393880844,0.024892688,0.26904296875,368,-0.0001666545867919922,-2.5144164444444446,1257.0
12800,1304,9,25,0.0004092704424510632,0.2,-43.346972584724426,0.9794613718986511,0.0037661533933714963,-0.029280886497872416,-0.031926073133945465,0.021993363,0.271484375,384,-0.09519660472869873,-2.5110495999999998,1257.0
13312,1302,10,26,0.0004092704424510632,0.2,-43.2923663854599,0.977390468120575,0.09624978434294462,-0.023198514318210073,0.02239338308572769,0.015673101,0.2276611328125,400,0.001837611198425293,-2.5110495999999998,1257.0
13824,1301,10,27,0.0004092704424510632,0.2,-43.23836398124695,0.9764272570610046,0.003909465936885681,-0.025023298483574763,-0.03752295672893524,0.021064602,0.230712890625,416,-0.059995055198669434,-2.5110495999999998,1257.0
14336,1300,11,28,0.0004092704424510632,0.2,-43.23251235485077,0.9771227836608887,0.004310680145863444,-0.02459186688065529,-0.04113835468888283,0.017623337,0.21923828125,432,0.008974254131317139,-2.5049981818181815,1257.0
14848,1300,11,29,0.0004092704424510632,0.2,-43.23600494861603,0.9766328930854797,0.0203736791445408,-0.020862070508883335,-0.012326326221227646,0.030139316,0.278564453125,448,0.005015194416046143,-2.5049981818181815,1257.0
15360,1299,11,30,0.0004092704424510632,0.2,-43.23933815956116,0.9775870442390442,0.004497820853430312,-0.01951546050258912,-0.02515334263443947,0.010534732,0.1776123046875,464,-0.0039931535720825195,-2.488020583333333,1257.0
15872,1298,12,31,0.0004092704424510632,0.2,-43.2624431848526,0.9780369400978088,0.12893534963950515,-0.0208766396244755,0.03969963639974594,0.016265724,0.1754150390625,480,0.001375734806060791,-2.488020583333333,1257.0
16384,1297,12,32,0.0004092704424510632,0.2,-43.2605744600296,0.9777182340621948,0.002876379126973916,-0.02953746955608949,-0.03646741062402725,0.019046895,0.220703125,496,-0.04785025119781494,-2.4847191538461533,1257.0
16896,1296,13,33,0.0004092704424510632,0.2,-43.261995792388916,0.9780802130699158,0.1303087619598955,-0.030706871999427676,0.035459063947200775,0.022691563,0.2479248046875,512,0.005409955978393555,-2.4847191538461533,1257.0
17408,1295,13,34,0.0004092704424510632,0.2,-43.24521780014038,0.9761986136436462,0.006777061309549026,-0.023963641418959014,-0.02039526030421257,0.019144628,0.2344970703125,528,-0.2319192886352539,-2.4847191538461533,1257.0
17920,1295,13,35,0.0004092704424510632,0.2,-43.19811415672302,0.9759247899055481,0.003250724115787307,-0.024398094741627574,-0.028376391157507896,0.01773316,0.2076416015625,544,-0.004315853118896484,-2.470025928571428,1257.0
18432,1294,14,36,0.0004092704424510632,0.2,-43.18193817138672,0.9744983315467834,0.13966865558177233,-0.025405567255802453,0.030139658600091934,0.017527401,0.225830078125,560,0.00249403715133667,-2.470025928571428,1257.0
18944,1294,14,37,0.0004092704424510632,0.2,-43.136244773864746,0.9737216830253601,0.0016233455589826917,-0.02297137324057985,-0.0291069895029068,0.016398832,0.1951904296875,576,-1.8767971992492676,-2.470479866666666,1257.0
19456,1293,15,38,0.0004092704424510632,0.2,-43.13551735877991,0.9741589426994324,0.13064227090217173,-0.02688118306105025,0.014960944652557373,0.022020683,0.250244140625,592,0.0010344386100769043,-2.470479866666666,1257.0
19968,1293,15,39,0.0004092704424510632,0.2,-43.154300570487976,0.9751384258270264,0.006534031170303933,-0.030021508428035304,-0.034652505069971085,0.018007873,0.22705078125,608,-0.23212313652038574,-2.470479866666666,1257.0
20480,1292,15,40,0.0004092704424510632,0.2,-43.194422364234924,0.9769313931465149,0.004506509510974865,-0.024359352770261467,-0.03440232202410698,0.015203366,0.224609375,624,-0.0001838207244873047,-2.462656,1257.0
