train/ent_coef_loss,train/learning_rate,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/time_elapsed,train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,time/fps
-182.4078826904297,0.0008459126528049375,5032,-4.383819,1258.0,4,449,4931,-122.53842163085938,1.4850302934646606,0.01722290925681591,11
-46.447174072265625,0.0008459126528049375,10064,-3.3975225,1258.0,8,910,9963,-130.82647705078125,4.396814823150635,0.0010417987359687686,11
-35.603294372558594,0.0008459126528049375,15096,-2.8385182499999995,1258.0,12,1377,14995,-134.84405517578125,6.80716609954834,0.0013328735949471593,10
-1.7754325866699219,0.0008459126528049375,20128,-2.5145976875,1258.0,16,1845,20027,-136.48011779785156,7.182706832885742,0.0009659098577685654,10
118.53733825683594,0.0008459126528049375,25160,-2.3147563999999994,1258.0,20,14,25059,-129.2465057373047,23.73223304748535,0.0013375296257436275,10
26.925241470336914,0.0008459126528049375,30192,-2.200519791666667,1258.0,24,481,30091,-121.91631317138672,4.170904159545898,0.0006503205513581634,10
108.72589874267578,0.0008459126528049375,35224,-2.082525678571429,1258.0,28,948,35123,-102.8343734741211,6.179599285125732,0.0012136722216382623,10
73.06449127197266,0.0008459126528049375,40256,-1.9882931562500001,1258.0,32,1414,40155,-103.79429626464844,4.809002876281738,0.0006538319285027683,10
34.38739013671875,0.0008459126528049375,45288,-1.9062499444444445,1258.0,36,1877,45187,-97.22721862792969,5.264784336090088,0.0005448464653454721,10
25.17462921142578,0.0008459126528049375,50320,-1.8435651500000003,1258.0,40,29,50219,-93.09241485595703,4.443598747253418,0.0009331817273050547,10
21.2271728515625,0.0008459126528049375,55352,-1.795508022727273,1258.0,44,493,55251,-83.68937683105469,6.108211517333984,0.001040492090396583,10
-17.806032180786133,0.0008459126528049375,60384,-1.7490326458333332,1258.0,48,956,60283,-74.84184265136719,7.331506729125977,0.0015178240137174726,10
-33.244171142578125,0.0008459126528049375,65416,-1.7171818846153843,1258.0,52,1421,65315,-63.01935958862305,11.978906631469727,0.0009268755675293505,10
-45.888614654541016,0.0008459126528049375,70448,-1.6824288214285714,1258.0,56,1887,70347,-63.65806579589844,15.982107162475586,0.0017566997557878494,10
-50.30776596069336,0.0008459126528049375,75480,-1.6565433333333333,1258.0,60,45,75379,-55.455833435058594,11.349273681640625,0.001316805719397962,10
-80.51422119140625,0.0008459126528049375,80512,-1.63084196875,1258.0,64,527,80411,-43.070404052734375,8.60824966430664,0.0008233870612457395,10
-28.454557418823242,0.0008459126528049375,85544,-1.6154044117647057,1258.0,68,1011,85443,-33.330867767333984,9.355171203613281,0.0009667706326581538,10
-10.277198791503906,0.0008459126528049375,90576,-1.6053570277777778,1258.0,72,1499,90475,-25.32401466369629,11.332403182983398,0.0013395606074482203,10
