time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/std,train/loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/clip_range,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
1324,17,6,8704,-43.71530020236969,0.9909337759017944,-0.024295233190059662,-0.025662986357929185,-0.01988661289215088,0.013549214,0.0004092704424510632,256,0.0037468373266165145,0.2,0.208740234375,1257.0,-3.0976071666666667
1321,18,6,9216,-43.68238890171051,0.9903901815414429,-0.0347449965775013,-0.028710336599033326,-0.006037354469299316,0.021988645,0.0004092704424510632,272,0.0030016274540685117,0.2,0.280029296875,1257.0,-3.069690571428571
1319,19,7,9728,-43.65800356864929,0.9889126420021057,0.003189738839864731,-0.02648514707107097,0.0005197525024414062,0.021309843,0.0004092704424510632,288,0.08670118218287826,0.2,0.2760009765625,1257.0,-3.069690571428571
1317,20,7,10240,-43.62443935871124,0.9888126254081726,-0.022336428984999657,-0.01902196953597013,-0.018021345138549805,0.012260495,0.0004092704424510632,304,0.004201934949378483,0.2,0.16064453125,1257.0,-3.073061125
1314,21,8,10752,-43.609747886657715,0.9877864718437195,0.021432019770145416,-0.027947802271228284,0.0026764273643493652,0.025638634,0.0004092704424510632,320,0.10250486643053591,0.2,0.2713623046875,1257.0,-3.073061125
1312,22,8,11264,-43.58112835884094,0.9874956011772156,-0.034402694553136826,-0.02490850246977061,-0.2661445140838623,0.01830937,0.0004092704424510632,336,0.004249449622875545,0.2,0.23779296875,1257.0,-3.073061125
1311,23,8,11776,-43.57582461833954,0.9866770505905151,-0.03209669515490532,-0.026455627201357856,0.01240396499633789,0.016511705,0.0004092704424510632,352,0.002401114492386114,0.2,0.220458984375,1257.0,-3.083542888888889
1310,24,9,12288,-43.521108984947205,0.9844626784324646,0.0064668431878089905,-0.028832852956838906,0.0025319457054138184,0.03629791,0.0004092704424510632,368,0.118277971399948,0.2,0.28662109375,1257.0,-3.083542888888889
1309,25,9,12800,-43.47442543506622,0.9847157597541809,-0.03910299018025398,-0.025946713925804943,-0.03627192974090576,0.017988173,0.0004092704424510632,384,0.004078222315001767,0.2,0.2274169921875,1257.0,-3.0850923000000003
1308,26,10,13312,-43.4858877658844,0.9845007061958313,0.04223644733428955,-0.02233826658630278,0.003727436065673828,0.02227772,0.0004092704424510632,400,0.13394462503492832,0.2,0.240966796875,1257.0,-3.0850923000000003
1307,27,10,13824,-43.46850633621216,0.9836583733558655,-0.03393244743347168,-0.0252340838778764,-0.2517751455307007,0.017384838,0.0004092704424510632,416,0.008481296099489555,0.2,0.2080078125,1257.0,-3.0850923000000003
1305,28,10,14336,-43.453696846961975,0.9838690757751465,-0.03180108964443207,-0.02620954926533159,-0.00010180473327636719,0.015639082,0.0004092704424510632,432,0.001829111704864772,0.2,0.2373046875,1257.0,-3.086269181818182
1303,29,11,14848,-43.459163784980774,0.983718991279602,-0.01433628797531128,-0.020651347789680585,7.814168930053711e-05,0.050299212,0.0004092704424510632,448,0.029306897486094385,0.2,0.3006591796875,1257.0,-3.086269181818182
1302,30,11,15360,-43.45201325416565,0.9835982918739319,-0.02802734076976776,-0.02546055123093538,-0.0002689361572265625,0.018482074,0.0004092704424510632,464,0.004715609560662415,0.2,0.2252197265625,1257.0,-3.0601860000000003
1300,31,12,15872,-43.43635547161102,0.9827876687049866,0.06132301688194275,-0.025849290832411498,2.86102294921875e-05,0.021943577,0.0004092704424510632,480,0.2000481840223074,0.2,0.2418212890625,1257.0,-3.0601860000000003
1300,32,12,16384,-43.41369330883026,0.982944905757904,-0.03397221490740776,-0.026272054441506043,-0.00013327598571777344,0.015827432,0.0004092704424510632,496,0.005229219554166775,0.2,0.217529296875,1257.0,-3.061819923076923
