time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/std,train/loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/clip_range,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
4112,1,0,512,,,,,,,,,,,,,
1909,2,0,1024,-44.00003969669342,1.000937819480896,-0.04136667773127556,-0.03459117948659696,-0.05980050563812256,0.022592934,0.0004092704424510632,16,0.10576327811577357,0.2,0.30615234375,,
1604,3,0,1536,-44.001288652420044,0.9999538064002991,-0.036241788417100906,-0.028987163008423522,-0.041225433349609375,0.022211563,0.0004092704424510632,32,0.005176520702661946,0.2,0.270751953125,1257.0,-2.948499
1495,4,1,2048,-43.97977793216705,1.000118613243103,-0.029201306402683258,-0.02362939200247638,-0.0045768022537231445,0.025040403,0.0004092704424510632,48,0.020021219650516286,0.2,0.2967529296875,1257.0,-2.948499
1435,5,1,2560,-44.0018048286438,1.0008448362350464,-0.0335519015789032,-0.027689592563547194,-0.03231203556060791,0.017562233,0.0004092704424510632,64,0.005614254761894699,0.2,0.2620849609375,1257.0,-3.083777
1398,6,2,3072,-44.00637412071228,1.000502347946167,-0.026879025623202324,-0.02637122239684686,0.01795583963394165,0.020190801,0.0004092704424510632,80,0.01360663989908062,0.2,0.2911376953125,1257.0,-3.083777
1371,7,2,3584,-44.01019513607025,1.0013511180877686,-0.03251074627041817,-0.027930726297199726,-0.0010741949081420898,0.016831346,0.0004092704424510632,96,0.0025082430911425035,0.2,0.2642822265625,1257.0,-3.083777
1350,8,3,4096,-44.0158748626709,1.0005258321762085,-0.04019196331501007,-0.025554269028361887,-0.019267916679382324,0.01563774,0.0004092704424510632,112,0.004884523637883831,0.2,0.2581787109375,1257.0,-3.057108
1337,9,3,4608,-43.98390316963196,0.9996669292449951,-0.02247760258615017,-0.028728898483677767,0.005224108695983887,0.019737152,0.0004092704424510632,128,0.03267835214501247,0.2,0.30078125,1257.0,-3.057108
1328,10,3,5120,-43.97451078891754,0.9998694658279419,-0.04412171244621277,-0.030910072789993137,-0.03396201133728027,0.018006079,0.0004092704424510632,144,0.00522920535877347,0.2,0.298828125,1257.0,-3.074872
1320,11,4,5632,-43.964239835739136,0.9987704157829285,-0.012613166123628616,-0.024166916351532564,0.005825817584991455,0.017819004,0.0004092704424510632,160,0.045826257788576186,0.2,0.25390625,1257.0,-3.074872
1313,12,4,6144,-43.940967202186584,0.998872697353363,-0.019818894565105438,-0.01827820687321946,-0.08283090591430664,0.010272042,0.0004092704424510632,176,0.0030368451225513127,0.2,0.1668701171875,1257.0,-3.074872
