time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/entropy_loss,train/std,train/loss,train/policy_gradient_loss,train/explained_variance,train/approx_kl,train/learning_rate,train/n_updates,train/value_loss,train/clip_range,train/clip_fraction,rollout/ep_len_mean,rollout/ep_rew_mean
3908,1,0,512,,,,,,,,,,,,,
1874,2,0,1024,-43.9691778421402,0.9989528059959412,-0.03878229856491089,-0.027667102840496227,-0.28956031799316406,0.015112378,0.0004092704424510632,16,0.21576591816847213,0.2,0.2064208984375,,
1625,3,0,1536,-43.95348036289215,0.9989920854568481,-0.039287663996219635,-0.02909370067936834,-0.00597834587097168,0.01695643,0.0004092704424510632,32,0.005548501787416171,0.2,0.28369140625,1257.0,-2.86178
1523,4,1,2048,-43.94021761417389,0.9980037808418274,-0.04070347547531128,-0.03238791420153575,0.001338660717010498,0.032774843,0.0004092704424510632,48,0.009988219768274575,0.2,0.3582763671875,1257.0,-2.86178
1462,5,1,2560,-43.91220009326935,0.9973520636558533,-0.033906616270542145,-0.02433666954311775,0.0017548799514770508,0.015497602,0.0004092704424510632,64,0.005348654005501885,0.2,0.260986328125,1257.0,-3.0036175
1427,6,2,3072,-43.88154089450836,0.995837926864624,-0.03604523092508316,-0.029307149321539328,0.00029546022415161133,0.020713082,0.0004092704424510632,80,0.005537957003980409,0.2,0.3106689453125,1257.0,-3.0036175
1402,7,2,3584,-43.82211434841156,0.9937296509742737,-0.02687845192849636,-0.023401478305459023,0.0017601847648620605,0.013963834,0.0004092704424510632,96,0.002889975981815951,0.2,0.2188720703125,1257.0,-3.0036175
1375,8,2,4096,-43.79452323913574,0.9949313402175903,-0.031686339527368546,-0.023067862523021176,-0.0023010969161987305,0.013224863,0.0004092704424510632,112,0.004376375509309582,0.2,0.2139892578125,1257.0,-3.0364006666666667
1362,9,3,4608,-43.83348548412323,0.9954551458358765,-0.025272753089666367,-0.03117189167824108,-0.0015517473220825195,0.027861893,0.0004092704424510632,128,0.02262251707725227,0.2,0.348876953125,1257.0,-3.0364006666666667
1350,10,3,5120,-43.835569024086,0.9949656128883362,-0.03294993191957474,-0.023875600963947363,0.0017555952072143555,0.013836573,0.0004092704424510632,144,0.005686844851879869,0.2,0.2335205078125,1257.0,-3.0602665
1342,11,4,5632,-43.799458622932434,0.9933304786682129,-0.022575799375772476,-0.02540917081933003,0.000311434268951416,0.02218366,0.0004092704424510632,160,0.02760496101109311,0.2,0.308349609375,1257.0,-3.0602665
1334,12,4,6144,-43.73148953914642,0.9904705286026001,-0.030355487018823624,-0.026355372421676293,-0.00047135353088378906,0.014551008,0.0004092704424510632,176,0.003390084773855051,0.2,0.243896484375,1257.0,-3.0602665
1332,13,4,6656,-43.650999307632446,0.9884207844734192,-0.036263179033994675,-0.02942734060343355,-0.0019992589950561523,0.018538408,0.0004092704424510632,192,0.003285425962531008,0.2,0.290771484375,1257.0,-3.0285142
1328,14,5,7168,-43.623329162597656,0.9890604615211487,-0.030536897480487823,-0.03513436827051919,-0.0029594898223876953,0.037157573,0.0004092704424510632,208,0.04006826761178672,0.2,0.341064453125,1257.0,-3.0285142
1323,15,5,7680,-43.67412853240967,0.9916843175888062,-0.034775350242853165,-0.027036445433623157,0.00358659029006958,0.016144607,0.0004092704424510632,224,0.004289347110898234,0.2,0.2371826171875,1257.0,-3.0264285
1319,16,6,8192,-43.72398006916046,0.9917615652084351,-0.003883257508277893,-0.02294029647600837,0.0015340447425842285,0.020805161,0.0004092704424510632,240,0.04809413861948997,0.2,0.252197265625,1257.0,-3.0264285
1316,17,6,8704,-43.69735610485077,0.9903275370597839,-0.028366146609187126,-0.023818818357540295,-0.005280613899230957,0.017244354,0.0004092704424510632,256,0.003569583332136972,0.2,0.241943359375,1257.0,-3.0264285
1314,18,7,9216,-43.67189574241638,0.9902010560035706,-0.03746413439512253,-0.030253015807829797,-0.002858757972717285,0.017178973,0.0004092704424510632,272,0.0026116167646250688,0.2,0.257568359375,1257.0,-3.0112008571428572
1311,19,7,9728,-43.653865694999695,0.9889013171195984,0.007589250802993774,-0.025361935171531513,-0.0006879568099975586,0.01723048,0.0004092704424510632,288,0.0696645969292149,0.2,0.2640380859375,1257.0,-3.0112008571428572
1308,20,7,10240,-43.63112699985504,0.9894564151763916,-0.030068539083003998,-0.02067589122452773,0.013188004493713379,0.011661969,0.0004092704424510632,304,0.004860596302023623,0.2,0.1727294921875,1257.0,-2.991136
1306,21,8,10752,-43.64101481437683,0.9887466430664062,-0.01856079325079918,-0.03545561674400233,0.0004056692123413086,0.035393383,0.0004092704424510632,320,0.0820105675375089,0.2,0.3436279296875,1257.0,-2.991136
1304,22,8,11264,-43.61624276638031,0.9885492920875549,-0.042495548725128174,-0.03111023070232477,0.024538516998291016,0.027417399,0.0004092704424510632,336,0.004540624700894114,0.2,0.306396484375,1257.0,-2.991136
1302,23,9,11776,-43.59246230125427,0.9866649508476257,-0.043501075357198715,-0.026361562020611018,0.0015733838081359863,0.01549359,0.0004092704424510632,352,0.0025733225629664958,0.2,0.197509765625,1257.0,-2.9966688888888893
1300,24,9,12288,-43.546592473983765,0.9863995313644409,0.0032838918268680573,-0.02841140824602917,0.0004691481590270996,0.033503376,0.0004092704424510632,368,0.09810379263944924,0.2,0.3060302734375,1257.0,-2.9966688888888893
1299,25,9,12800,-43.52945351600647,0.9850041270256042,-0.021745847538113594,-0.024401511989708524,-0.0015571117401123047,0.020770915,0.0004092704424510632,384,0.005383386436733417,0.2,0.2554931640625,1257.0,-2.9942291
1298,26,10,13312,-43.47430908679962,0.9829796552658081,0.029379140585660934,-0.026189946467638947,0.0010069012641906738,0.018037647,0.0004092704424510632,400,0.12185504590161145,0.2,0.268798828125,1257.0,-2.9942291
1296,27,10,13824,-43.431636095047,0.9827739000320435,-0.04026839882135391,-0.02814321973710321,-0.08672285079956055,0.019303115,0.0004092704424510632,416,0.004643013155146036,0.2,0.2457275390625,1257.0,-2.9942291
1295,28,11,14336,-43.423115491867065,0.9824758172035217,-0.03545210883021355,-0.02571715610974934,0.005587339401245117,0.018154748,0.0004092704424510632,432,0.0016055595970101422,0.2,0.2391357421875,1257.0,-2.9920281818181818
1295,29,11,14848,-43.40169417858124,0.9809643030166626,-0.01003163494169712,-0.01762100688938517,0.0010074377059936523,0.030483691,0.0004092704424510632,448,0.02578301407629624,0.2,0.2484130859375,1257.0,-2.9920281818181818
1294,30,11,15360,-43.37142515182495,0.981599748134613,-0.029589857906103134,-0.023245394135301467,0.0006175637245178223,0.01735739,0.0004092704424510632,464,0.005094483123684768,0.2,0.1881103515625,1257.0,-2.9902385833333334
