time/episodes,time/fps,train/learning_rate,time/total_timesteps,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,time/time_elapsed,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/ent_coef
4,65,0.0008459126528049375,5032,1258.0,4931,-185.19378662109375,76,-121.77723693847656,1.6194907426834106,-4.435911,0.017269356176257133
8,64,0.0008459126528049375,10064,1258.0,9963,-68.23228454589844,155,-124.37140655517578,6.07869291305542,-3.437426625,0.0009766020812094212
12,64,0.0008459126528049375,15096,1258.0,14995,-59.93489074707031,234,-108.36451721191406,9.533609390258789,-2.73172525,0.0009890156798064709
16,64,0.0008459126528049375,20128,1258.0,20027,9.974367141723633,312,-103.41120910644531,2.289924383163452,-2.340721125,0.0009389942279085517
20,63,0.0008459126528049375,25160,1258.0,25059,-70.94026947021484,2,-101.92501831054688,1.9035162925720215,-2.1118578500000003,0.000655303942039609
24,63,0.0008459126528049375,30192,1258.0,30091,-15.47037410736084,81,-97.55860900878906,2.359604835510254,-1.9352743749999999,0.0009033372043631971
28,63,0.0008459126528049375,35224,1258.0,35123,-116.82518005371094,159,-93.5353775024414,3.8164401054382324,-1.8467745357142855,0.00047794941929169
32,64,0.0008459126528049375,40256,1258.0,40155,75.06681823730469,238,-93.0604248046875,1.2087438106536865,-1.779684375,0.0003764831053558737
36,64,0.0008459126528049375,45288,1258.0,45187,-15.456196784973145,316,-87.3976058959961,1.9918038845062256,-1.7107914166666667,0.000394620728911832
40,63,0.0008459126528049375,50320,1258.0,50219,132.69833374023438,5,-86.59613037109375,2.5074145793914795,-1.6743094749999998,0.0004188219318166375
44,63,0.0008459126528049375,55352,1258.0,55251,-19.403762817382812,83,-85.52912139892578,1.2054197788238525,-1.635561227272727,0.00045249745016917586
48,63,0.0008459126528049375,60384,1258.0,60283,110.24429321289062,162,-77.92965698242188,8.1929292678833,-1.5924009791666667,0.0005756185273639858
52,63,0.0008459126528049375,65416,1258.0,65315,-67.40806579589844,241,-72.16835021972656,4.895321846008301,-1.5581142884615384,0.0004094364703632891
56,63,0.0008459126528049375,70448,1258.0,70347,-67.89219665527344,321,-70.6661376953125,2.295731782913208,-1.531454625,0.00046152580762282014
60,62,0.0008459126528049375,75480,1258.0,75379,-73.71932983398438,7,-67.33869934082031,1.2863317728042603,-1.5303539166666666,0.0005039133247919381
64,61,0.0008459126528049375,80512,1258.0,80411,3.4100277423858643,90,-63.14977264404297,1.2082531452178955,-1.5082414218749998,0.0006546861259266734
68,60,0.0008459126528049375,85544,1258.0,85443,-66.21604919433594,173,-62.063331604003906,4.939117431640625,-1.4990841617647057,0.0008723098435439169
72,60,0.0008459126528049375,90576,1258.0,90475,-58.127811431884766,256,-56.4663200378418,7.337976455688477,-1.4883602083333334,0.0006341174012050033
76,60,0.0008459126528049375,95608,1258.0,95507,-20.080615997314453,340,-49.98733901977539,2.8589179515838623,-1.472456144736842,0.000588765658903867
