time/episodes,train/ent_coef_loss,time/total_timesteps,time/time_elapsed,train/ent_coef,train/learning_rate,train/n_updates,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,train/actor_loss,time/fps
4,-174.4546661376953,5032,239,0.01752043515443802,0.0008459126528049375,4931,1.6757426261901855,1258.0,-4.305001750000001,-123.96263122558594,20
8,-76.97283172607422,10064,475,0.0008660589810460806,0.0008459126528049375,9963,6.0498528480529785,1258.0,-3.330812625,-131.63650512695312,21
12,-4.827773094177246,15096,730,0.0005271330592222512,0.0008459126528049375,14995,4.43845272064209,1258.0,-2.74648025,-127.7471694946289,20
16,15.572168350219727,20128,961,0.0012363380519673228,0.0008459126528049375,20027,3.260901927947998,1258.0,-2.3785156250000004,-113.4246597290039,20
20,16.725372314453125,25160,7,0.0010996726341545582,0.0008459126528049375,25059,4.649687767028809,1258.0,-2.1369969000000006,-98.63197326660156,21
24,7.295552730560303,30192,248,0.0016220560064539313,0.0008459126528049375,30091,22.124862670898438,1258.0,-1.9742572083333336,-56.064476013183594,20
28,-5.111774444580078,35224,479,0.0007067529368214309,0.0008459126528049375,35123,5.6613874435424805,1258.0,-1.8994915000000003,-32.142120361328125,21
32,-80.85799407958984,40256,720,0.0006520209135487676,0.0008459126528049375,40155,3.8312978744506836,1258.0,-1.803524375,-17.45294952392578,21
36,67.82598876953125,45288,965,0.0003251554735470563,0.0008459126528049375,45187,3.0469441413879395,1258.0,-1.7182943333333334,-4.6828932762146,21
40,57.46472930908203,50320,13,0.0004150443710386753,0.0008459126528049375,50219,2.3187499046325684,1258.0,-1.659188475,7.231534481048584,22
44,-16.42366600036621,55352,245,0.0003363814321346581,0.0008459126528049375,55251,1.72690749168396,1258.0,-1.6194930000000005,18.586929321289062,21
48,-57.78099060058594,60384,486,0.00020911410683766007,0.0008459126528049375,60283,1.7438766956329346,1258.0,-1.5741544583333333,29.120946884155273,21
52,-71.45023345947266,65416,731,0.00027281191432848573,0.0008459126528049375,65315,1.2732203006744385,1258.0,-1.5522675769230772,41.317604064941406,21
56,-0.07873731851577759,70448,973,0.0002486668527126312,0.0008459126528049375,70347,1.3404711484909058,1258.0,-1.529636142857143,50.043540954589844,21
60,16.95058250427246,75480,23,0.0001992556790355593,0.0008459126528049375,75379,1.7470606565475464,1258.0,-1.515738666666667,58.08345413208008,20
64,17.250450134277344,80512,274,0.00026140734553337097,0.0008459126528049375,80411,0.8518526554107666,1258.0,-1.5055905625,62.772674560546875,20
68,-63.85479736328125,85544,529,0.0004179034731350839,0.0008459126528049375,85443,0.690467119216919,1258.0,-1.487587970588235,70.73238372802734,19
72,-48.92034912109375,90576,779,7.712424849160016e-05,0.0008459126528049375,90475,1.1383209228515625,1258.0,-1.4794939166666667,72.18123626708984,19
