time/time_elapsed,rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,train/learning_rate,train/critic_loss,time/episodes,train/ent_coef_loss,time/fps
150,-4.164406,-120.54983520507812,4927,0.017468789592385292,1257.0,5028,0.0008459126528049375,1.6947848796844482,4,-180.93768310546875,33
296,-3.3561363749999997,-123.16804504394531,9955,0.0009722817339934409,1257.0,10056,0.0008459126528049375,3.3525776863098145,8,-11.483070373535156,33
436,-2.540664833333333,-124.55908203125,14983,0.0015582989435642958,1257.0,15084,0.0008459126528049375,3.216623306274414,12,32.43833923339844,34
593,-2.2397905625,-116.63043212890625,20011,0.0008630775264464319,1257.0,20112,0.0008459126528049375,3.682260036468506,16,102.9687271118164,33
3,-1.9617065999999999,-113.24806213378906,25039,0.0007994614425115287,1257.0,25140,0.0008459126528049375,4.940173149108887,20,-32.69357681274414,43
126,-1.8702734166666668,-101.19581604003906,30067,0.001285569160245359,1257.0,30168,0.0008459126528049375,3.255992889404297,24,22.91977310180664,40
275,-1.7732351428571431,-98.6907730102539,35095,0.0005326579557731748,1257.0,35196,0.0008459126528049375,1.0856119394302368,28,10.191014289855957,37
430,-1.69017584375,-86.3169174194336,40123,0.0015359865501523018,1257.0,40224,0.0008459126528049375,6.393285751342773,32,113.30193328857422,35
584,-1.6428769166666666,-73.29695129394531,45151,0.00035477799247018993,1257.0,45252,0.0008459126528049375,150.42608642578125,36,166.09280395507812,34
8,-1.58983495,-59.88010025024414,50179,0.0007873856229707599,1257.0,50280,0.0008459126528049375,9.13010311126709,40,-3.37288236618042,32
164,-1.5436754772727275,-47.6346321105957,55207,0.0016136455815285444,1257.0,55308,0.0008459126528049375,3.344623565673828,44,34.887489318847656,32
322,-1.500688875,-37.44147872924805,60235,0.0020775545854121447,1257.0,60336,0.0008459126528049375,29.01875877380371,48,18.634977340698242,32
481,-1.4697302500000002,-12.863723754882812,65263,0.001426747185178101,1257.0,65364,0.0008459126528049375,8.851733207702637,52,3.615572452545166,31
642,-1.4572720892857143,-9.024757385253906,70291,0.000455560686532408,1257.0,70392,0.0008459126528049375,4.330379486083984,56,18.07941436767578,31
14,-1.4386539666666667,-4.088747501373291,75319,0.000597821781411767,1257.0,75420,0.0008459126528049375,1.1459095478057861,60,-53.69715118408203,29
185,-1.429299140625,1.1916089057922363,80347,0.0008211642852984369,1257.0,80448,0.0008459126528049375,1.9027235507965088,64,16.931514739990234,29
355,-1.4063897794117648,24.20697021484375,85375,0.0017289146780967712,1257.0,85476,0.0008459126528049375,17.901201248168945,68,28.065387725830078,29
