time/episodes,train/critic_loss,time/total_timesteps,train/n_updates,time/time_elapsed,train/actor_loss,train/ent_coef_loss,train/ent_coef,rollout/ep_len_mean,time/fps,train/learning_rate,rollout/ep_rew_mean
4,5.345546722412109,5028,4927,394,-119.6773452758789,-168.0475311279297,0.017525658011436462,1257.0,12,0.0008459126528049375,-4.6150495000000005
8,0.9056370258331299,10056,9955,775,-127.41836547851562,-57.807579040527344,0.0016924365190789104,1257.0,12,0.0008459126528049375,-3.513922375
12,3.234757423400879,15084,14983,1158,-129.7078857421875,-11.257288932800293,0.0016168281435966492,1257.0,13,0.0008459126528049375,-2.930559
16,97.63807678222656,20112,20011,1555,-126.85376739501953,41.67335510253906,0.0009629262494854629,1257.0,12,0.0008459126528049375,-2.6728875
20,6.606653213500977,25140,25039,11,-127.031494140625,7.54367733001709,0.0005153508973307908,1257.0,12,0.0008459126528049375,-2.5128820000000003
24,2.320362091064453,30168,30067,412,-124.50055694580078,33.2999267578125,0.0007236066157929599,1257.0,12,0.0008459126528049375,-2.4040104583333335
28,4.014556884765625,35196,35095,814,-120.2980728149414,-49.882991790771484,0.0008192076347768307,1257.0,12,0.0008459126528049375,-2.3059597142857142
32,2.161930799484253,40224,40123,1225,-118.14913177490234,-55.850257873535156,0.0006354876677505672,1257.0,12,0.0008459126528049375,-2.2702488125
36,1.4495460987091064,45252,45151,1624,-113.43940734863281,-58.6785888671875,0.0005840373341925442,1257.0,12,0.0008459126528049375,-2.255414
40,3.2058043479919434,50280,50179,21,-113.66617584228516,16.354297637939453,0.0006546895601786673,1257.0,13,0.0008459126528049375,-2.20778055
44,29.719165802001953,55308,55207,409,-105.69673156738281,36.74708938598633,0.0020603188313543797,1257.0,12,0.0008459126528049375,-2.1538653863636363
48,6.323123931884766,60336,60235,795,-91.85045623779297,-36.35521697998047,0.0008542300784029067,1257.0,12,0.0008459126528049375,-2.1427626666666666
52,21.82268524169922,65364,65263,1193,-70.39911651611328,2.6697463989257812,0.0012472337111830711,1257.0,12,0.0008459126528049375,-2.1072209615384616
56,2.733447313308716,70392,70291,1592,-67.71806335449219,-43.79892349243164,0.001014672452583909,1257.0,12,0.0008459126528049375,-2.093962428571429
60,5.696585655212402,75420,75319,35,-64.45928192138672,-34.17173767089844,0.0004080871003679931,1257.0,11,0.0008459126528049375,-2.100996916666667
64,13.444608688354492,80448,80347,450,-52.17909240722656,273.10113525390625,0.00036981867742724717,1257.0,12,0.0008459126528049375,-2.091986484375
68,0.8130421042442322,85476,85375,881,-47.4438362121582,-56.23351287841797,0.0005092842620797455,1257.0,11,0.0008459126528049375,-2.0652401323529412
72,2.1641225814819336,90504,90403,1311,-39.67898941040039,26.683021545410156,0.0005736774182878435,1257.0,11,0.0008459126528049375,-2.0443573611111114
