time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/std,train/loss,train/n_updates,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
0,1,512,3842,,,,,,,,,,,,,
0,2,1024,2327,0.01897397,0.1988525390625,0.0004092704424510632,0.2,-1.6067044734954834,-0.02243464493949432,-43.98410665988922,0.9997310638427734,-0.027702243998646736,16,0.22973172530328156,,
0,3,1536,2055,0.018071229,0.280517578125,0.0004092704424510632,0.2,0.009531795978546143,-0.0320788040116895,-43.960824608802795,0.9982752203941345,-0.03915780782699585,32,0.003928487116354518,1258.0,-2.141293
1,4,2048,1950,0.013069898,0.25,0.0004092704424510632,0.2,0.007483363151550293,-0.030067704035900533,-43.91207265853882,0.9971391558647156,-0.03879263624548912,48,0.0014845096975477645,1258.0,-2.141293
1,5,2560,1893,0.018699983,0.2935791015625,0.0004092704424510632,0.2,0.007453858852386475,-0.02830854689818807,-43.89820623397827,0.9974935054779053,-0.029280293732881546,64,0.0026496209284232464,1258.0,-2.1041525
1,6,3072,1862,0.017051885,0.28076171875,0.0004092704424510632,0.2,0.006639063358306885,-0.02914524989319034,-43.91013216972351,0.9976294040679932,-0.035755693912506104,80,0.003807035624049604,1258.0,-2.1041525
1,7,3584,1838,0.017055267,0.23388671875,0.0004092704424510632,0.2,0.0034196972846984863,-0.023733701091259718,-43.914323925971985,0.9981846809387207,-0.018028734251856804,96,0.0024135138337442186,1258.0,-2.1041525
2,8,4096,1819,0.016664576,0.2413330078125,0.0004092704424510632,0.2,0.005907297134399414,-0.024566891486756504,-43.94101572036743,0.9990714192390442,-0.039212699979543686,112,0.00497576055204263,1258.0,-2.150651
2,9,4608,1813,0.019878801,0.28271484375,0.0004092704424510632,0.2,0.007207691669464111,-0.022911141597433016,-43.94900321960449,0.9985498189926147,-0.019198136404156685,128,0.006444880200433545,1258.0,-2.150651
2,10,5120,1803,0.01744688,0.2376708984375,0.0004092704424510632,0.2,0.027079403400421143,-0.023356166115263477,-43.94351851940155,0.9993799924850464,-0.03167544677853584,144,0.0045387204008875415,1258.0,-2.160068
3,11,5632,1795,0.019681275,0.2972412109375,0.0004092704424510632,0.2,0.005182325839996338,-0.02724210947053507,-43.95897912979126,0.9989268183708191,-0.029728785157203674,160,0.012790991459041834,1258.0,-2.160068
3,12,6144,1786,0.012591984,0.2235107421875,0.0004092704424510632,0.2,0.01715153455734253,-0.022761540167266503,-43.91928422451019,0.9973398447036743,-0.021276623010635376,176,0.00175148350353993,1258.0,-2.160068
3,13,6656,1780,0.02404924,0.2864990234375,0.0004092704424510632,0.2,0.019225656986236572,-0.027928865674766712,-43.87744581699371,0.9961846470832825,-0.0365416444838047,192,0.003429391588724684,1258.0,-2.1559228
4,14,7168,1774,0.02753982,0.282958984375,0.0004092704424510632,0.2,0.010829031467437744,-0.029361838387558237,-43.85384750366211,0.9962183833122253,-0.028484851121902466,208,0.0209509112755768,1258.0,-2.1559228
4,15,7680,1770,0.021822581,0.277587890625,0.0004092704424510632,0.2,0.4191763997077942,-0.025456078292336315,-43.853586077690125,0.9960963129997253,-0.040221888571977615,224,0.0033489607158116996,1258.0,-2.150839166666666
4,16,8192,1766,0.020247683,0.2989501953125,0.0004092704424510632,0.2,0.11342453956604004,-0.02641435054829344,-43.83986032009125,0.9955447912216187,-0.019748011603951454,240,0.022800502309110016,1258.0,-2.150839166666666
4,17,8704,1760,0.024452724,0.29052734375,0.0004092704424510632,0.2,-0.5149234533309937,-0.031526642735116184,-43.82337558269501,0.994991660118103,-0.04300543665885925,256,0.0018011460106208688,1258.0,-2.150839166666666
5,18,9216,1755,0.02254093,0.271728515625,0.0004092704424510632,0.2,0.24685710668563843,-0.02758832425752189,-43.82238566875458,0.9956082701683044,-0.03437433019280434,272,0.0031875203421805054,1258.0,-2.136810857142857
5,19,9728,1753,0.016123261,0.2257080078125,0.0004092704424510632,0.2,0.16543704271316528,-0.024521797167835757,-43.84286034107208,0.9963306188583374,-0.025419024750590324,288,0.030057697964366525,1258.0,-2.136810857142857
5,20,10240,1749,0.016349941,0.25048828125,0.0004092704424510632,0.2,0.24904638528823853,-0.026855799384065904,-43.87424945831299,0.9979687929153442,-0.033913012593984604,304,0.0031884652162261773,1258.0,-2.14489025
6,21,10752,1748,0.03543551,0.3240966796875,0.0004092704424510632,0.2,0.21594637632369995,-0.03260613844031468,-43.911088943481445,0.9979652166366577,-0.03649940341711044,320,0.03216004726709798,1258.0,-2.14489025
6,22,11264,1747,0.013597428,0.2193603515625,0.0004092704424510632,0.2,-2.0762650966644287,-0.027267811849014834,-43.8773627281189,0.996435284614563,-0.04928353428840637,336,0.002533826518629212,1258.0,-2.14489025
6,23,11776,1744,0.023393221,0.28173828125,0.0004092704424510632,0.2,0.35094165802001953,-0.028602983511518687,-43.84106922149658,0.9961451292037964,-0.039713650941848755,352,0.0025279501278419048,1258.0,-2.1472658888888887
7,24,12288,1743,0.026480202,0.2843017578125,0.0004092704424510632,0.2,0.11302423477172852,-0.023996341828024015,-43.85082399845123,0.9965364933013916,-0.0152442567050457,368,0.04125425941310823,1258.0,-2.1472658888888887
7,25,12800,1742,0.014214708,0.1917724609375,0.0004092704424510632,0.2,0.26283472776412964,-0.019037155201658607,-43.85851836204529,0.997008740901947,-0.018992053344845772,384,0.011268801463302225,1258.0,-2.1308494999999996
7,26,13312,1741,0.0175892,0.2518310546875,0.0004092704424510632,0.2,0.49502354860305786,-0.025613193181925453,-43.84331738948822,0.9950255155563354,-0.020297091454267502,400,0.026432853192090988,1258.0,-2.1308494999999996
7,27,13824,1740,0.020760067,0.25341796875,0.0004092704424510632,0.2,-10.600522994995117,-0.024040924152359366,-43.770673871040344,0.9925687313079834,-0.03946717455983162,416,0.0027264612490398576,1258.0,-2.1308494999999996
8,28,14336,1740,0.019736761,0.2440185546875,0.0004092704424510632,0.2,0.13252311944961548,-0.02186881794477813,-43.741004943847656,0.9939761161804199,-0.02633480913937092,432,0.0037083403585711494,1258.0,-2.125715272727273
8,29,14848,1739,0.034965076,0.3067626953125,0.0004092704424510632,0.2,0.05923837423324585,-0.023809572172467597,-43.768399238586426,0.9933437705039978,-0.023935215547680855,448,0.030696703295689076,1258.0,-2.125715272727273
