time/time_elapsed,time/iterations,time/total_timesteps,time/fps,train/approx_kl,train/clip_fraction,train/learning_rate,train/clip_range,train/explained_variance,train/policy_gradient_loss,train/entropy_loss,train/std,train/loss,train/n_updates,train/value_loss,rollout/ep_len_mean,rollout/ep_rew_mean
0,1,512,2775,,,,,,,,,,,,,
0,2,1024,1931,0.012422659,0.224365234375,0.0004092704424510632,0.2,-0.630119800567627,-0.025448163942201063,-43.998982429504395,1.0006333589553833,-0.03700288012623787,16,0.07513342416496016,,
0,3,1536,1894,0.014401158,0.208984375,0.0004092704424510632,0.2,0.06286334991455078,-0.022850818728329614,-43.99602794647217,0.9998824596405029,-0.03218495473265648,32,0.0034352031943853945,1258.0,-2.082097
1,4,2048,1918,0.019193538,0.322509765625,0.0004092704424510632,0.2,0.005513250827789307,-0.029850709019228816,-43.937307238578796,0.9966335892677307,-0.04148983210325241,48,0.004069692178745754,1258.0,-2.082097
1,5,2560,1934,0.01803079,0.2510986328125,0.0004092704424510632,0.2,0.005603015422821045,-0.028632600369746797,-43.849928855895996,0.995337963104248,-0.03991612046957016,64,0.0022227299414225854,1258.0,-2.1549155
1,6,3072,1943,0.017449614,0.271728515625,0.0004092704424510632,0.2,-0.0180741548538208,-0.021988180349580944,-43.846758127212524,0.9958357810974121,-0.02524237334728241,80,0.008152807684382424,1258.0,-2.1549155
1,7,3584,1944,0.0184535,0.286865234375,0.0004092704424510632,0.2,0.04086875915527344,-0.028476778621552512,-43.8506224155426,0.9955487251281738,-0.03488238528370857,96,0.0019117558549623936,1258.0,-2.1549155
2,8,4096,1951,0.015129905,0.2635498046875,0.0004092704424510632,0.2,0.05582457780838013,-0.03173482828424312,-43.84341216087341,0.9956408739089966,-0.02948947623372078,112,0.004836256441194564,1258.0,-2.129262333333333
2,9,4608,1951,0.01566369,0.276611328125,0.0004092704424510632,0.2,0.02927631139755249,-0.02862306394672487,-43.813730359077454,0.9930142760276794,-0.030391491949558258,128,0.013086689577903599,1258.0,-2.129262333333333
2,10,5120,1927,0.018477995,0.291748046875,0.0004092704424510632,0.2,0.3110751509666443,-0.030810106720309705,-43.74425506591797,0.9924042224884033,-0.045866381376981735,144,0.003134146591037279,1258.0,-2.10752125
2,11,5632,1913,0.017567936,0.23583984375,0.0004092704424510632,0.2,0.03320741653442383,-0.0224189099681098,-43.73822021484375,0.991802453994751,-0.020717553794384003,160,0.016115745675051585,1258.0,-2.10752125
3,12,6144,1901,0.0166759,0.25439453125,0.0004092704424510632,0.2,0.054008424282073975,-0.021768985156086273,-43.70819365978241,0.990776002407074,-0.028252478688955307,176,0.0020085392534383573,1258.0,-2.10752125
3,13,6656,1889,0.028828613,0.3321533203125,0.0004092704424510632,0.2,0.2785124182701111,-0.031457714168936945,-43.68428659439087,0.9905201196670532,-0.033181332051754,192,0.0028488039679359645,1258.0,-2.0870912
3,14,7168,1879,0.022302581,0.3125,0.0004092704424510632,0.2,0.12696343660354614,-0.0277701313898433,-43.68098795413971,0.9902399778366089,-0.021381337195634842,208,0.02243713493226096,1258.0,-2.0870912
4,15,7680,1886,0.015038583,0.2557373046875,0.0004092704424510632,0.2,0.6345518231391907,-0.027865397321875207,-43.67850053310394,0.9906088709831238,-0.034228645265102386,224,0.003830802801530808,1258.0,-2.0935818333333334
