time/time_elapsed,time/fps,time/iterations,time/total_timesteps,train/n_updates,train/entropy_loss,train/clip_range,train/learning_rate,train/loss,train/clip_fraction,train/value_loss,train/approx_kl,train/explained_variance,train/policy_gradient_loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
0,3756,1,512,,,,,,,,,,,,,
0,1820,2,1024,16,-43.98464834690094,0.2,0.0004092704424510632,-0.044827233999967575,0.229736328125,0.1674674464884447,0.014945579,-0.5668429136276245,-0.0360367199536995,1.000195860862732,,
0,1558,3,1536,32,-44.005019307136536,0.2,0.0004092704424510632,-0.034128036350011826,0.276611328125,0.0036002592532895505,0.019211002,0.027578651905059814,-0.03215650907077361,1.0008615255355835,-2.223981,1257.0
1,1447,4,2048,48,-44.00124728679657,0.2,0.0004092704424510632,-0.031231941655278206,0.3204345703125,0.01159287421614863,0.020719036,-0.0010149478912353516,-0.027001005510101095,1.0001063346862793,-2.223981,1257.0
1,1389,5,2560,64,-43.986822724342346,0.2,0.0004092704424510632,-0.027174046263098717,0.2484130859375,0.002407082520221593,0.017178673,0.07830959558486938,-0.02567945225746371,1.0002291202545166,-2.2765755,1257.0
2,1355,6,3072,80,-43.981380224227905,0.2,0.0004092704424510632,-0.03269888833165169,0.3167724609375,0.0213869113358669,0.020698648,-0.014289021492004395,-0.03155858107493259,0.9991464018821716,-2.2765755,1257.0
2,1330,7,3584,96,-43.9337522983551,0.2,0.0004092704424510632,-0.054507430642843246,0.3070068359375,0.004781446201377548,0.022436291,0.034646689891815186,-0.036534961458528414,0.997973620891571,-2.2765755,1257.0
3,1311,8,4096,112,-43.8908406496048,0.2,0.0004092704424510632,-0.02716941386461258,0.2659912109375,0.004593440688040573,0.019289386,0.01043635606765747,-0.023913894474389963,0.9961002469062805,-2.3524773333333333,1257.0
3,1297,9,4608,128,-43.86296784877777,0.2,0.0004092704424510632,-0.02111715078353882,0.297607421875,0.03255181107670069,0.019533832,0.0036394596099853516,-0.026870893663726747,0.9971306324005127,-2.3524773333333333,1257.0
3,1286,10,5120,144,-43.87450444698334,0.2,0.0004092704424510632,-0.033558111637830734,0.242919921875,0.0018673915383260464,0.015580913,0.04616260528564453,-0.02798520924989134,0.9956514239311218,-2.33738125,1257.0
4,1278,11,5632,160,-43.775166153907776,0.2,0.0004092704424510632,-0.008292598649859428,0.2152099609375,0.03875993366818875,0.014397087,-0.0025997161865234375,-0.021792084880871698,0.9911738038063049,-2.33738125,1257.0
4,1271,12,6144,176,-43.66323947906494,0.2,0.0004092704424510632,-0.02944290079176426,0.25341796875,0.004655212709621992,0.015871238,0.06202906370162964,-0.026262980711180717,0.9898585677146912,-2.33738125,1257.0
5,1265,13,6656,192,-43.65668177604675,0.2,0.0004092704424510632,-0.038755569607019424,0.2554931640625,0.004599089501425624,0.01943951,0.0071773529052734375,-0.02397291176021099,0.9898949861526489,-2.3584118,1257.0
5,1259,14,7168,208,-43.65515637397766,0.2,0.0004092704424510632,-0.01866791769862175,0.3067626953125,0.049509989796206355,0.026287429,0.003779113292694092,-0.03174528138333699,0.9898247718811035,-2.3584118,1257.0
6,1255,15,7680,224,-43.64135670661926,0.2,0.0004092704424510632,-0.020433098077774048,0.2183837890625,0.0029145512489776593,0.015127846,0.0051999688148498535,-0.021764479752164334,0.9888259172439575,-2.294419,1257.0
