time/total_timesteps,time/episodes,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,train/learning_rate,time/fps,train/n_updates,time/time_elapsed,train/actor_loss
5028,4,1257.0,55.547393798828125,-164.86090087890625,-4.4716085,0.017573557794094086,0.0008459126528049375,12,4927,412,-123.06295776367188
10056,8,1257.0,1.5996546745300293,-71.39883422851562,-3.428761625,0.0009137130691669881,0.0008459126528049375,11,9955,850,-130.49713134765625
15084,12,1257.0,57.21623992919922,-41.019554138183594,-2.7415040833333335,0.0008962363936007023,0.0008459126528049375,11,14983,1290,-134.2277069091797
20112,16,1257.0,6.010363578796387,-41.048648834228516,-2.4469930625,0.0011669188970699906,0.0008459126528049375,11,20011,1734,-139.57192993164062
25140,20,1257.0,3.4562697410583496,-32.30976867675781,-2.2748695999999997,0.0012011814396828413,0.0008459126528049375,11,25039,12,-138.90538024902344
30168,24,1257.0,6.198399543762207,62.76816177368164,-2.148384666666667,0.0013824492925778031,0.0008459126528049375,11,30067,458,-141.81398010253906
35196,28,1257.0,10.370244979858398,148.17410278320312,-2.09950525,0.0006785856676287949,0.0008459126528049375,11,35095,905,-140.77200317382812
40224,32,1257.0,7.751365661621094,77.24893188476562,-2.05377571875,0.000906157772988081,0.0008459126528049375,11,40123,1354,-136.5012969970703
45252,36,1257.0,53.686248779296875,161.7154998779297,-2.0309500277777772,0.0006259871879592538,0.0008459126528049375,11,45151,1798,-124.77299499511719
50280,40,1257.0,26.631175994873047,51.14523696899414,-1.990719125,0.0011422873940318823,0.0008459126528049375,11,50179,24,-105.73517608642578
55308,44,1257.0,4.8751959800720215,37.690826416015625,-1.951607045454545,0.0012228033738210797,0.0008459126528049375,11,55207,466,-102.2102279663086
60336,48,1257.0,9.763751983642578,-83.43035888671875,-1.9315486666666668,0.0008356650942005217,0.0008459126528049375,11,60235,904,-91.70085906982422
65364,52,1257.0,3.0622215270996094,41.18113327026367,-1.9465248846153846,0.0007656947709619999,0.0008459126528049375,11,65263,1355,-88.41899871826172
70392,56,1257.0,2.2489213943481445,-12.636237144470215,-1.935368625,0.0008247458608821034,0.0008459126528049375,11,70291,1814,-72.75750732421875
75420,60,1257.0,2.6022064685821533,-29.40026092529297,-1.9029199,0.0007937871268950403,0.0008459126528049375,10,75319,38,-72.42310333251953
80448,64,1257.0,3.616128444671631,-68.59223175048828,-1.8873604062500002,0.0006568480748683214,0.0008459126528049375,10,80347,510,-68.52706909179688
85476,68,1257.0,0.9669957160949707,64.2222900390625,-1.8844895441176472,0.000390736386179924,0.0008459126528049375,10,85375,990,-68.28755950927734
90504,72,1257.0,2.0405707359313965,-60.38886642456055,-1.872155902777778,0.00046231038868427277,0.0008459126528049375,10,90403,1468,-61.49239730834961
95532,76,1257.0,1.0279170274734497,-14.143250465393066,-1.8511336578947368,0.0005390159203670919,0.0008459126528049375,10,95431,1926,-56.141029357910156
