time/episodes,train/ent_coef,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,train/actor_loss,train/n_updates,train/learning_rate,train/ent_coef_loss,train/critic_loss
4,0.017114346846938133,460,5028,1257.0,-4.5768875,10,-119.49278259277344,4927,0.0008459126528049375,-164.05380249023438,1.5887467861175537
8,0.001067067845724523,923,10056,1257.0,-3.4557555,10,-124.45050048828125,9955,0.0008459126528049375,69.07209777832031,26.517196655273438
12,0.0017172140069305897,1381,15084,1257.0,-2.726970916666667,10,-119.98851013183594,14983,0.0008459126528049375,-6.872735023498535,4.408905506134033
16,0.001223818282596767,1840,20112,1257.0,-2.43086775,10,-108.27458190917969,20011,0.0008459126528049375,18.259737014770508,3.598165512084961
20,0.0008192674140445888,12,25140,1257.0,-2.2817382000000004,11,-92.6247787475586,25039,0.0008459126528049375,-41.532630920410156,76.20262145996094
24,0.0003814389929175377,466,30168,1257.0,-2.156624583333333,11,-78.82589721679688,30067,0.0008459126528049375,131.61932373046875,2.405775547027588
28,0.0007423339411616325,919,35196,1257.0,-2.0570845357142855,11,-77.22643280029297,35095,0.0008459126528049375,21.910884857177734,9.296319961547852
32,0.0008572214283049107,1373,40224,1257.0,-1.9934796562500001,11,-74.2820053100586,40123,0.0008459126528049375,31.518129348754883,2.5417063236236572
36,0.0008133931551128626,1823,45252,1257.0,-1.9297990000000003,11,-68.46623229980469,45151,0.0008459126528049375,15.286249160766602,17.908323287963867
40,0.0013110522413626313,24,50280,1257.0,-1.872871575,11,-47.30122375488281,50179,0.0008459126528049375,-24.290977478027344,14.072660446166992
44,0.0013309720670804381,479,55308,1257.0,-1.831008340909091,11,-44.875709533691406,55207,0.0008459126528049375,2.820875406265259,31.02611541748047
48,0.0008995974785648286,938,60336,1257.0,-1.7929092083333333,11,-41.2059326171875,60235,0.0008459126528049375,32.4494743347168,3.293135643005371
52,0.0010757119162008166,1407,65364,1257.0,-1.771080826923077,10,-29.45834732055664,65263,0.0008459126528049375,-15.350261688232422,4.319104194641113
56,0.00048603935283608735,1875,70392,1257.0,-1.7532979821428571,10,-22.47093391418457,70291,0.0008459126528049375,3.983513116836548,2.5103893280029297
60,0.00087439373601228,39,75420,1257.0,-1.7332805833333331,10,-13.863245964050293,75319,0.0008459126528049375,33.546207427978516,12.67143440246582
64,0.0010433627758175135,520,80448,1257.0,-1.715052890625,10,-9.892919540405273,80347,0.0008459126528049375,15.506875991821289,3.904529571533203
68,0.0008129949565045536,996,85476,1257.0,-1.708285,10,-1.6711773872375488,85375,0.0008459126528049375,39.944175720214844,5.928799629211426
72,0.0008250322425737977,1476,90504,1257.0,-1.689513263888889,10,1.9977905750274658,90403,0.0008459126528049375,19.40558433532715,9.277271270751953
