train/n_updates,time/episodes,train/ent_coef_loss,time/time_elapsed,train/ent_coef,time/fps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,rollout/ep_len_mean
4931,4,-160.28472900390625,170,0.017480846494436264,29,-123.91215515136719,5.49886417388916,-4.98143625,5032,0.0008459126528049375,1258.0
9963,8,46.51397705078125,345,0.001149585354141891,29,-130.61834716796875,7.521347522735596,-3.875545875,10064,0.0008459126528049375,1258.0
14995,12,66.45683288574219,510,0.0005134073435328901,29,-131.07833862304688,1.8803036212921143,-3.21531425,15096,0.0008459126528049375,1258.0
20027,16,-105.1380386352539,659,0.0006519288872368634,30,-108.5820541381836,4.355213642120361,-2.88649075,20128,0.0008459126528049375,1258.0
25059,20,51.6616325378418,5,0.001077096676453948,27,-107.35991668701172,3.5127933025360107,-2.6617583500000004,25160,0.0008459126528049375,1258.0
30091,24,-5.6860032081604,188,0.0006491358508355916,27,-96.34120178222656,2.4381802082061768,-2.600199625,30192,0.0008459126528049375,1258.0
35123,28,16.40959358215332,368,0.0006427425541915,27,-96.14409637451172,0.7078152894973755,-2.5178821071428574,35224,0.0008459126528049375,1258.0
40155,32,-10.506153106689453,547,0.00029620598070323467,27,-89.29303741455078,1.8373606204986572,-2.4120403125,40256,0.0008459126528049375,1258.0
45187,36,-52.89924621582031,725,0.0006764472927898169,27,-72.9997787475586,2.7357702255249023,-2.3245198333333335,45288,0.0008459126528049375,1258.0
50219,40,49.15581512451172,11,0.0005159503780305386,28,-67.78903198242188,1.1304621696472168,-2.256161375,50320,0.0008459126528049375,1258.0
55251,44,-0.8952203392982483,192,0.00042525131721049547,27,-60.94259262084961,1.3383917808532715,-2.206853727272727,55352,0.0008459126528049375,1258.0
60283,48,-37.930145263671875,374,0.0008198071154765785,27,-58.83902359008789,16.83430290222168,-2.1721887916666667,60384,0.0008459126528049375,1258.0
65315,52,9.98646068572998,543,0.0009634760208427906,28,-43.55674743652344,101.64714050292969,-2.1400784423076926,65416,0.0008459126528049375,1258.0
70347,56,9.48017406463623,697,0.0018652522703632712,29,-17.688175201416016,13.608488082885742,-2.1181096428571426,70448,0.0008459126528049375,1258.0
75379,60,-42.150054931640625,17,0.0012213027803227305,27,-2.1182503700256348,9.625057220458984,-2.0851950666666665,75480,0.0008459126528049375,1258.0
80411,64,-15.526604652404785,206,0.0006395914242602885,26,0.4788229167461395,3.3869924545288086,-2.054627109375,80512,0.0008459126528049375,1258.0
85443,68,-70.60681915283203,396,0.0006956013385206461,26,10.163253784179688,10.439887046813965,-2.021783588235294,85544,0.0008459126528049375,1258.0
90475,72,1.0046494007110596,585,0.0012543837074190378,26,21.172090530395508,7.318864345550537,-1.9844223611111111,90576,0.0008459126528049375,1258.0
95507,76,1.944070816040039,775,0.0012233048910275102,26,27.41527557373047,18.827190399169922,-1.9665739736842105,95608,0.0008459126528049375,1258.0
