train/n_updates,time/episodes,train/ent_coef_loss,time/time_elapsed,train/ent_coef,time/fps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,rollout/ep_len_mean
4931,4,-174.90858459472656,189,0.01751047931611538,26,-123.9070053100586,1.6698722839355469,-4.837725,5032,0.0008459126528049375,1258.0
9963,8,2.2182493209838867,387,0.0009976718574762344,25,-130.75474548339844,10.392157554626465,-3.8308722499999996,10064,0.0008459126528049375,1258.0
14995,12,-13.566245079040527,582,0.0008028047741390765,25,-125.85305786132812,2.7161598205566406,-3.152996416666667,15096,0.0008459126528049375,1258.0
20027,16,-31.525585174560547,756,0.0009415920940227807,26,-110.26103973388672,2.8636271953582764,-2.7993583749999997,20128,0.0008459126528049375,1258.0
25059,20,10.996870040893555,5,0.0005128604825586081,29,-104.9371109008789,4.693975448608398,-2.6326205499999995,25160,0.0008459126528049375,1258.0
30091,24,-61.744022369384766,185,0.0007823023479431868,28,-94.56157684326172,2.1549105644226074,-2.468474375,30192,0.0008459126528049375,1258.0
35123,28,257.0841369628906,351,0.001016473863273859,29,-72.54864501953125,23.166166305541992,-2.3451765357142853,35224,0.0008459126528049375,1258.0
40155,32,-0.8471270799636841,532,0.0005267710075713694,28,-67.12872314453125,2.3870444297790527,-2.273393875,40256,0.0008459126528049375,1258.0
45187,36,31.30702018737793,708,0.0005738369654864073,28,-57.85944366455078,2.7748913764953613,-2.241386861111111,45288,0.0008459126528049375,1258.0
50219,40,8.29928207397461,9,0.00034405189217068255,32,-55.624839782714844,1.776984691619873,-2.1794093500000002,50320,0.0008459126528049375,1258.0
55251,44,-68.20866394042969,166,0.00022423033078666776,32,-52.89984130859375,1.4532407522201538,-2.1484707272727275,55352,0.0008459126528049375,1258.0
60283,48,-38.64255142211914,325,0.0005237871082499623,31,-49.743751525878906,2.2194876670837402,-2.1074185625,60384,0.0008459126528049375,1258.0
65315,52,-44.61709213256836,481,0.0009362432756461203,32,-46.854827880859375,1.9834938049316406,-2.068002769230769,65416,0.0008459126528049375,1258.0
70347,56,-7.506789684295654,638,0.0005908944294787943,32,-43.127037048339844,0.8670307993888855,-2.0472776964285715,70448,0.0008459126528049375,1258.0
75379,60,124.54292297363281,15,0.00026943613192997873,30,-36.55925750732422,1.9523663520812988,-2.0086197500000003,75480,0.0008459126528049375,1258.0
80411,64,4.269758224487305,183,0.0006729001761414111,30,-34.80373001098633,1.9646919965744019,-1.988179734375,80512,0.0008459126528049375,1258.0
85443,68,50.35429382324219,362,0.0005451317992992699,29,-32.510040283203125,4.351586818695068,-1.967163161764706,85544,0.0008459126528049375,1258.0
90475,72,-24.79007911682129,532,0.001124087255448103,29,-22.652202606201172,4.993173599243164,-1.9586961527777775,90576,0.0008459126528049375,1258.0
95507,76,15.476161003112793,717,0.0012876243563368917,28,-20.930713653564453,5.801116943359375,-1.9367179605263156,95608,0.0008459126528049375,1258.0
