train/n_updates,time/episodes,train/ent_coef_loss,time/time_elapsed,train/ent_coef,time/fps,train/actor_loss,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,rollout/ep_len_mean
4931,4,-170.32443237304688,170,0.017397241666913033,29,-123.46726989746094,2.084517478942871,-4.7973015,5032,0.0008459126528049375,1258.0
9963,8,35.48960876464844,340,0.0015966646606102586,29,-121.81182861328125,15.460261344909668,-3.72148625,10064,0.0008459126528049375,1258.0
14995,12,-49.49800491333008,494,0.0017529585165902972,30,-109.59991455078125,5.094585418701172,-3.0402289166666665,15096,0.0008459126528049375,1258.0
20027,16,15.611464500427246,656,0.0006529985112138093,30,-98.83451843261719,7.989583492279053,-2.70909275,20128,0.0008459126528049375,1258.0
25059,20,52.802425384521484,5,0.0006555183208547533,27,-77.75812530517578,3.715794086456299,-2.52969405,25160,0.0008459126528049375,1258.0
30091,24,-30.662580490112305,180,0.0007105368422344327,28,-63.648597717285156,9.95821762084961,-2.445442208333333,30192,0.0008459126528049375,1258.0
35123,28,-18.249691009521484,342,0.0003996386658400297,29,-61.023292541503906,3.383997917175293,-2.3688891785714286,35224,0.0008459126528049375,1258.0
40155,32,-42.03123092651367,505,0.00021994911367073655,30,-60.68605041503906,0.9845354557037354,-2.31127334375,40256,0.0008459126528049375,1258.0
45187,36,105.94544982910156,665,0.0003238544741179794,30,-57.12128448486328,3.4967188835144043,-2.2484797777777774,45288,0.0008459126528049375,1258.0
50219,40,-38.597450256347656,11,0.0005848987493664026,26,-58.275718688964844,8.535640716552734,-2.207070575,50320,0.0008459126528049375,1258.0
55251,44,-43.48779296875,199,0.0005705864750780165,26,-52.25375747680664,0.5927015542984009,-2.1541034999999997,55352,0.0008459126528049375,1258.0
60283,48,9.40492057800293,386,0.0005786134279333055,26,-48.3719482421875,25.7728271484375,-2.142231125,60384,0.0008459126528049375,1258.0
65315,52,0.14526808261871338,575,0.0005610304069705307,26,-47.91082763671875,2.4367151260375977,-2.105719096153846,65416,0.0008459126528049375,1258.0
70347,56,61.31984329223633,767,0.0007046276004984975,26,-45.820098876953125,4.535552501678467,-2.072890875,70448,0.0008459126528049375,1258.0
75379,60,25.17222023010254,18,0.00086316152010113,25,-44.161590576171875,1.455871820449829,-2.054157,75480,0.0008459126528049375,1258.0
80411,64,14.39962387084961,216,0.0008407679270021617,25,-40.546627044677734,1.9589917659759521,-2.046962640625,80512,0.0008459126528049375,1258.0
85443,68,-50.05378341674805,407,0.0005105123273096979,25,-40.39358901977539,1.119903564453125,-2.0278717058823528,85544,0.0008459126528049375,1258.0
90475,72,-21.774324417114258,581,0.0009945498313754797,26,-37.44990539550781,2.5222177505493164,-1.9936619166666665,90576,0.0008459126528049375,1258.0
95507,76,-33.78572463989258,763,0.0006348643801175058,26,-35.725528717041016,1.8970603942871094,-1.979530447368421,95608,0.0008459126528049375,1258.0
