rollout/ep_len_mean,time/time_elapsed,train/critic_loss,train/n_updates,train/actor_loss,train/ent_coef_loss,time/episodes,time/fps,rollout/ep_rew_mean,train/learning_rate,time/total_timesteps,train/ent_coef
1257.0,165,39.664306640625,4927,-118.34380340576172,-186.3629150390625,4,30,-4.8970515,0.0008459126528049375,5028,0.017035484313964844
1257.0,333,5.26108455657959,9955,-121.74176025390625,-65.60298156738281,8,30,-3.72657525,0.0008459126528049375,10056,0.0012933871475979686
1257.0,502,2.228184700012207,14983,-116.0149154663086,23.6746883392334,12,30,-3.0723085,0.0008459126528049375,15084,0.0008038834785111248
1257.0,672,8.017821311950684,20011,-115.59839630126953,56.096046447753906,16,29,-2.700002875,0.0008459126528049375,20112,0.0007632713532075286
1257.0,5,2.0617737770080566,25039,-101.05447387695312,-11.908234596252441,20,24,-2.4966684999999997,0.0008459126528049375,25140,0.0003618264163378626
1257.0,180,3.343353271484375,30067,-99.56678771972656,-49.736289978027344,24,28,-2.3229024166666665,0.0008459126528049375,30168,0.00038532790495082736
1257.0,375,8.232787132263184,35095,-79.05042266845703,4.471306800842285,28,27,-2.17967575,0.0008459126528049375,35196,0.001576632377691567
1257.0,581,2.4507930278778076,40123,-74.01783752441406,12.737505912780762,32,26,-2.1072610000000003,0.0008459126528049375,40224,0.0008334973827004433
1257.0,766,6.379513740539551,45151,-53.833499908447266,15.047394752502441,36,26,-2.0469709722222227,0.0008459126528049375,45252,0.0011540588457137346
1257.0,9,3.6293814182281494,50179,-48.16227722167969,73.74351501464844,40,30,-1.9969806749999996,0.0008459126528049375,50280,0.0005095307715237141
1257.0,205,1.4669499397277832,55207,-41.39838409423828,-104.72611236572266,44,25,-1.9616413409090905,0.0008459126528049375,55308,0.00028124917298555374
1257.0,409,1.8574142456054688,60235,-38.01637268066406,-39.02666473388672,48,25,-1.9394086249999998,0.0008459126528049375,60336,0.0002642832405399531
1257.0,581,1.7006175518035889,65263,-37.67609405517578,38.036956787109375,52,26,-1.9071663269230765,0.0008459126528049375,65364,0.00022557750344276428
1257.0,764,1.186125636100769,70291,-35.368408203125,5.138189792633057,56,26,-1.8916495535714286,0.0008459126528049375,70392,0.00024605379439890385
