time/episodes,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,train/actor_loss,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/critic_loss,time/total_timesteps,time/fps,time/time_elapsed
4,-4.377908,0.0008459126528049375,0.017059674486517906,-123.18006896972656,1258.0,-179.11073303222656,4931,3.2176523208618164,5032,33,152
8,-3.47864075,0.0008459126528049375,0.001233310322277248,-133.3292694091797,1258.0,-71.13246154785156,9963,5.2015299797058105,10064,32,307
12,-2.8844550833333327,0.0008459126528049375,0.0010570543818175793,-136.22604370117188,1258.0,26.09770393371582,14995,6.620651721954346,15096,32,462
16,-2.4874861249999998,0.0008459126528049375,0.0006862677983008325,-136.37112426757812,1258.0,-1.7645386457443237,20027,3.958817481994629,20128,32,617
20,-2.3099475,0.0008459126528049375,0.0015028049238026142,-119.59847259521484,1258.0,3.1387858390808105,25059,7.497890472412109,25160,32,4
24,-2.2040439166666665,0.0008459126528049375,0.0005252437549643219,-118.62084197998047,1258.0,60.38965606689453,30091,2.154970645904541,30192,32,160
28,-2.091596071428571,0.0008459126528049375,0.0008170982473529875,-80.68004608154297,1258.0,2.7224040031433105,35123,2.500211238861084,35224,36,282
32,-2.0449017187500003,0.0008459126528049375,0.0008881981484591961,-80.99579620361328,1258.0,4.5483078956604,40155,4.5150299072265625,40256,38,396
36,-1.972644083333334,0.0008459126528049375,0.00047651465865783393,-80.39603424072266,1258.0,30.6967716217041,45187,1.3439717292785645,45288,39,511
40,-1.9117409000000003,0.0008459126528049375,0.0003027679631486535,-77.448486328125,1258.0,-6.558577060699463,50219,1.0183510780334473,50320,32,9
44,-1.8513590454545457,0.0008459126528049375,0.00047248793998733163,-72.77297973632812,1258.0,-3.664869785308838,55251,1.0916413068771362,55352,32,166
48,-1.7955456666666665,0.0008459126528049375,0.0011115041561424732,-44.64993667602539,1258.0,-21.203622817993164,60283,3.5962562561035156,60384,32,323
52,-1.7630836346153842,0.0008459126528049375,0.0004777994763571769,-38.79659652709961,1258.0,3.661834239959717,65315,3.991364002227783,65416,32,479
56,-1.7403313214285716,0.0008459126528049375,0.0008556275279261172,-37.510433197021484,1258.0,31.769882202148438,70347,2.399057149887085,70448,32,637
60,-1.7243789833333336,0.0008459126528049375,0.0005558194243349135,-34.06206130981445,1258.0,-14.141430854797363,75379,1.4130221605300903,75480,30,15
64,-1.706236296875,0.0008459126528049375,0.0011233730474486947,-16.798954010009766,1258.0,-9.871186256408691,80411,8.394857406616211,80512,29,184
68,-1.735238617647059,0.0008459126528049375,0.0008037681109271944,-13.250615119934082,1258.0,-26.155582427978516,85443,1.9205116033554077,85544,29,355
72,-1.7190202083333332,0.0008459126528049375,0.0023226758930832148,8.358770370483398,1258.0,-18.912418365478516,90475,10.031120300292969,90576,29,526
76,-1.7021353289473682,0.0008459126528049375,0.001466986141167581,25.99749755859375,1258.0,0.5089353322982788,95507,38.63502502441406,95608,29,697
