time/episodes,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,train/actor_loss,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/critic_loss,time/total_timesteps,time/fps,time/time_elapsed
4,-4.2587235,0.0008459126528049375,0.01740267686545849,-124.0505599975586,1258.0,-163.791259765625,4931,1.8953168392181396,5032,43,116
8,-3.30780925,0.0008459126528049375,0.0013122037053108215,-130.41432189941406,1258.0,20.136140823364258,9963,5.431227207183838,10064,42,234
12,-2.6473253333333333,0.0008459126528049375,0.0009890557266771793,-135.8671112060547,1258.0,33.28486633300781,14995,5.496992111206055,15096,42,352
16,-2.2778251249999997,0.0008459126528049375,0.0005585325416177511,-139.3074493408203,1258.0,19.03542709350586,20027,3.352750301361084,20128,42,478
20,-2.1021406,0.0008459126528049375,0.0014648507349193096,-114.05071258544922,1258.0,-69.50745391845703,25059,6.654255390167236,25160,31,5
24,-1.9974744166666667,0.0008459126528049375,0.0010613620979711413,-104.72320556640625,1258.0,-17.70067596435547,30091,17.136211395263672,30192,30,169
28,-1.9204719285714285,0.0008459126528049375,0.0011459661182016134,-83.14405059814453,1258.0,-0.8879365921020508,35123,6.917632102966309,35224,30,332
32,-1.8458484687499999,0.0008459126528049375,0.0004556656058412045,-79.87570190429688,1258.0,25.293861389160156,40155,1.5741915702819824,40256,30,494
36,-1.7720794999999998,0.0008459126528049375,0.0006834609666839242,-77.66048431396484,1258.0,45.07864761352539,45187,2.574228048324585,45288,30,657
40,-1.7261635999999996,0.0008459126528049375,0.0003580261254683137,-72.57617950439453,1258.0,-33.66575241088867,50219,0.9725527167320251,50320,30,10
44,-1.6810161363636362,0.0008459126528049375,0.0003159086045343429,-68.8134536743164,1258.0,38.40296936035156,55251,6.667078971862793,55352,30,173
48,-1.635632125,0.0008459126528049375,0.00040747536695562303,-66.15704345703125,1258.0,12.116433143615723,60283,1.2891688346862793,60384,30,336
52,-1.608458,0.0008459126528049375,0.00039380736416205764,-63.017066955566406,1258.0,79.70181274414062,65315,1.3004045486450195,65416,30,512
56,-1.5767657499999999,0.0008459126528049375,0.00037261986290104687,-60.341163635253906,1258.0,-32.52122116088867,70347,1.4346446990966797,70448,30,677
60,-1.548126883333333,0.0008459126528049375,0.0005820808582939208,-58.21707534790039,1258.0,43.43185806274414,75379,1.916855812072754,75480,28,16
64,-1.5266687656249998,0.0008459126528049375,0.0010312445228919387,-53.743019104003906,1258.0,21.810779571533203,80411,3.2455172538757324,80512,28,195
68,-1.5054348235294115,0.0008459126528049375,0.0007604468264617026,-48.95226287841797,1258.0,-41.50196838378906,85443,15.103199005126953,85544,28,375
72,-1.487341625,0.0008459126528049375,0.0009122425108216703,-41.08924102783203,1258.0,16.3169002532959,90475,7.0442280769348145,90576,28,555
76,-1.4713960394736842,0.0008459126528049375,0.0013654300710186362,-30.178241729736328,1258.0,-18.218971252441406,95507,5.260113716125488,95608,27,736
