time/episodes,rollout/ep_rew_mean,train/learning_rate,train/ent_coef,train/actor_loss,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,train/critic_loss,time/total_timesteps,time/fps,time/time_elapsed
4,-4.520764,0.0008459126528049375,0.016908328980207443,-121.00328826904297,1258.0,-183.0592041015625,4931,1.7345390319824219,5032,30,162
8,-3.4940539999999998,0.0008459126528049375,0.0011162003502249718,-120.28742218017578,1258.0,45.19004821777344,9963,15.290410995483398,10064,30,331
12,-2.796503166666666,0.0008459126528049375,0.0010802316246554255,-112.02613830566406,1258.0,-5.895415306091309,14995,4.068787574768066,15096,30,500
16,-2.546756625,0.0008459126528049375,0.0013534282334148884,-99.97871398925781,1258.0,-93.40763854980469,20027,4.704504489898682,20128,30,667
20,-2.33515665,0.0008459126528049375,0.000779134628828615,-94.24052429199219,1258.0,31.37501335144043,25059,3.4504852294921875,25160,30,5
24,-2.1758290000000002,0.0008459126528049375,0.0005256228032521904,-91.61131286621094,1258.0,-35.12685012817383,30091,1.1831865310668945,30192,30,171
28,-2.0345285714285715,0.0008459126528049375,0.0003309440508019179,-90.0111083984375,1258.0,60.493690490722656,35123,1.850684404373169,35224,30,335
32,-2.01111365625,0.0008459126528049375,0.00026715995045378804,-87.88751220703125,1258.0,91.67658233642578,40155,1.6147838830947876,40256,31,482
36,-1.9306148333333333,0.0008459126528049375,0.0007807364454492927,-63.29521179199219,1258.0,11.692893981933594,45187,2.8106932640075684,45288,31,649
40,-1.873600125,0.0008459126528049375,0.0004322876047808677,-57.596954345703125,1258.0,75.61580657958984,50219,3.7335386276245117,50320,41,7
44,-1.8305794772727269,0.0008459126528049375,0.0010988727444782853,-38.374351501464844,1258.0,156.99073791503906,55251,17.23715591430664,55352,41,129
48,-1.7991459583333331,0.0008459126528049375,0.0009350917534902692,-15.273674011230469,1258.0,-82.678955078125,60283,6.620379447937012,60384,41,251
52,-1.777177903846154,0.0008459126528049375,0.0003928504593204707,-14.293651580810547,1258.0,27.22681427001953,65315,2.024566888809204,65416,41,375
56,-1.7558509285714285,0.0008459126528049375,0.0003253387985751033,-11.205303192138672,1258.0,20.650922775268555,70347,6.165781497955322,70448,40,499
60,-1.7398564166666666,0.0008459126528049375,0.0003916603163816035,-3.8841371536254883,1258.0,-29.941650390625,75379,1.3218446969985962,75480,36,12
64,-1.7194021562500001,0.0008459126528049375,0.0012227834668010473,13.762983322143555,1258.0,-1.9381601810455322,80411,7.914305210113525,80512,35,153
68,-1.7063846911764708,0.0008459126528049375,0.0008978293044492602,19.11259651184082,1258.0,31.674793243408203,85443,6.307157516479492,85544,35,296
72,-1.7012149861111112,0.0008459126528049375,0.00097749475389719,28.36719512939453,1258.0,0.6770081520080566,90475,4.244774341583252,90576,34,447
76,-1.6979960263157898,0.0008459126528049375,0.0008571846410632133,33.60165786743164,1258.0,31.266029357910156,95507,5.50520133972168,95608,32,627
