time/iterations,time/time_elapsed,time/total_timesteps,time/fps,train/value_loss,train/std,train/clip_fraction,train/n_updates,train/learning_rate,train/explained_variance,train/clip_range,train/policy_gradient_loss,train/approx_kl,train/entropy_loss,train/loss,rollout/ep_rew_mean,rollout/ep_len_mean
44,13,22528,1727,0.08325489098206162,0.9884026050567627,0.2149658203125,688,0.0004092704424510632,0.14165568351745605,0.2,-0.023059273880789988,0.023099817,-43.57533025741577,0.005909077823162079,-2.291386166666667,1223.0
45,13,23040,1727,0.004662324892706238,0.9863318800926208,0.238037109375,704,0.0004092704424510632,-0.12903892993927002,0.2,-0.02558444647002034,0.023696676,-43.54141879081726,-0.034581612795591354,-2.291386166666667,1223.0
46,13,23552,1727,0.0036131661690887995,0.9886967539787292,0.20751953125,720,0.0004092704424510632,-0.03291726112365723,0.2,-0.024533119329134934,0.019005379,-43.530258774757385,-0.044048186391592026,-2.288227894736842,1223.0
47,13,24064,1727,0.08845941966865212,0.988598108291626,0.206787109375,736,0.0004092704424510632,0.07056140899658203,0.2,-0.02411953943374101,0.021112045,-43.59417247772217,0.011629626154899597,-2.288227894736842,1223.0
48,14,24576,1727,0.005737532475905027,0.9887951016426086,0.2176513671875,752,0.0004092704424510632,-1.6660683155059814,0.2,-0.022454300109529868,0.020697443,-43.57906091213226,-0.027773361653089523,-2.28742745,1223.0
49,14,25088,1729,0.11615354439709336,0.9895031452178955,0.295654296875,768,0.0004092704424510632,0.024764955043792725,0.2,-0.030061921424930915,0.033793814,-43.59874510765076,0.007643010467290878,-2.28742745,1223.0
50,14,25600,1726,0.017443900927901268,0.9898383617401123,0.1658935546875,784,0.0004092704424510632,-0.5945634841918945,0.2,-0.02344686011201702,0.01689712,-43.609660029411316,-0.029565686360001564,-2.28742745,1223.0
51,15,26112,1723,0.00321907799661858,0.9898530840873718,0.235107421875,800,0.0004092704424510632,-0.19955706596374512,0.2,-0.0271096069336636,0.020182282,-43.62297570705414,-0.03679250553250313,-2.282250095238095,1223.0
52,15,26624,1721,0.10089181119110435,0.9898549914360046,0.2425537109375,816,0.0004092704424510632,0.07301807403564453,0.2,-0.027009862824343145,0.021291861,-43.61604654788971,0.00756232813000679,-2.282250095238095,1223.0
53,15,27136,1718,0.008918777442886494,0.9899275898933411,0.159912109375,832,0.0004092704424510632,-4.444199562072754,0.2,-0.01806643015697773,0.0115980785,-43.61935901641846,-0.018516961485147476,-2.2858986818181815,1223.0
54,16,27648,1714,0.13206918886862695,0.990069568157196,0.2308349609375,848,0.0004092704424510632,0.019531965255737305,0.2,-0.025801671930821612,0.022560783,-43.61830472946167,-0.00661589577794075,-2.2858986818181815,1223.0
55,16,28160,1711,0.015100002128747292,0.990045964717865,0.1405029296875,864,0.0004092704424510632,-1.428598165512085,0.2,-0.0165617481834488,0.015214697,-43.61817157268524,-0.01809319108724594,-2.287816,1223.0
56,16,28672,1707,0.09689613082446158,0.9891876578330994,0.2418212890625,880,0.0004092704424510632,0.12014007568359375,0.2,-0.026598082011332735,0.019878216,-43.60463798046112,0.0011330284178256989,-2.287816,1223.0
57,17,29184,1705,0.006322690693195909,0.9886375069618225,0.2174072265625,896,0.0004092704424510632,-0.6539313793182373,0.2,-0.020990398174035363,0.015144365,-43.57858324050903,-0.015513865277171135,-2.287816,1223.0
58,17,29696,1704,0.0036842614645138383,0.9887019395828247,0.2005615234375,912,0.0004092704424510632,-0.059531569480895996,0.2,-0.02335773140657693,0.01523712,-43.571848034858704,-0.029493216425180435,-2.292226375,1223.0
59,17,30208,1704,0.09435275208670646,0.9883376955986023,0.1827392578125,928,0.0004092704424510632,0.1055418848991394,0.2,-0.025237101363018155,0.0193007,-43.56685447692871,0.0038076918572187424,-2.292226375,1223.0
60,18,30720,1704,0.014583637777832337,0.988018274307251,0.1402587890625,944,0.0004092704424510632,-3.556784152984619,0.2,-0.017212170947459526,0.013616193,-43.55003809928894,-0.02885504812002182,-2.29448924,1223.0
61,18,31232,1704,0.09508490690495819,0.9880560636520386,0.215087890625,960,0.0004092704424510632,0.05416637659072876,0.2,-0.020498471276368946,0.019479072,-43.546642541885376,0.00014759227633476257,-2.29448924,1223.0
62,18,31744,1704,0.012608592980541289,0.9900045990943909,0.2347412109375,976,0.0004092704424510632,0.1365099549293518,0.2,-0.02754279067448806,0.015067682,-43.568100810050964,-0.031871333718299866,-2.29448924,1223.0
63,18,32256,1701,0.012888304190710187,0.9916917085647583,0.265869140625,992,0.0004092704424510632,-0.12686419486999512,0.2,-0.02947379689430818,0.01815763,-43.63388156890869,-0.042718857526779175,-2.3009886923076923,1223.0
64,19,32768,1699,0.07688304234761745,0.9907727837562561,0.19482421875,1008,0.0004092704424510632,0.19068282842636108,0.2,-0.02380610251566395,0.01787214,-43.65150344371796,-0.010571900755167007,-2.3009886923076923,1223.0
65,19,33280,1698,0.010535414214245975,0.9903930425643921,0.197998046875,1024,0.0004092704424510632,-4.2712626457214355,0.2,-0.021678372781025246,0.017968003,-43.61276125907898,-0.023928500711917877,-2.302905888888889,1223.0
66,19,33792,1696,0.12626837415155023,0.990005612373352,0.2158203125,1040,0.0004092704424510632,0.028186559677124023,0.2,-0.01913408623659052,0.022420723,-43.60833299160004,0.013922713696956635,-2.302905888888889,1223.0
67,20,34304,1694,0.02155296877026558,0.988134503364563,0.2222900390625,1056,0.0004092704424510632,-1.285923957824707,0.2,-0.024729521828703582,0.01812777,-43.57785964012146,-0.0328204482793808,-2.2982989642857143,1223.0
68,20,34816,1692,0.0881644394248724,0.9875515103340149,0.2154541015625,1072,0.0004092704424510632,0.24252468347549438,0.2,-0.025319118693005294,0.023519095,-43.52722942829132,-0.00270935520529747,-2.2982989642857143,1223.0
69,20,35328,1691,0.004607662085618358,0.9864743947982788,0.246337890625,1088,0.0004092704424510632,-0.7680617570877075,0.2,-0.024882467565475963,0.020930093,-43.504799127578735,-0.03267047926783562,-2.2982989642857143,1223.0
70,21,35840,1688,0.0035831135828630067,0.9860067963600159,0.20654296875,1104,0.0004092704424510632,0.015047729015350342,0.2,-0.024436337291263044,0.013790395,-43.474541425704956,-0.02982243523001671,-2.3026677241379314,1223.0
71,21,36352,1685,0.09667666384484619,0.9856605529785156,0.215087890625,1120,0.0004092704424510632,0.08708703517913818,0.2,-0.020574022026266903,0.022178609,-43.465052247047424,0.0007301252335309982,-2.3026677241379314,1223.0
72,21,36864,1683,0.012680830055614933,0.9862177968025208,0.2164306640625,1136,0.0004092704424510632,-4.707254886627197,0.2,-0.02545553592790384,0.02067393,-43.46196413040161,-0.03688642755150795,-2.296846266666667,1223.0
