time/fps,time/total_timesteps,train/ent_coef_loss,train/actor_loss,train/critic_loss,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,train/learning_rate,time/episodes,train/n_updates,train/ent_coef
10,5032,-170.6136932373047,-121.68668365478516,1.9321691989898682,1258.0,-5.02203,469,0.0008459126528049375,4,4931,0.01736862026154995
10,10064,-28.02291488647461,-124.56753540039062,19.28577995300293,1258.0,-3.868712875,945,0.0008459126528049375,8,9963,0.0011796229518949986
10,15096,-9.635884284973145,-121.92631530761719,2.991664171218872,1258.0,-3.1971729166666663,1421,0.0008459126528049375,12,14995,0.0010719213169068098
10,20128,-108.85448455810547,-106.74861145019531,4.30706262588501,1258.0,-2.8765720625,1896,0.0008459126528049375,16,20027,0.0016347139608114958
10,25160,-26.805561065673828,-85.34822082519531,2.2744016647338867,1258.0,-2.6541156,15,0.0008459126528049375,20,25059,0.0006323606357909739
10,30192,-88.67549133300781,-74.14605712890625,2.7350668907165527,1258.0,-2.516299833333333,496,0.0008459126528049375,24,30091,0.0005131966318003833
10,35224,-8.764123916625977,-71.00471496582031,1.4053817987442017,1258.0,-2.4398624285714283,980,0.0008459126528049375,28,35123,0.00039885376463644207
10,40256,38.96452331542969,-68.596923828125,8.86852741241455,1258.0,-2.35800209375,1466,0.0008459126528049375,32,40155,0.0007003052742220461
10,45288,-35.02507781982422,-61.13180160522461,3.9524688720703125,1258.0,-2.3154515833333336,1953,0.0008459126528049375,36,45187,0.0003908377548214048
10,50320,212.62640380859375,-53.09623718261719,11.677308082580566,1258.0,-2.2755184,30,0.0008459126528049375,40,50219,0.0006177063914947212
10,55352,-7.294072151184082,-50.05352020263672,3.421489715576172,1258.0,-2.2602328409090906,509,0.0008459126528049375,44,55251,0.0004967153654433787
10,60384,-6.830647945404053,-49.43559646606445,2.609184741973877,1258.0,-2.229920791666667,990,0.0008459126528049375,48,60283,0.00046223917161114514
10,65416,-53.34370422363281,-37.171958923339844,1.5267925262451172,1258.0,-2.202826326923077,1471,0.0008459126528049375,52,65315,0.0005409390432760119
10,70448,-10.990320205688477,-18.388858795166016,0.9840790033340454,1258.0,-2.1913310357142857,1947,0.0008459126528049375,56,70347,0.0005462574190460145
10,75480,-51.52634811401367,-15.989559173583984,1.2640036344528198,1258.0,-2.1961335833333333,45,0.0008459126528049375,60,75379,0.00025867545627988875
10,80512,-4.001922607421875,-13.205039978027344,0.6650547981262207,1258.0,-2.18810228125,526,0.0008459126528049375,64,80411,0.00028769730124622583
10,85544,93.085205078125,-9.878697395324707,19.87579917907715,1258.0,-2.183692205882353,1013,0.0008459126528049375,68,85443,0.0004960426595062017
