time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/loss,train/std,train/entropy_loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
512,0,3865,1,,,,,,,,,,,,,
1024,0,1828,2,-0.03477165475487709,1.0002843141555786,-43.99470317363739,0.15122724810498767,0.0004092704424510632,-0.03619643618003465,16,0.019388236,-0.2328699827194214,0.2947998046875,0.2,,
1536,0,1546,3,-0.03070867992937565,0.9990769028663635,-43.97974133491516,0.002879883442801656,0.0004092704424510632,-0.026269260168191977,32,0.017304745,0.012625813484191895,0.236328125,0.2,1223.0,-2.49641
2048,1,1446,4,-0.02026725560426712,0.9967455863952637,-43.92136561870575,0.02277411473914981,0.0004092704424510632,-0.02984033890243154,48,0.023784474,0.0004493594169616699,0.32666015625,0.2,1223.0,-2.49641
2560,1,1392,5,-0.033273980021476746,0.9960533380508423,-43.86969459056854,0.0020399422628543107,0.0004092704424510632,-0.026332479959819466,64,0.020197425,0.005253911018371582,0.240478515625,0.2,1223.0,-2.5245699999999998
3072,2,1357,6,-0.024312442168593407,0.995621383190155,-43.85258090496063,0.028230975498445332,0.0004092704424510632,-0.027716795593732968,80,0.02205319,0.0028390884399414062,0.304931640625,0.2,1223.0,-2.5245699999999998
3584,2,1334,7,-0.03805059939622879,0.9954618811607361,-43.84307324886322,0.0026126540906261653,0.0004092704424510632,-0.02774949312879471,96,0.016986832,0.026713669300079346,0.2613525390625,0.2,1223.0,-2.5245699999999998
4096,3,1316,8,-0.03111053630709648,0.9957807064056396,-43.844200134277344,0.0033606941906327847,0.0004092704424510632,-0.02727469301316887,112,0.01761033,0.013819396495819092,0.2489013671875,0.2,1223.0,-2.526187333333333
4608,3,1306,9,-0.021871697157621384,0.9937196969985962,-43.82640779018402,0.04912391002289951,0.0004092704424510632,-0.02837827629991807,128,0.02186853,0.003693699836730957,0.27001953125,0.2,1223.0,-2.526187333333333
5120,3,1294,10,-0.03333745524287224,0.9945890307426453,-43.78982973098755,0.0019299379036965547,0.0004092704424510632,-0.026970232953317463,144,0.01929149,0.027804672718048096,0.2481689453125,0.2,1223.0,-2.52691375
5632,4,1285,11,-0.013688970357179642,0.9928427934646606,-43.79496395587921,0.05381710117217153,0.0004092704424510632,-0.02315005245327484,160,0.018787041,0.005556941032409668,0.218505859375,0.2,1223.0,-2.52691375
6144,4,1277,12,-0.0343131497502327,0.9923607707023621,-43.74625647068024,0.000979427251877496,0.0004092704424510632,-0.02312591347435955,176,0.018630728,0.08694088459014893,0.193359375,0.2,1223.0,-2.5283792
6656,5,1273,13,-0.012562580406665802,0.9919729828834534,-43.73378789424896,0.057808203040622175,0.0004092704424510632,-0.026735556224593893,192,0.020427682,0.03613251447677612,0.2459716796875,0.2,1223.0,-2.5283792
