time/total_timesteps,time/time_elapsed,time/fps,time/iterations,train/loss,train/std,train/entropy_loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/approx_kl,train/explained_variance,train/clip_fraction,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
16896,13,1259,33,-0.008553680032491684,0.9853323698043823,-43.48247444629669,0.07865228829905391,0.0004092704424510632,-0.024213954951846972,512,0.028674435,0.007659792900085449,0.2347412109375,0.2,1223.0,-2.427050076923077
17408,13,1258,34,-0.022955482825636864,0.9835912585258484,-43.47736406326294,0.0028311521127761807,0.0004092704424510632,-0.022621942705882248,528,0.017232865,-0.12300741672515869,0.2261962890625,0.2,1223.0,-2.4301708571428575
17920,14,1257,35,0.00904536247253418,0.9829432368278503,-43.427685260772705,0.11132872640155256,0.0004092704424510632,-0.02726107052876614,544,0.024146732,0.008047521114349365,0.2677001953125,0.2,1223.0,-2.4301708571428575
18432,14,1257,36,-0.04145660623908043,0.9824758768081665,-43.41301453113556,0.0025213546432496514,0.0004092704424510632,-0.03020410196040757,560,0.022001756,-0.3526109457015991,0.260498046875,0.2,1223.0,-2.4343433333333335
18944,15,1256,37,0.00362512469291687,0.9838681221008301,-43.42006194591522,0.09532334306277335,0.0004092704424510632,-0.02706217733793892,576,0.014399434,0.036753714084625244,0.2166748046875,0.2,1223.0,-2.4343433333333335
19456,15,1256,38,-0.03357734903693199,0.9844181537628174,-43.46191191673279,0.006281477726588491,0.0004092704424510632,-0.02225047412503045,592,0.018261112,-0.7191959619522095,0.19287109375,0.2,1223.0,-2.4343433333333335
19968,15,1256,39,-0.04310600459575653,0.9849620461463928,-43.474448442459106,0.003902689764800016,0.0004092704424510632,-0.029036496067419648,608,0.012586923,-0.25848448276519775,0.2210693359375,0.2,1223.0,-2.431726375
20480,16,1254,40,-0.004054088145494461,0.9844788312911987,-43.472328662872314,0.09481302578933537,0.0004092704424510632,-0.03001472972391639,624,0.02386966,0.01565229892730713,0.30029296875,0.2,1223.0,-2.431726375
20992,16,1253,41,-0.049518607556819916,0.9835360646247864,-43.44502794742584,0.005264936393359676,0.0004092704424510632,-0.025004867173265666,640,0.015086441,-1.711012363433838,0.203857421875,0.2,1223.0,-2.4318640588235296
21504,17,1252,42,-0.003010343760251999,0.9820053577423096,-43.40646255016327,0.08500948396977037,0.0004092704424510632,-0.026771605771500617,656,0.024935707,0.02823847532272339,0.262451171875,0.2,1223.0,-2.4318640588235296
22016,17,1252,43,-0.034882936626672745,0.9809603691101074,-43.360087633132935,0.003656283071904909,0.0004092704424510632,-0.024311515357112512,672,0.014758774,-0.363800048828125,0.2406005859375,0.2,1223.0,-2.437261166666667
22528,17,1251,44,0.002431567758321762,0.9811309576034546,-43.34526014328003,0.08167607442010194,0.0004092704424510632,-0.02578879006614443,688,0.017592607,0.13270431756973267,0.2762451171875,0.2,1223.0,-2.437261166666667
23040,18,1251,45,-0.03087996132671833,0.9837530851364136,-43.38013052940369,0.006375918281264603,0.0004092704424510632,-0.024953181971795857,704,0.016319843,-0.21094000339508057,0.2091064453125,0.2,1223.0,-2.437261166666667
23552,18,1251,46,-0.03163513168692589,0.9852234125137329,-43.45269060134888,0.003115644882200286,0.0004092704424510632,-0.02834244409314124,720,0.022518292,0.021742582321166992,0.2738037109375,0.2,1223.0,-2.4354127368421055
24064,19,1250,47,-0.007388688623905182,0.9846336245536804,-43.466419100761414,0.09211048239376396,0.0004092704424510632,-0.029882918839575723,736,0.027072158,0.09327536821365356,0.2540283203125,0.2,1223.0,-2.4354127368421055
24576,19,1250,48,-0.0312737338244915,0.9864869713783264,-43.473597407341,0.007433677703374997,0.0004092704424510632,-0.01980264941812493,752,0.013002699,-1.4197463989257812,0.1942138671875,0.2,1223.0,-2.43154355
25088,20,1249,49,0.0032668672502040863,0.9860817790031433,-43.511714577674866,0.09029567311517894,0.0004092704424510632,-0.021004718764743302,768,0.026312321,0.16286224126815796,0.218017578125,0.2,1223.0,-2.43154355
25600,20,1249,50,-0.05246588587760925,0.9835952520370483,-43.461018562316895,0.008206318903830834,0.0004092704424510632,-0.03249866177793592,784,0.025544958,-0.33246588706970215,0.2947998046875,0.2,1223.0,-2.43154355
26112,20,1248,51,-0.03352253884077072,0.9824455976486206,-43.39438462257385,0.0029246498743304983,0.0004092704424510632,-0.02658396284095943,800,0.015190484,0.042763352394104004,0.2083740234375,0.2,1223.0,-2.430782047619048
26624,21,1248,52,0.028774622827768326,0.982184112071991,-43.37075054645538,0.12308463675435632,0.0004092704424510632,-0.021950353620923124,816,0.025509374,0.0757717490196228,0.23876953125,0.2,1223.0,-2.430782047619048
27136,21,1248,53,-0.03673247620463371,0.9836214780807495,-43.38054430484772,0.0125993123074295,0.0004092704424510632,-0.023059278028085828,832,0.01920665,-3.8936209678649902,0.2197265625,0.2,1223.0,-2.4238132272727273
27648,22,1247,54,-0.015638111159205437,0.9838069677352905,-43.41672909259796,0.09486611350439489,0.0004092704424510632,-0.027386928733903915,848,0.025415877,0.044835031032562256,0.2647705078125,0.2,1223.0,-2.4238132272727273
28160,22,1247,55,-0.023701472207903862,0.983055591583252,-43.40384495258331,0.007741481109405868,0.0004092704424510632,-0.026935400936054066,864,0.016905144,-1.7055225372314453,0.2242431640625,0.2,1223.0,-2.4297611739130436
28672,22,1246,56,0.0052127111703157425,0.9828569293022156,-43.38383936882019,0.10240225051529706,0.0004092704424510632,-0.022111874728580005,880,0.018282728,0.11591982841491699,0.2159423828125,0.2,1223.0,-2.4297611739130436
29184,23,1246,57,-0.038222793489694595,0.9804900288581848,-43.355952501297,0.011146741802804172,0.0004092704424510632,-0.025524197742925026,896,0.023193274,-0.42267906665802,0.233642578125,0.2,1223.0,-2.4297611739130436
29696,23,1246,58,-0.0369725227355957,0.9797929525375366,-43.29573857784271,0.00352268033020664,0.0004092704424510632,-0.02678456873400137,912,0.019430738,-0.10349738597869873,0.248779296875,0.2,1223.0,-2.43781325
