train/ent_coef,rollout/ep_rew_mean,train/actor_loss,train/ent_coef_loss,rollout/ep_len_mean,train/learning_rate,time/time_elapsed,train/critic_loss,time/episodes,time/fps,time/total_timesteps,train/n_updates
0.017163438722491264,-4.2867435,-123.28962707519531,-167.4627227783203,1258.0,0.0008459126528049375,156,6.4524383544921875,4,32,5032,4931
0.0010019291657954454,-3.2978685,-131.3572235107422,-10.948142051696777,1258.0,0.0008459126528049375,347,9.576274871826172,8,28,10064,9963
0.0015647837426513433,-2.572035333333333,-129.29783630371094,106.95106506347656,1258.0,0.0008459126528049375,542,8.539592742919922,12,27,15096,14995
0.001617445726878941,-2.1990863750000003,-116.7076644897461,-28.363269805908203,1258.0,0.0008459126528049375,736,7.805363178253174,16,27,20128,20027
0.0008085801964625716,-1.9761969000000001,-115.77125549316406,12.074737548828125,1258.0,0.0008459126528049375,6,3.5882349014282227,20,26,25160,25059
0.0007788942893967032,-1.7964822916666667,-112.41622161865234,59.597782135009766,1258.0,0.0008459126528049375,182,3.0044217109680176,24,28,30192,30091
0.0006697837961837649,-1.7362065714285713,-114.61578369140625,-57.361507415771484,1258.0,0.0008459126528049375,337,1.893284559249878,28,30,35224,35123
0.0005878850352019072,-1.6504835625,-108.01165771484375,-38.30567932128906,1258.0,0.0008459126528049375,492,1.9286190271377563,32,30,40256,40155
0.0004559468652587384,-1.5936246111111112,-110.64695739746094,-40.881893157958984,1258.0,0.0008459126528049375,647,0.9585142731666565,36,31,45288,45187
0.00028393798856996,-1.54488575,-103.31462860107422,-23.047266006469727,1258.0,0.0008459126528049375,9,1.5102595090866089,40,32,50320,50219
0.0008106421446427703,-1.4850482045454543,-100.7725601196289,-18.82653045654297,1258.0,0.0008459126528049375,165,3.3747124671936035,44,32,55352,55251
0.00045306721585802734,-1.4680790833333335,-101.5202865600586,-71.53607177734375,1258.0,0.0008459126528049375,317,1.4562253952026367,48,32,60384,60283
0.0008498207316733897,-1.4305064423076925,-95.81510162353516,26.258155822753906,1258.0,0.0008459126528049375,471,2.9548628330230713,52,32,65416,65315
0.0004645637527573854,-1.4004025178571429,-101.32041931152344,-13.176884651184082,1258.0,0.0008459126528049375,626,1.7760045528411865,56,32,70448,70347
0.0007140627130866051,-1.38096545,-97.63445281982422,-28.089611053466797,1258.0,0.0008459126528049375,15,1.0830049514770508,60,30,75480,75379
0.0005302699864841998,-1.3643082031250002,-96.08734893798828,-19.383136749267578,1258.0,0.0008459126528049375,182,1.2830653190612793,64,30,80512,80411
