time/fps,train/n_updates,train/ent_coef,train/ent_coef_loss,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/actor_loss,time/episodes
30,4927,0.017278103157877922,-177.3397674560547,166,1257.0,1.8958529233932495,-5.2277305,5028,0.0008459126528049375,-123.74607849121094,4
29,9955,0.001725439098663628,11.656310081481934,339,1257.0,8.57406997680664,-4.056005875,10056,0.0008459126528049375,-124.69381713867188,8
28,14983,0.0007381677278317511,390.14080810546875,535,1257.0,6.449019432067871,-3.3768810833333336,15084,0.0008459126528049375,-110.33171844482422,12
27,20011,0.0005255127907730639,12.956978797912598,724,1257.0,6.742867946624756,-3.011759625,20112,0.0008459126528049375,-102.39279174804688,16
24,25039,0.0009303839178755879,-73.51228332519531,5,1257.0,2.542264461517334,-2.75045775,25140,0.0008459126528049375,-89.89278411865234,20
29,30067,0.00028323481092229486,67.64947509765625,176,1257.0,4.349503517150879,-2.611583,30168,0.0008459126528049375,-86.25170135498047,24
29,35095,0.0004499416099861264,-21.5128173828125,347,1257.0,1.5066606998443604,-2.5483898571428574,35196,0.0008459126528049375,-80.25532531738281,28
28,40123,0.000735072884708643,-87.57992553710938,530,1257.0,3.1463398933410645,-2.49022309375,40224,0.0008459126528049375,-39.948753356933594,32
27,45151,0.0004040484200231731,-11.43257999420166,727,1257.0,2.3949880599975586,-2.445124027777778,45252,0.0008459126528049375,-33.83219528198242,36
30,50179,0.00019494998559821397,-104.999267578125,9,1257.0,1.0035914182662964,-2.41960595,50280,0.0008459126528049375,-26.45934295654297,40
26,55207,0.0002861698449123651,-3.426387310028076,202,1257.0,1.3645908832550049,-2.377162909090909,55308,0.0008459126528049375,-8.117533683776855,44
26,60235,0.0005013899644836783,-4.433225154876709,385,1257.0,0.7744125127792358,-2.351324208333333,60336,0.0008459126528049375,-2.333097457885742,48
26,65263,0.0006652800948359072,14.133111953735352,580,1257.0,3.5762834548950195,-2.316070057692308,65364,0.0008459126528049375,15.494962692260742,52
27,70291,0.00020950054749846458,31.003883361816406,754,1257.0,0.917969286441803,-2.300478571428571,70392,0.0008459126528049375,21.778724670410156,56
24,75319,9.071482054423541e-05,-11.824798583984375,17,1257.0,0.93382728099823,-2.2857909666666663,75420,0.0008459126528049375,26.454965591430664,60
24,80347,0.00014194387767929584,-4.862151622772217,218,1257.0,0.3804953694343567,-2.28608390625,80448,0.0008459126528049375,28.966951370239258,64
25,85375,0.00014949715114198625,-7.914071559906006,408,1257.0,0.26232755184173584,-2.273854544117647,85476,0.0008459126528049375,31.451786041259766,68
25,90403,3.820731944870204e-05,-73.64601135253906,599,1257.0,0.4711726903915405,-2.257614333333333,90504,0.0008459126528049375,33.577415466308594,72
25,95431,7.080789509927854e-05,33.5666389465332,806,1257.0,0.451017290353775,-2.2328654999999995,95532,0.0008459126528049375,36.13380432128906,76
