time/fps,train/n_updates,train/ent_coef,train/ent_coef_loss,time/time_elapsed,rollout/ep_len_mean,train/critic_loss,rollout/ep_rew_mean,time/total_timesteps,train/learning_rate,train/actor_loss,time/episodes
25,4927,0.017161106690764427,-172.16268920898438,199,1257.0,2.262169361114502,-5.063314,5028,0.0008459126528049375,-122.14190673828125,4
24,9955,0.0011120077688246965,75.71087646484375,409,1257.0,32.180389404296875,-3.951321,10056,0.0008459126528049375,-131.9810791015625,8
24,14983,0.0010548243299126625,-19.285919189453125,627,1257.0,5.708927631378174,-3.334126916666667,15084,0.0008459126528049375,-137.50491333007812,12
23,20011,0.0006157226162031293,-42.252464294433594,840,1257.0,2.770141124725342,-3.04253,20112,0.0008459126528049375,-138.8104248046875,16
28,25039,0.0009556522709317505,-7.895353317260742,4,1257.0,4.440508842468262,-2.8302056,25140,0.0008459126528049375,-129.41026306152344,20
22,30067,0.0011762462090700865,4.0872883796691895,230,1257.0,5.051885604858398,-2.6847480000000004,30168,0.0008459126528049375,-124.00735473632812,24
24,35095,0.001051918021403253,8.975276947021484,412,1257.0,6.134391784667969,-2.6022525357142863,35196,0.0008459126528049375,-117.76884460449219,28
25,40123,0.0004626815498340875,-28.209104537963867,605,1257.0,3.5244550704956055,-2.5491462187500002,40224,0.0008459126528049375,-98.4753646850586,32
24,45151,0.0010692182695493102,-69.13948822021484,810,1257.0,4.691629886627197,-2.486979777777778,45252,0.0008459126528049375,-74.9062271118164,36
29,50179,0.0009810514748096466,-73.38233947753906,9,1257.0,7.568918228149414,-2.4507283749999997,50280,0.0008459126528049375,-59.09973907470703,40
26,55207,0.00034463609335944057,4.961298942565918,201,1257.0,6.030346393585205,-2.402046386363636,55308,0.0008459126528049375,-52.909420013427734,44
26,60235,0.0016921395435929298,-18.438833236694336,383,1257.0,5.6189117431640625,-2.3639070833333333,60336,0.0008459126528049375,-29.324352264404297,48
26,65263,0.0005757788312621415,-47.03364181518555,569,1257.0,2.343987226486206,-2.3392715192307696,65364,0.0008459126528049375,-25.362773895263672,52
26,70291,0.0002663385239429772,-28.258935928344727,768,1257.0,2.662630558013916,-2.3102327857142853,70392,0.0008459126528049375,-18.635547637939453,56
28,75319,0.0008383995154872537,-22.558320999145508,14,1257.0,2.2198901176452637,-2.278649533333333,75420,0.0008459126528049375,-5.979274749755859,60
25,80347,0.0004785902565345168,-4.846873760223389,217,1257.0,1.3834609985351562,-2.2656312187500003,80448,0.0008459126528049375,-1.6583250761032104,64
25,85375,0.0006768044549971819,-46.564937591552734,410,1257.0,1.552628755569458,-2.256566705882353,85476,0.0008459126528049375,8.678190231323242,68
25,90403,0.0005652341060340405,-37.713706970214844,596,1257.0,1.5068564414978027,-2.240048486111111,90504,0.0008459126528049375,11.115877151489258,72
26,95431,0.00022746405738871545,-27.195707321166992,782,1257.0,1.0898973941802979,-2.23315875,95532,0.0008459126528049375,13.461060523986816,76
