time/iterations,time/total_timesteps,time/time_elapsed,time/fps,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/entropy_loss,train/clip_range,train/value_loss,train/n_updates,train/learning_rate,train/clip_fraction,train/loss,train/std,rollout/ep_rew_mean,rollout/ep_len_mean
28,14336,11,1264,-0.02359503266052343,0.016304744,0.46344268321990967,-43.60633063316345,0.2,0.0040649002585269045,432,0.0004092704424510632,0.2120361328125,-0.04148831218481064,0.9875962734222412,-2.4657145454545453,1258.0
29,14848,11,1262,-0.02075891836284427,0.025393441,0.04154688119888306,-43.54614806175232,0.2,0.03433563292492181,448,0.0004092704424510632,0.21044921875,-0.010291798040270805,0.9860262274742126,-2.4657145454545453,1258.0
30,15360,12,1261,-0.026581681449897587,0.015005035,0.18747001886367798,-43.5019166469574,0.2,0.0032962648547254503,464,0.0004092704424510632,0.221435546875,-0.03305111080408096,0.9846909642219543,-2.4754669166666665,1258.0
31,15872,12,1259,-0.024920772862969898,0.01879517,0.09191983938217163,-43.46763300895691,0.2,0.08292616426479071,480,0.0004092704424510632,0.23974609375,0.01353582926094532,0.9836366176605225,-2.4754669166666665,1258.0
32,16384,13,1258,-0.024560629841289483,0.019152753,0.6901141405105591,-43.43813669681549,0.2,0.00302950206969399,496,0.0004092704424510632,0.2176513671875,-0.03550485894083977,0.9833372831344604,-2.470992846153846,1258.0
33,16896,13,1257,-0.027673993608914316,0.022345006,0.15110474824905396,-43.43355989456177,0.2,0.07792335352860391,512,0.0004092704424510632,0.24169921875,-0.0007928945124149323,0.9833924174308777,-2.470992846153846,1258.0
34,17408,13,1256,-0.028021898717270233,0.016876293,-0.21551895141601562,-43.4354612827301,0.2,0.007438928703777492,528,0.0004092704424510632,0.23583984375,-0.046991534531116486,0.983345627784729,-2.470992846153846,1258.0
35,17920,14,1255,-0.029795923182973638,0.017732505,0.4648545980453491,-43.441914677619934,0.2,0.0031216332608892117,544,0.0004092704424510632,0.2249755859375,-0.043284229934215546,0.9838212728500366,-2.4654341428571427,1258.0
36,18432,14,1254,-0.021877759012568276,0.019487338,0.06667667627334595,-43.44930803775787,0.2,0.09497873019427061,560,0.0004092704424510632,0.2025146484375,0.010380687192082405,0.9834560751914978,-2.4654341428571427,1258.0
37,18944,15,1253,-0.021250264333502855,0.01631036,0.43314480781555176,-43.4439400434494,0.2,0.006720322169712745,576,0.0004092704424510632,0.1878662109375,-0.02337493747472763,0.9839203357696533,-2.4587014666666667,1258.0
38,19456,15,1252,-0.026084852856001817,0.016630318,0.18816882371902466,-43.46711575984955,0.2,0.08301696949638426,592,0.0004092704424510632,0.2298583984375,-0.005492761731147766,0.984761118888855,-2.4587014666666667,1258.0
39,19968,15,1251,-0.019461364616290666,0.017641652,0.6006206274032593,-43.471606850624084,0.2,0.011503115616505966,608,0.0004092704424510632,0.192626953125,-0.021930094808340073,0.9839320182800293,-2.4587014666666667,1258.0
40,20480,16,1250,-0.022142261674162,0.018945817,0.18626809120178223,-43.445392370224,0.2,0.0029599130830320064,624,0.0004092704424510632,0.22412109375,-0.027292151004076004,0.9833764433860779,-2.4607131875,1258.0
41,20992,16,1249,-0.020025997218908742,0.014898983,0.13396912813186646,-43.42501163482666,0.2,0.08896757406182587,640,0.0004092704424510632,0.193359375,0.008007854223251343,0.9824166297912598,-2.4607131875,1258.0
42,21504,17,1249,-0.024031908571487293,0.019768024,0.17154043912887573,-43.404884457588196,0.2,0.01267908126465045,656,0.0004092704424510632,0.1971435546875,-0.025620996952056885,0.9826921224594116,-2.474605941176471,1258.0
43,22016,17,1248,-0.02562180461245589,0.016637541,0.16688215732574463,-43.42004990577698,0.2,0.08066925941966474,672,0.0004092704424510632,0.2196044921875,-0.0011995919048786163,0.982660710811615,-2.474605941176471,1258.0
44,22528,18,1247,-0.026397456029371824,0.021363156,0.43627840280532837,-43.40944850444794,0.2,0.01903662085533142,688,0.0004092704424510632,0.2237548828125,-0.021948518231511116,0.9821665287017822,-2.474605941176471,1258.0
45,23040,18,1246,-0.024099396192468703,0.015512849,-0.07730412483215332,-43.427640199661255,0.2,0.0031358607666334137,704,0.0004092704424510632,0.2142333984375,-0.0354706235229969,0.9845073819160461,-2.4752813333333332,1258.0
46,23552,18,1244,-0.025166462553897873,0.020649303,0.08296430110931396,-43.4953134059906,0.2,0.10712239728309214,720,0.0004092704424510632,0.2598876953125,0.010575462132692337,0.9856197834014893,-2.4752813333333332,1258.0
47,24064,19,1243,-0.025708960980409756,0.018373383,-0.058600544929504395,-43.52118492126465,0.2,0.01754416574840434,736,0.0004092704424510632,0.217041015625,-0.03179346024990082,0.9868470430374146,-2.465204052631579,1258.0
48,24576,19,1243,-0.027172264162800275,0.027982095,0.13603991270065308,-43.532878041267395,0.2,0.11651703645475209,752,0.0004092704424510632,0.2265625,0.02162468060851097,0.9856480956077576,-2.465204052631579,1258.0
49,25088,20,1242,-0.023569338147353847,0.0171079,0.3478826880455017,-43.49348986148834,0.2,0.019290453928988427,768,0.0004092704424510632,0.2056884765625,-0.03051476925611496,0.9846860766410828,-2.465204052631579,1258.0
50,25600,20,1242,-0.02558119237073697,0.022874877,-0.10726451873779297,-43.48086750507355,0.2,0.003239799989387393,784,0.0004092704424510632,0.2315673828125,-0.03260546922683716,0.9850514531135559,-2.46854955,1258.0
51,26112,21,1241,-0.025120757592958398,0.021978568,0.1386321783065796,-43.46717572212219,0.2,0.11895557632669806,800,0.0004092704424510632,0.244140625,0.017804834991693497,0.983051061630249,-2.46854955,1258.0
52,26624,21,1241,-0.02995496609946713,0.02333184,-0.005462050437927246,-43.398571848869324,0.2,0.018764391192235053,816,0.0004092704424510632,0.281494140625,-0.026548635214567184,0.9812912344932556,-2.4548604285714286,1258.0
53,27136,21,1241,-0.021575692371698096,0.019164875,0.2350459098815918,-43.34436738491058,0.2,0.13386434130370617,832,0.0004092704424510632,0.1885986328125,0.03600108623504639,0.9794268608093262,-2.4548604285714286,1258.0
54,27648,22,1240,-0.02189312327391235,0.018201454,0.3396987318992615,-43.28919732570648,0.2,0.015942786063533276,848,0.0004092704424510632,0.187255859375,-0.021199509501457214,0.9782953858375549,-2.4548604285714286,1258.0
