train/n_updates,rollout/ep_rew_mean,train/ent_coef,train/ent_coef_loss,rollout/ep_len_mean,train/actor_loss,time/total_timesteps,time/fps,train/learning_rate,time/episodes,time/time_elapsed,train/critic_loss
4931,-5.2276855,0.017345620319247246,-168.75619506835938,1258.0,-124.0567626953125,5032,75,0.0008459126528049375,4,67,1.5309944152832031
9963,-4.0785105,0.0009346227743662894,4.029760837554932,1258.0,-130.61935424804688,10064,74,0.0008459126528049375,8,134,4.519293785095215
14995,-3.4561799166666667,0.0010528364218771458,2.9962072372436523,1258.0,-136.79209899902344,15096,73,0.0008459126528049375,12,204,7.591793060302734
20027,-3.1239828750000003,0.0012629157863557339,-75.94792175292969,1258.0,-127.41857147216797,20128,72,0.0008459126528049375,16,275,7.604580879211426
25059,-2.8898539000000003,0.0005736654275096953,81.99805450439453,1258.0,-118.53237915039062,25160,71,0.0008459126528049375,20,2,3.208273410797119
30091,-2.7138405000000003,0.0007330217631533742,42.40217208862305,1258.0,-115.679931640625,30192,71,0.0008459126528049375,24,72,3.4112725257873535
35123,-2.591375142857143,0.0005873204208910465,-77.91177368164062,1258.0,-115.24026489257812,35224,71,0.0008459126528049375,28,142,2.174314022064209
40155,-2.52110565625,0.0003431972290854901,34.526458740234375,1258.0,-105.27764892578125,40256,71,0.0008459126528049375,32,213,3.5529165267944336
45187,-2.4408314722222224,0.0005206408677622676,-53.95553970336914,1258.0,-102.43049621582031,45288,71,0.0008459126528049375,36,282,3.715102434158325
50219,-2.395233125,0.000991032924503088,35.68537139892578,1258.0,-91.746337890625,50320,72,0.0008459126528049375,40,4,6.573223114013672
55251,-2.353612090909091,0.0007881812634877861,7.178203582763672,1258.0,-82.84387969970703,55352,72,0.0008459126528049375,44,74,12.63166618347168
60283,-2.306,0.0009890784276649356,19.013660430908203,1258.0,-79.95071411132812,60384,72,0.0008459126528049375,48,144,10.494744300842285
65315,-2.261613557692308,0.000625797372777015,-20.50851821899414,1258.0,-68.48938751220703,65416,71,0.0008459126528049375,52,214,12.546860694885254
70347,-2.2360701785714285,0.0004028698895126581,6.099348068237305,1258.0,-69.45015716552734,70448,71,0.0008459126528049375,56,285,3.932873010635376
75379,-2.217043916666667,0.0004695900424849242,-36.323936462402344,1258.0,-60.609352111816406,75480,67,0.0008459126528049375,60,7,4.195995330810547
80411,-2.19217865625,0.0005237556179054081,-32.327877044677734,1258.0,-54.8068733215332,80512,67,0.0008459126528049375,64,81,5.200741767883301
85443,-2.1687576617647055,0.00047121467650868,-31.327438354492188,1258.0,-48.582698822021484,85544,67,0.0008459126528049375,68,157,2.3300771713256836
90475,-2.1665159444444444,0.00055158999748528,-35.09205627441406,1258.0,-37.72679901123047,90576,66,0.0008459126528049375,72,232,3.728407144546509
95507,-2.162140697368421,0.0009396889363415539,-10.889348983764648,1258.0,-31.897872924804688,95608,66,0.0008459126528049375,76,308,5.176540374755859
