time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/std,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
1,3775,512,0,,,,,,,,,,,,,
2,2198,1024,0,-0.04361896961927414,0.2,0.015185084,0.09903650318665314,0.9991416931152344,0.0004092704424510632,16,-43.978917956352234,0.2371826171875,-0.03239570444566198,-0.9901508092880249,,
3,1898,1536,0,-0.03851323202252388,0.2,0.016995115,0.006872363461297937,0.9985218644142151,0.0004092704424510632,32,-43.949331283569336,0.271728515625,-0.03083724524185527,0.007786154747009277,-2.147369,1258.0
4,1806,2048,1,-0.029811102896928787,0.2,0.020777255,0.005311929482559208,0.9968617558479309,0.0004092704424510632,48,-43.916776180267334,0.2919921875,-0.023917714454000816,-0.0023658275604248047,-2.147369,1258.0
5,1757,2560,1,-0.046909455209970474,0.2,0.019117415,0.0025315971943200566,0.9969611763954163,0.0004092704424510632,64,-43.884515166282654,0.3055419921875,-0.033627952623646706,-0.01912820339202881,-2.3319425000000003,1258.0
6,1722,3072,1,-0.03411436080932617,0.2,0.027513046,0.011211711069336161,0.996267557144165,0.0004092704424510632,80,-43.87793302536011,0.3223876953125,-0.02906914084451273,-0.008057951927185059,-2.3319425000000003,1258.0
7,1700,3584,2,-0.04113756865262985,0.2,0.03105196,0.002266955332743237,0.9972920417785645,0.0004092704424510632,96,-43.87772083282471,0.3272705078125,-0.03162702142435592,0.008512437343597412,-2.3319425000000003,1258.0
8,1682,4096,2,-0.03415841609239578,0.2,0.021458939,0.006355154837365262,0.9967023730278015,0.0004092704424510632,112,-43.89116382598877,0.2774658203125,-0.026517211983446032,0.03098362684249878,-2.2943203333333333,1258.0
9,1666,4608,2,-0.03841231018304825,0.2,0.016676547,0.018794856587192044,0.9953435063362122,0.0004092704424510632,128,-43.857874393463135,0.2996826171875,-0.030383072153199464,0.02658754587173462,-2.2943203333333333,1258.0
10,1650,5120,3,-0.03969202935695648,0.2,0.02568557,0.003751038260816131,0.9939510822296143,0.0004092704424510632,144,-43.81010067462921,0.314208984375,-0.029910360899521038,0.2971656918525696,-2.32102825,1258.0
11,1642,5632,3,-0.02929684892296791,0.2,0.020409007,0.02220539574045688,0.9925397038459778,0.0004092704424510632,160,-43.76908338069916,0.28173828125,-0.026309271022910252,0.1062004566192627,-2.32102825,1258.0
12,1635,6144,3,-0.042572230100631714,0.2,0.018992785,0.002232171940704575,0.9916208386421204,0.0004092704424510632,176,-43.730173110961914,0.2584228515625,-0.029217309085652232,-0.26878130435943604,-2.32102825,1258.0
13,1629,6656,4,-0.026071768254041672,0.2,0.018326255,0.006020060507580638,0.9927705526351929,0.0004092704424510632,192,-43.72586464881897,0.2425537109375,-0.024884173115424346,0.22628861665725708,-2.3519408,1258.0
14,1619,7168,4,-0.03760131075978279,0.2,0.031462133,0.026778714847750962,0.9923782348632812,0.0004092704424510632,208,-43.75369691848755,0.29443359375,-0.032159003865672275,0.15527087450027466,-2.3519408,1258.0
15,1617,7680,4,-0.0441896878182888,0.2,0.021430843,0.004560566165309865,0.9913694858551025,0.0004092704424510632,224,-43.72212529182434,0.26416015625,-0.028438762994483113,0.38486748933792114,-2.342515333333333,1258.0
16,1615,8192,5,-0.020785614848136902,0.2,0.015754614,0.03276167414151132,0.9929446578025818,0.0004092704424510632,240,-43.725093722343445,0.222412109375,-0.021874222380574793,0.21445977687835693,-2.342515333333333,1258.0
17,1615,8704,5,-0.021577507257461548,0.2,0.017629623,0.002840224751707865,0.9929208159446716,0.0004092704424510632,256,-43.7600291967392,0.19189453125,-0.02125832844467368,-0.9889301061630249,-2.342515333333333,1258.0
18,1614,9216,5,-0.03259366378188133,0.2,0.019209035,0.00437342569057364,0.9907034635543823,0.0004092704424510632,272,-43.72505497932434,0.273193359375,-0.02915380330523476,0.2504379153251648,-2.324261571428571,1258.0
19,1613,9728,6,-0.009534910321235657,0.2,0.02564014,0.04042925336398184,0.9888890385627747,0.0004092704424510632,288,-43.65174388885498,0.2529296875,-0.021495361754205078,0.1720864176750183,-2.324261571428571,1258.0
20,1613,10240,6,-0.036253511905670166,0.2,0.018538509,0.004779692717420403,0.9891002178192139,0.0004092704424510632,304,-43.625720262527466,0.2303466796875,-0.031152943352935836,-0.5164302587509155,-2.3084670000000003,1258.0
21,1612,10752,6,-0.03881293162703514,0.2,0.024341298,0.03214490134268999,0.989499032497406,0.0004092704424510632,320,-43.641289830207825,0.267578125,-0.03076333693752531,0.3093326687812805,-2.3084670000000003,1258.0
