time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/std,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
1,3761,512,0,,,,,,,,,,,,,
2,2276,1024,0,-0.03377404436469078,0.2,0.01454621,0.180521788470287,0.9979285001754761,0.0004092704424510632,16,-43.95227301120758,0.208984375,-0.023191001790110022,-2.7290399074554443,,
3,2043,1536,0,-0.04808235913515091,0.2,0.023358028,0.0069436619960470125,0.9971994161605835,0.0004092704424510632,32,-43.90923988819122,0.3026123046875,-0.033337536646286026,0.06005597114562988,-2.367612,1258.0
4,1949,2048,1,-0.028109634295105934,0.2,0.01722575,0.011392065673135221,0.9967893362045288,0.0004092704424510632,48,-43.8923237323761,0.2647705078125,-0.024214151519117877,0.006914496421813965,-2.367612,1258.0
5,1896,2560,1,-0.04845448583364487,0.2,0.01578063,0.0021941957966191694,0.9980486035346985,0.0004092704424510632,64,-43.900418162345886,0.25341796875,-0.027538399648619816,-0.01866018772125244,-2.2851035,1258.0
6,1860,3072,1,-0.029622353613376617,0.2,0.021422988,0.0181306918093469,0.9979301691055298,0.0004092704424510632,80,-43.931060671806335,0.2872314453125,-0.027861545197083615,0.0033906102180480957,-2.2851035,1258.0
7,1828,3584,1,-0.03923490643501282,0.2,0.024159346,0.002626856239658082,0.9969220757484436,0.0004092704424510632,96,-43.90246140956879,0.337158203125,-0.03279095742618665,0.003331899642944336,-2.2851035,1258.0
8,1806,4096,2,-0.023486962541937828,0.2,0.015396243,0.006696564130834304,0.9951398372650146,0.0004092704424510632,112,-43.858784914016724,0.234619140625,-0.024146976211341098,0.014442145824432373,-2.274596333333333,1258.0
9,1786,4608,2,-0.025794975459575653,0.2,0.022510258,0.024903924495447427,0.996574342250824,0.0004092704424510632,128,-43.84477615356445,0.3291015625,-0.028917597781401128,0.026224792003631592,-2.274596333333333,1258.0
10,1766,5120,2,-0.04936865717172623,0.2,0.018773943,0.0038637568068224937,0.9958206415176392,0.0004092704424510632,144,-43.86866760253906,0.314697265625,-0.03494145500008017,0.289344847202301,-2.293542,1258.0
11,1750,5632,3,0.00930496770888567,0.2,0.01568975,0.03222312300931662,0.9927817583084106,0.0004092704424510632,160,-43.80346608161926,0.2279052734375,-0.01831295943702571,0.030222833156585693,-2.293542,1258.0
12,1735,6144,3,-0.02297307550907135,0.2,0.013114731,0.004367145385913318,0.9933755993843079,0.0004092704424510632,176,-43.749157667160034,0.2294921875,-0.022477706923382357,-0.1915121078491211,-2.293542,1258.0
13,1720,6656,3,-0.04453771561384201,0.2,0.017171394,0.006810826249420643,0.9921802878379822,0.0004092704424510632,192,-43.759631276130676,0.2501220703125,-0.027220587791816797,0.01518481969833374,-2.2973475999999997,1258.0
14,1710,7168,4,-0.034018926322460175,0.2,0.031328913,0.03730836190516129,0.9911736845970154,0.0004092704424510632,208,-43.71255123615265,0.3287353515625,-0.02978497199364938,0.0913240909576416,-2.2973475999999997,1258.0
