time/iterations,time/fps,time/total_timesteps,time/time_elapsed,train/loss,train/clip_range,train/approx_kl,train/value_loss,train/std,train/learning_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/policy_gradient_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean
1,3834,512,0,,,,,,,,,,,,,
2,2405,1024,0,-0.05110793933272362,0.2,0.021333218,0.10241334301099414,1.00005042552948,0.0004092704424510632,16,-43.98469662666321,0.3001708984375,-0.041076142399106175,-0.5117363929748535,,
3,2152,1536,0,-0.04167826473712921,0.2,0.019915301,0.004793483385583386,0.9996221661567688,0.0004092704424510632,32,-43.981428384780884,0.2657470703125,-0.028109259612392634,0.07691788673400879,-2.329654,1258.0
4,2049,2048,0,-0.026981256902217865,0.2,0.018143637,0.00721310343942605,0.9962471723556519,0.0004092704424510632,48,-43.927935004234314,0.2659912109375,-0.026928621518891305,0.0052378177642822266,-2.329654,1258.0
5,2005,2560,1,-0.03597866743803024,0.2,0.019608103,0.002414613489236217,0.9954491853713989,0.0004092704424510632,64,-43.84605622291565,0.281005859375,-0.027851650229422376,0.05539810657501221,-2.3445340000000003,1258.0
6,1975,3072,1,-0.026688776910305023,0.2,0.022326676,0.013036631047725677,0.995122492313385,0.0004092704424510632,80,-43.836647033691406,0.2919921875,-0.02560909403837286,-0.002672553062438965,-2.3445340000000003,1258.0
7,1958,3584,1,-0.030344275757670403,0.2,0.020358648,0.0024209146686189342,0.9924796223640442,0.0004092704424510632,96,-43.79405236244202,0.29150390625,-0.02908916145679541,0.02871108055114746,-2.3445340000000003,1258.0
8,1939,4096,2,-0.035506829619407654,0.2,0.021013398,0.006869890188681893,0.9935675263404846,0.0004092704424510632,112,-43.75433874130249,0.293701171875,-0.027741625963244587,0.014577627182006836,-2.385600666666667,1258.0
9,1920,4608,2,-0.03767545521259308,0.2,0.021148521,0.024182037450373173,0.9944751858711243,0.0004092704424510632,128,-43.799036383628845,0.2928466796875,-0.02782745409058407,0.008738517761230469,-2.385600666666667,1258.0
10,1907,5120,2,-0.02563467249274254,0.2,0.019121204,0.005549004381464329,0.9940211772918701,0.0004092704424510632,144,-43.80385112762451,0.2777099609375,-0.02412741414445918,0.17004215717315674,-2.3901985000000003,1258.0
11,1899,5632,2,-0.02199237421154976,0.2,0.015525577,0.029885497700888664,0.9922338724136353,0.0004092704424510632,160,-43.7682740688324,0.206298828125,-0.022311072432785295,0.010572850704193115,-2.3901985000000003,1258.0
12,1888,6144,3,-0.039867859333753586,0.2,0.021774959,0.0027720424950530287,0.9926008582115173,0.0004092704424510632,176,-43.735100746154785,0.26123046875,-0.027374910336220637,0.05618065595626831,-2.3901985000000003,1258.0
13,1879,6656,3,-0.032966043800115585,0.2,0.015147222,0.004675659933127463,0.9933825731277466,0.0004092704424510632,192,-43.760501980781555,0.259521484375,-0.026787152921315283,0.16054892539978027,-2.3789254000000004,1258.0
14,1872,7168,3,-0.02182846888899803,0.2,0.0187626,0.03358562238281593,0.9927855730056763,0.0004092704424510632,208,-43.76229131221771,0.224365234375,-0.024446463939966634,0.08783131837844849,-2.3789254000000004,1258.0
15,1867,7680,4,-0.01763920858502388,0.2,0.022178896,0.011704940377967432,0.993071436882019,0.0004092704424510632,224,-43.748048305511475,0.2156982421875,-0.02483010147989262,0.40199029445648193,-2.3760556666666672,1258.0
16,1862,8192,4,-0.006116408854722977,0.2,0.019556258,0.04752724664285779,0.9919862151145935,0.0004092704424510632,240,-43.74465775489807,0.231689453125,-0.023977797718544025,0.06349825859069824,-2.3760556666666672,1258.0
17,1857,8704,4,-0.04263797774910927,0.2,0.016615447,0.004237454915710259,0.9904235005378723,0.0004092704424510632,256,-43.699697971343994,0.239501953125,-0.025853123399429023,0.07991236448287964,-2.3760556666666672,1258.0
18,1851,9216,4,-0.027705267071723938,0.2,0.022523934,0.004258075343386736,0.9895724654197693,0.0004092704424510632,272,-43.65465426445007,0.247802734375,-0.024701094604097307,0.17416071891784668,-2.3883855714285716,1258.0
19,1844,9728,5,-0.017330700531601906,0.2,0.021703996,0.0523808766156435,0.9879890084266663,0.0004092704424510632,288,-43.621731996536255,0.2564697265625,-0.02301554917357862,0.08534824848175049,-2.3883855714285716,1258.0
20,1831,10240,5,-0.04090512916445732,0.2,0.029553898,0.006357733996992465,0.9876613616943359,0.0004092704424510632,304,-43.581324338912964,0.2899169921875,-0.030222151952330023,-0.4716304540634155,-2.359916,1258.0
21,1821,10752,5,-0.012898266315460205,0.2,0.016017362,0.053763046860694885,0.9863039255142212,0.0004092704424510632,320,-43.56682062149048,0.2447509765625,-0.023809228412574157,0.2812569737434387,-2.359916,1258.0
