time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/value_loss,train/approx_kl,train/clip_range,train/std,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/loss,train/entropy_loss,train/learning_rate,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
0,512,1,4092,,,,,,,,,,,,,
0,1024,2,2453,0.11829885797487805,0.016373193,0.2,0.99826580286026,16,-0.33009791374206543,-0.02822909629321657,-0.0314534567296505,-43.96411669254303,0.0004092704424510632,0.2412109375,,
0,1536,3,2196,0.0045115250468370505,0.021145005,0.2,0.9971004128456116,32,0.05775880813598633,-0.03154205370810814,-0.04814479500055313,-43.91328048706055,0.0004092704424510632,0.2705078125,-2.263335,1258.0
0,2048,4,2096,0.0033277449692832306,0.018861402,0.2,0.9969915747642517,48,0.023617923259735107,-0.0263093899411615,-0.038397859781980515,-43.888455748558044,0.0004092704424510632,0.2572021484375,-2.263335,1258.0
1,2560,5,2029,0.0020018250615976285,0.019243855,0.2,0.9984164237976074,64,0.009199380874633789,-0.024448606112855487,-0.03262781724333763,-43.91076648235321,0.0004092704424510632,0.278076171875,-2.254551,1258.0
1,3072,6,1972,0.00867368237231858,0.01700155,0.2,0.9982429146766663,80,0.006783723831176758,-0.0262691440875642,-0.03472372516989708,-43.940906047821045,0.0004092704424510632,0.2427978515625,-2.254551,1258.0
1,3584,7,1943,0.0024653547625348438,0.01833301,0.2,0.9958680868148804,96,0.0021417737007141113,-0.02632852428359911,-0.041454754769802094,-43.894630908966064,0.0004092704424510632,0.245361328125,-2.254551,1258.0
2,4096,8,1920,0.005178042119950987,0.023447162,0.2,0.9945853352546692,112,0.021765291690826416,-0.02599156225915067,-0.03775084763765335,-43.83107936382294,0.0004092704424510632,0.251708984375,-2.199308333333333,1258.0
2,4608,9,1902,0.01390562707092613,0.021962533,0.2,0.9939864873886108,128,0.010154008865356445,-0.022547827873495407,-0.033550508320331573,-43.804059624671936,0.0004092704424510632,0.2470703125,-2.199308333333333,1258.0
2,5120,10,1893,0.003935474298486952,0.018819407,0.2,0.9944458603858948,144,0.20112311840057373,-0.02597960823914036,-0.03994098678231239,-43.792715072631836,0.0004092704424510632,0.2503662109375,-2.17073875,1258.0
2,5632,11,1883,0.019823169510345906,0.01881003,0.2,0.9946979880332947,160,0.011495053768157959,-0.02366540856019128,-0.03388064354658127,-43.81065583229065,0.0004092704424510632,0.2288818359375,-2.17073875,1258.0
3,6144,12,1876,0.0012564385615405627,0.02048302,0.2,0.9959384202957153,176,0.10812103748321533,-0.03079641269869171,-0.03313622251152992,-43.82547199726105,0.0004092704424510632,0.241455078125,-2.17073875,1258.0
3,6656,13,1868,0.004202381074719597,0.017716955,0.2,0.9964183568954468,192,0.11144113540649414,-0.025128474801022094,-0.03929401561617851,-43.864673495292664,0.0004092704424510632,0.2178955078125,-2.1340788,1258.0
3,7168,14,1863,0.03065725223859772,0.021886416,0.2,0.9928014278411865,208,0.030904531478881836,-0.02600737678585574,-0.025440169498324394,-43.81786525249481,0.0004092704424510632,0.2349853515625,-2.1340788,1258.0
4,7680,15,1858,0.002334905406314647,0.01512634,0.2,0.9920223355293274,224,0.6288079023361206,-0.02206059079617262,-0.015812208876013756,-43.736278653144836,0.0004092704424510632,0.1968994140625,-2.136492833333333,1258.0
4,8192,16,1855,0.03056587395258248,0.0220058,0.2,0.9915148615837097,240,0.04981333017349243,-0.02565979745122604,-0.02489885874092579,-43.7208571434021,0.0004092704424510632,0.2403564453125,-2.136492833333333,1258.0
4,8704,17,1855,0.002081246315356111,0.018540993,0.2,0.9894618988037109,256,-0.1962428092956543,-0.02803947776556015,-0.034779373556375504,-43.68226945400238,0.0004092704424510632,0.2308349609375,-2.136492833333333,1258.0
4,9216,18,1852,0.0015935988503770204,0.01868353,0.2,0.9883664846420288,272,0.7475987672805786,-0.028259883634746075,-0.03648941591382027,-43.6227343082428,0.0004092704424510632,0.25634765625,-2.124514571428571,1258.0
5,9728,19,1852,0.041999752807896584,0.025009483,0.2,0.9889102578163147,288,0.08606648445129395,-0.02859587169950828,-0.011647004634141922,-43.61208403110504,0.0004092704424510632,0.283203125,-2.124514571428571,1258.0
5,10240,20,1851,0.0032640358695061877,0.013413552,0.2,0.9888753294944763,304,0.6955578327178955,-0.02043376326037105,-0.03547203913331032,-43.62975251674652,0.0004092704424510632,0.169921875,-2.12910875,1258.0
