time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/value_loss,train/approx_kl,train/clip_range,train/std,train/n_updates,train/explained_variance,train/policy_gradient_loss,train/loss,train/entropy_loss,train/learning_rate,train/clip_fraction,rollout/ep_rew_mean,rollout/ep_len_mean
0,512,1,4032,,,,,,,,,,,,,
0,1024,2,2436,0.09858984460151987,0.019901548,0.2,0.9986737370491028,16,-0.12632536888122559,-0.02872159771504812,-0.03456488251686096,-43.969858288764954,0.0004092704424510632,0.2845458984375,,
0,1536,3,2160,0.00418834388256073,0.014383644,0.2,0.9992625117301941,32,-0.02730560302734375,-0.025447935055126436,-0.04257021099328995,-43.947469830513,0.0004092704424510632,0.2213134765625,-2.150312,1258.0
1,2048,4,2017,0.025810558698140085,0.027309194,0.2,1.000387191772461,48,-0.005259871482849121,-0.03342196310404688,-0.03220896050333977,-43.98016595840454,0.0004092704424510632,0.3450927734375,-2.150312,1258.0
1,2560,5,1957,0.002154569054255262,0.0163389,0.2,1.0007470846176147,64,0.017232000827789307,-0.020959426619810984,-0.02770056761801243,-44.003827691078186,0.0004092704424510632,0.2481689453125,-2.0937545,1258.0
1,3072,6,1921,0.013338802673388273,0.024242166,0.2,0.9993807673454285,80,0.004851400852203369,-0.02852918351709377,-0.030663687735795975,-43.9901317358017,0.0004092704424510632,0.303466796875,-2.0937545,1258.0
1,3584,7,1900,0.0016994790366879897,0.015175855,0.2,0.9981206059455872,96,0.01811116933822632,-0.02362957427976653,-0.02598676271736622,-43.94366919994354,0.0004092704424510632,0.2567138671875,-2.0937545,1258.0
2,4096,8,1878,0.00474691665294813,0.023695378,0.2,0.9972960948944092,112,0.02297532558441162,-0.033012268657330424,-0.027941500768065453,-43.908493399620056,0.0004092704424510632,0.3106689453125,-2.1202083333333337,1258.0
2,4608,9,1869,0.003870066168019548,0.013237791,0.2,0.9968390464782715,128,-0.020541667938232422,-0.021092600392876193,-0.031421318650245667,-43.88824689388275,0.0004092704424510632,0.1962890625,-2.1202083333333337,1258.0
2,5120,10,1862,0.0045960929928696714,0.01909195,0.2,0.9970166087150574,144,0.027263998985290527,-0.025067803922866005,-0.024210546165704727,-43.88043797016144,0.0004092704424510632,0.2568359375,-2.07856975,1258.0
3,5632,11,1843,0.0011571437225939007,0.014946013,0.2,0.9956550598144531,160,0.057208478450775146,-0.025129519090114627,-0.0429111123085022,-43.868542194366455,0.0004092704424510632,0.2191162109375,-2.07856975,1258.0
3,6144,12,1830,0.0025106049470196012,0.016471406,0.2,0.9976059794425964,176,0.005563497543334961,-0.02553478030313272,-0.03079308196902275,-43.85706102848053,0.0004092704424510632,0.2657470703125,-2.07856975,1258.0
3,6656,13,1826,0.004467961080081295,0.026312046,0.2,0.9999470710754395,192,0.028735041618347168,-0.031406327441800386,-0.03874162957072258,-43.93791353702545,0.0004092704424510632,0.29541015625,-2.088032,1258.0
3,7168,14,1828,0.002477951733453665,0.021516193,0.2,0.9999738931655884,208,0.07789218425750732,-0.03300175779440906,-0.03716869279742241,-43.9799530506134,0.0004092704424510632,0.2952880859375,-2.088032,1258.0
4,7680,15,1825,0.003982190966780763,0.019058108,0.2,1.0006158351898193,224,0.253525972366333,-0.025618336047045887,-0.03930063173174858,-43.976298213005066,0.0004092704424510632,0.27734375,-2.0890385,1258.0
4,8192,16,1823,0.005213125405134633,0.015759809,0.2,0.9994857311248779,240,0.039820969104766846,-0.022133449019747786,-0.0171427633613348,-43.976886510849,0.0004092704424510632,0.229248046875,-2.0890385,1258.0
