rollout/ep_len_mean,time/total_timesteps,train/actor_loss,train/learning_rate,train/ent_coef,train/ent_coef_loss,time/fps,train/n_updates,time/time_elapsed,train/critic_loss,rollout/ep_rew_mean,time/episodes
1257.0,5028,-121.5584945678711,0.0008459126528049375,0.016920799389481544,-166.3632354736328,23,4927,210,2.7163500785827637,-5.279443,4
1257.0,10056,-123.7521743774414,0.0008459126528049375,0.0012264891993254423,18.188854217529297,22,9955,438,9.891117095947266,-4.1301077500000005,8
1257.0,15084,-124.2706527709961,0.0008459126528049375,0.0009169442346319556,-22.006515502929688,23,14983,651,10.463922500610352,-3.43341375,12
1257.0,20112,-102.06997680664062,0.0008459126528049375,0.0012850530911237001,-64.10066986083984,23,20011,848,2.576127529144287,-3.06081075,16
1257.0,25140,-96.05950927734375,0.0008459126528049375,0.0004832122358493507,-8.073675155639648,29,25039,4,3.1497910022735596,-2.9113034,20
1257.0,30168,-79.39299774169922,0.0008459126528049375,0.0006447326159104705,258.64739990234375,26,30067,195,3.7878966331481934,-2.76750575,24
1257.0,35196,-64.94900512695312,0.0008459126528049375,0.0014259922318160534,-16.584043502807617,25,35095,403,4.436586380004883,-2.726336071428572,28
1257.0,40224,-47.99320602416992,0.0008459126528049375,0.0008073642966337502,-14.389554977416992,24,40123,614,2.85898494720459,-2.6837510937499998,32
1257.0,45252,-44.642940521240234,0.0008459126528049375,0.0005583866150118411,-11.197647094726562,24,45151,817,1.276188850402832,-2.606359111111111,36
1257.0,50280,-30.40749168395996,0.0008459126528049375,0.000499527610372752,-70.796630859375,25,50179,10,3.9735207557678223,-2.554668775,40
1257.0,55308,-21.851165771484375,0.0008459126528049375,0.0003715404309332371,58.126338958740234,25,55207,207,3.9258041381835938,-2.4977274545454544,44
1257.0,60336,-10.113603591918945,0.0008459126528049375,0.0005378641653805971,-84.61155700683594,25,60235,404,3.5135209560394287,-2.454894833333333,48
1257.0,65364,-7.346080303192139,0.0008459126528049375,0.0002873063203878701,-46.06983184814453,25,65263,603,1.7082942724227905,-2.4393412115384616,52
1257.0,70392,-1.203299641609192,0.0008459126528049375,0.00015742996765766293,146.11419677734375,25,70291,795,0.7033675909042358,-2.441578607142857,56
1257.0,75420,-0.08104544878005981,0.0008459126528049375,0.00018640776397660375,75.26908111572266,29,75319,14,1.6046358346939087,-2.4077637499999995,60
1257.0,80448,3.6947546005249023,0.0008459126528049375,0.00040813456871546805,-3.860093355178833,26,80347,206,2.0203537940979004,-2.3832263125,64
1257.0,85476,6.151764392852783,0.0008459126528049375,0.00028552921139635146,61.671730041503906,27,85375,383,0.534491777420044,-2.3715140147058826,68
1257.0,90504,8.543787956237793,0.0008459126528049375,0.00013769484939984977,-25.71336555480957,27,90403,567,0.9423946738243103,-2.350864097222222,72
1257.0,95532,11.941178321838379,0.0008459126528049375,0.0001787116634659469,-12.429344177246094,26,95431,762,0.40852242708206177,-2.3373642368421046,76
