time/total_timesteps,time/episodes,rollout/ep_len_mean,train/critic_loss,train/ent_coef_loss,rollout/ep_rew_mean,train/ent_coef,train/learning_rate,time/fps,train/n_updates,time/time_elapsed,train/actor_loss
5028,4,1257.0,1.1581380367279053,-162.8017578125,-4.9780525,0.017155632376670837,0.0008459126528049375,11,4927,441,-122.74386596679688
10056,8,1257.0,59.06946563720703,5.989202499389648,-3.8749333750000003,0.0012958762235939503,0.0008459126528049375,11,9955,879,-129.48594665527344
15084,12,1257.0,2.485048770904541,22.311962127685547,-3.191959666666667,0.000791319296695292,0.0008459126528049375,11,14983,1321,-134.70608520507812
20112,16,1257.0,6.88507604598999,30.597612380981445,-2.8438196875,0.000808327691629529,0.0008459126528049375,11,20011,1773,-137.9929962158203
25140,20,1257.0,53.071083068847656,58.432342529296875,-2.6071673499999997,0.0009362660348415375,0.0008459126528049375,10,25039,12,-141.1337127685547
30168,24,1257.0,18.541500091552734,8.253507614135742,-2.4326187083333335,0.0007589430897496641,0.0008459126528049375,10,30067,470,-141.72021484375
35196,28,1257.0,5.590752601623535,19.103992462158203,-2.289184928571429,0.00037129176780581474,0.0008459126528049375,11,35095,925,-137.76190185546875
40224,32,1257.0,47.59981918334961,166.4822235107422,-2.20593659375,0.0006259683868847787,0.0008459126528049375,11,40123,1377,-133.82443237304688
45252,36,1257.0,6.253342628479004,-19.44683837890625,-2.128389222222223,0.0009600840858183801,0.0008459126528049375,11,45151,1834,-127.10084533691406
50280,40,1257.0,8.723234176635742,-9.112041473388672,-2.0730418,0.0006554526626132429,0.0008459126528049375,11,50179,24,-116.1773681640625
55308,44,1257.0,3.3519716262817383,-83.11285400390625,-2.009897272727273,0.0011822250671684742,0.0008459126528049375,11,55207,478,-103.3253402709961
60336,48,1257.0,32.90400695800781,117.84547424316406,-1.9744173958333338,0.0005994720268063247,0.0008459126528049375,11,60235,937,-93.97295379638672
65364,52,1257.0,3.897754669189453,47.217288970947266,-1.930258461538462,0.000327159563312307,0.0008459126528049375,10,65263,1396,-89.60215759277344
