train/ent_coef_loss,rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,train/critic_loss,time/total_timesteps,train/actor_loss,train/ent_coef,time/fps,time/time_elapsed,train/learning_rate,train/n_updates
-175.61961364746094,1257.0,4,-4.932200999999999,48.42720031738281,5028,-121.75944519042969,0.01753506250679493,71,70,0.0008459126528049375,4927
71.63621520996094,1257.0,8,-3.850074875,6.6457014083862305,10056,-129.10337829589844,0.000867149094119668,70,142,0.0008459126528049375,9955
21.22233009338379,1257.0,12,-3.208875666666666,3.2522263526916504,15084,-127.54264831542969,0.0010895286686718464,70,215,0.0008459126528049375,14983
-40.46885299682617,1257.0,16,-2.8617248749999997,3.8241329193115234,20112,-114.79222106933594,0.0024783159606158733,69,288,0.0008459126528049375,20011
-7.297138690948486,1257.0,20,-2.6554819,4.127682209014893,25140,-112.60404968261719,0.0008023696718737483,69,2,0.0008459126528049375,25039
-11.516578674316406,1257.0,24,-2.5668831666666665,9.916563034057617,30168,-108.05040740966797,0.0005240951431915164,69,74,0.0008459126528049375,30067
46.339603424072266,1257.0,28,-2.440293714285714,1.5478572845458984,35196,-106.20121765136719,0.0005701513146050274,68,147,0.0008459126528049375,35095
67.31806945800781,1257.0,32,-2.3658213124999996,2.9327473640441895,40224,-102.01493835449219,0.0007982272654771805,68,220,0.0008459126528049375,40123
-92.29464721679688,1257.0,36,-2.2813646111111106,3.0070688724517822,45252,-88.16618347167969,0.0006939286831766367,68,294,0.0008459126528049375,45151
-68.98155975341797,1257.0,40,-2.2183314,3.673597812652588,50280,-80.29798889160156,0.0008571580401621759,68,4,0.0008459126528049375,50179
0.6761672496795654,1257.0,44,-2.164871727272727,8.565862655639648,55308,-71.79780578613281,0.00136853929143399,68,77,0.0008459126528049375,55207
8.31904125213623,1257.0,48,-2.1250876458333336,2.518049716949463,60336,-66.77257537841797,0.0004625813744496554,68,151,0.0008459126528049375,60235
8.987161636352539,1257.0,52,-2.101790057692308,8.85025691986084,65364,-65.11930847167969,0.0009291735477745533,68,225,0.0008459126528049375,65263
0.40580785274505615,1257.0,56,-2.075619446428571,5.432944297790527,70392,-58.27952194213867,0.000836206367239356,68,299,0.0008459126528049375,70291
43.78336715698242,1257.0,60,-2.0427755833333334,53.78401184082031,75420,-52.14662551879883,0.0009718891233205795,65,6,0.0008459126528049375,75319
-25.613954544067383,1257.0,64,-2.014514328125,19.953121185302734,80448,-32.08893966674805,0.0021953806281089783,64,85,0.0008459126528049375,80347
24.55169105529785,1257.0,68,-1.9969636617647064,2.647266387939453,85476,-12.55090618133545,0.0008812781888991594,64,163,0.0008459126528049375,85375
-19.15108871459961,1257.0,72,-1.9781911388888886,2.28448486328125,90504,-5.613394260406494,0.0007064479868859053,64,241,0.0008459126528049375,90403
61.58527374267578,1257.0,76,-1.941885276315789,12.848535537719727,95532,4.4789509773254395,0.0021839027758687735,64,320,0.0008459126528049375,95431
