time/episodes,rollout/ep_len_mean,time/fps,train/ent_coef,train/n_updates,time/time_elapsed,train/critic_loss,train/actor_loss,train/ent_coef_loss,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean
4,1223.0,30,0.01910034567117691,4791,162,1.268465518951416,-122.76870727539062,-159.98336791992188,4892,0.0008459126528049375,-4.33423675
8,1223.0,29,0.000982477911747992,9683,328,3.482819080352783,-129.42454528808594,-118.0606460571289,9784,0.0008459126528049375,-3.455854875
12,1223.0,29,0.0014441077364608645,14575,494,11.409759521484375,-121.07174682617188,17.539134979248047,14676,0.0008459126528049375,-2.713128916666667
16,1223.0,29,0.0009842639556154609,19467,661,42.37798309326172,-122.95537567138672,31.562599182128906,19568,0.0008459126528049375,-2.3798619375000003
20,1223.0,29,0.0007629893370904028,24359,827,22.414566040039062,-123.86319732666016,92.08030700683594,24460,0.0008459126528049375,-2.1299606500000006
24,1223.0,29,0.0007382539915852249,29251,148,6.224578857421875,-113.93724822998047,46.75461196899414,29352,0.0008459126528049375,-1.9611491249999997
28,1223.0,29,0.0008233383996412158,34143,315,1.799179196357727,-102.55438232421875,23.74650001525879,34244,0.0008459126528049375,-1.8464612142857142
32,1223.0,29,0.0011672783875837922,39035,482,2.849260091781616,-101.92845916748047,80.02448272705078,39136,0.0008459126528049375,-1.7883370625
36,1223.0,29,0.0005415306077338755,43927,649,5.0621442794799805,-94.77436828613281,35.76030731201172,44028,0.0008459126528049375,-1.7161765833333333
40,1223.0,29,0.0006193533190526068,48819,816,3.3941776752471924,-95.41665649414062,-31.515472412109375,48920,0.0008459126528049375,-1.6474791249999998
44,1223.0,29,0.00069416593760252,53711,129,1.0532960891723633,-86.19432067871094,3.3895559310913086,53812,0.0008459126528049375,-1.6014090227272726
48,1223.0,29,0.0014826798578724265,58603,295,8.971115112304688,-73.25888061523438,57.17683410644531,58704,0.0008459126528049375,-1.5272099791666667
52,1223.0,29,0.001466599409468472,63495,461,5.9243292808532715,-51.19489669799805,-41.624881744384766,63596,0.0008459126528049375,-1.4925486923076923
56,1223.0,29,0.000707184080965817,68387,626,2.038097858428955,-46.91896057128906,10.756314277648926,68488,0.0008459126528049375,-1.4830507142857141
60,1223.0,29,0.0004555867344606668,73279,794,1.6638363599777222,-45.55426788330078,-48.94034194946289,73380,0.0008459126528049375,-1.4676079999999998
64,1223.0,27,0.0009683493990451097,78171,119,19.400127410888672,-40.74238586425781,-24.95965576171875,78272,0.0008459126528049375,-1.453469609375
68,1223.0,26,0.0004942687810398638,83063,304,2.997255325317383,-36.17641830444336,-9.903254508972168,83164,0.0008459126528049375,-1.448793573529412
72,1223.0,27,0.0005444148555397987,87955,469,7.812201499938965,-28.01719856262207,7.384729862213135,88056,0.0008459126528049375,-1.4464340694444442
76,1223.0,28,0.0005246985238045454,92847,630,2.9139769077301025,-24.840198516845703,52.997154235839844,92948,0.0008459126528049375,-1.4306326315789473
80,1223.0,28,0.0007283599115908146,97739,792,5.309666633605957,-15.822296142578125,85.96418762207031,97840,0.0008459126528049375,-1.4077928874999999
