train/actor_loss,time/episodes,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/learning_rate,train/critic_loss,train/ent_coef,time/fps,rollout/ep_rew_mean,train/n_updates,train/ent_coef_loss
-122.73455810546875,4,1257.0,179,5028,0.0008459126528049375,1.9082086086273193,0.01766110025346279,27,-5.6722175,4927,-172.83831787109375
-130.82583618164062,8,1257.0,362,10056,0.0008459126528049375,4.4751763343811035,0.001206274377182126,27,-4.500335625,9955,34.80437469482422
-129.8383331298828,12,1257.0,546,15084,0.0008459126528049375,4.501064300537109,0.0012492366367951035,27,-3.8285905833333334,14983,70.58929443359375
-125.74532318115234,16,1257.0,716,20112,0.0008459126528049375,4.164425849914551,0.0011859301012009382,28,-3.4870683125,20011,14.017821311950684
-117.06034088134766,20,1257.0,5,25140,0.0008459126528049375,4.293094158172607,0.0007662744028493762,26,-3.2448545500000003,25039,43.652034759521484
-115.2366943359375,24,1257.0,188,30168,0.0008459126528049375,14.087718963623047,0.0006363379652611911,27,-3.0631764166666664,30067,-54.480430603027344
-103.2785415649414,28,1257.0,343,35196,0.0008459126528049375,3.159700632095337,0.0005246895016171038,29,-3.021565714285714,35095,63.8245735168457
-78.12586212158203,32,1257.0,499,40224,0.0008459126528049375,67.12799072265625,0.0018741069361567497,30,-2.954349625,40123,61.05075454711914
-74.13350677490234,36,1257.0,672,45252,0.0008459126528049375,22.18462562561035,0.0008242453914135695,30,-2.909671166666667,45151,-30.20519256591797
-69.55699157714844,40,1257.0,10,50280,0.0008459126528049375,6.069618225097656,0.0006725742132402956,26,-2.864198225,50179,-34.52347183227539
-60.36201095581055,44,1257.0,187,55308,0.0008459126528049375,5.8829851150512695,0.0017398950876668096,28,-2.8319141136363633,55207,-16.499731063842773
-53.140350341796875,48,1257.0,337,60336,0.0008459126528049375,35.997352600097656,0.0008779754862189293,30,-2.7971203958333333,60235,1.4595515727996826
-46.18285369873047,52,1257.0,489,65364,0.0008459126528049375,5.645203590393066,0.0014870364684611559,31,-2.753401865384615,65263,18.162288665771484
-44.43113708496094,56,1257.0,642,70392,0.0008459126528049375,2.1855669021606445,0.0012873916421085596,31,-2.7239073392857143,70291,-10.738067626953125
-39.21484375,60,1257.0,13,75420,0.0008459126528049375,3.418170213699341,0.0005693946732208133,31,-2.6786321,75319,2.0105140209198
-36.345760345458984,64,1257.0,176,80448,0.0008459126528049375,14.10062026977539,0.001698766485787928,30,-2.64077859375,80347,10.068282127380371
-23.196910858154297,68,1257.0,345,85476,0.0008459126528049375,5.800122261047363,0.0011979873524978757,30,-2.622575632352941,85375,23.06279945373535
-13.246697425842285,72,1257.0,515,90504,0.0008459126528049375,66.54741668701172,0.0018823572900146246,30,-2.5905865833333332,90403,-10.519402503967285
-3.1794381141662598,76,1257.0,685,95532,0.0008459126528049375,11.726974487304688,0.0014752588467672467,29,-2.5549325263157896,95431,-38.81924057006836
