train/ent_coef,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,train/critic_loss,train/ent_coef_loss,train/learning_rate,time/total_timesteps,train/n_updates,time/episodes
0.017407773062586784,-4.54766725,34,1258.0,-124.08736419677734,146,1.882049798965454,-164.46243286132812,0.0008459126528049375,5032,4931,4
0.0012780658435076475,-3.57767125,33,1258.0,-130.43692016601562,303,5.4435014724731445,19.70232391357422,0.0008459126528049375,10064,9963,8
0.0010035289451479912,-2.9005755833333335,32,1258.0,-135.72698974609375,468,5.525393486022949,2.6418023109436035,0.0008459126528049375,15096,14995,12
0.0004992909380234778,-2.5345128125,32,1258.0,-139.931396484375,627,3.371490478515625,-7.56886100769043,0.0008459126528049375,20128,20027,16
0.0017437139758840203,-2.34582495,30,1258.0,-122.51457214355469,5,7.9225754737854,-35.662532806396484,0.0008459126528049375,25160,25059,20
0.0007115984335541725,-2.252372625,30,1258.0,-105.20046997070312,169,7.706552028656006,70.20967864990234,0.0008459126528049375,30192,30091,24
0.0009252959862351418,-2.1763336428571427,30,1258.0,-94.9901351928711,331,3.410349130630493,-52.22014236450195,0.0008459126528049375,35224,35123,28
0.0005840008379891515,-2.088364125,30,1258.0,-81.27557373046875,496,6.62809419631958,-15.537468910217285,0.0008459126528049375,40256,40155,32
0.0006837901892140508,-2.025037277777778,30,1258.0,-76.54369354248047,668,4.4886698722839355,-22.314823150634766,0.0008459126528049375,45288,45187,36
0.0009245484252460301,-1.9900509249999998,32,1258.0,-60.67318344116211,9,5.784956455230713,-24.255701065063477,0.0008459126528049375,50320,50219,40
0.0024606529623270035,-1.952048,30,1258.0,-46.162899017333984,175,38.85252380371094,14.322134017944336,0.0008459126528049375,55352,55251,44
0.001242293044924736,-1.9153342083333333,30,1258.0,-38.773033142089844,335,15.200695037841797,-77.11689758300781,0.0008459126528049375,60384,60283,48
0.0016486872918903828,-1.8714022307692306,31,1258.0,-35.204715728759766,494,4.430190086364746,22.601987838745117,0.0008459126528049375,65416,65315,52
0.0013635517098009586,-1.838753142857143,31,1258.0,-23.980741500854492,655,8.388772010803223,19.273523330688477,0.0008459126528049375,70448,70347,56
0.003909384366124868,-1.8139999000000004,28,1258.0,-8.762548446655273,16,22.40915298461914,18.37840461730957,0.0008459126528049375,75480,75379,60
0.0006377598620019853,-1.795059296875,28,1258.0,3.72102952003479,193,7.589626312255859,-35.13209533691406,0.0008459126528049375,80512,80411,64
0.0009428950143046677,-1.7716893529411766,29,1258.0,9.00904369354248,361,2.821920394897461,-4.142925262451172,0.0008459126528049375,85544,85443,68
0.0006914722034707665,-1.7687323611111112,28,1258.0,17.405366897583008,544,2.1164746284484863,-40.71470642089844,0.0008459126528049375,90576,90475,72
0.0015133360866457224,-1.761082355263158,28,1258.0,30.46062660217285,715,6.506763458251953,-11.067423820495605,0.0008459126528049375,95608,95507,76
