train/ent_coef_loss,train/n_updates,train/critic_loss,train/actor_loss,time/fps,train/learning_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,train/ent_coef,time/episodes
-174.5911102294922,4931,1.4030300378799438,-122.38478088378906,67,0.0008459126528049375,1258.0,74,-4.24266975,5032,0.017167506739497185,4
-20.16666603088379,9963,8.590909957885742,-120.22126770019531,66,0.0008459126528049375,1258.0,150,-3.168825875,10064,0.0013402806362137198,8
-65.42976379394531,14995,25.99728012084961,-118.05376434326172,66,0.0008459126528049375,1258.0,227,-2.5857125,15096,0.0006668853457085788,12
28.782894134521484,20027,3.5193653106689453,-113.41195678710938,66,0.0008459126528049375,1258.0,304,-2.2657273125,20128,0.000379254313884303,16
17.65110969543457,25059,1.624632716178894,-111.79650115966797,67,0.0008459126528049375,1258.0,2,-2.0508237000000005,25160,0.0005721183842979372,20
-60.239627838134766,30091,1.9595434665679932,-105.25883483886719,66,0.0008459126528049375,1258.0,77,-1.9320105416666664,30192,0.0002663207415025681,24
-64.88703918457031,35123,1.7809557914733887,-103.2457275390625,66,0.0008459126528049375,1258.0,154,-1.8048107142857142,35224,0.0006314361817203462,28
-36.88134002685547,40155,1.3018897771835327,-96.32710266113281,66,0.0008459126528049375,1258.0,230,-1.70955059375,40256,0.00033239999902434647,32
31.62630844116211,45187,3.4089102745056152,-88.19742584228516,66,0.0008459126528049375,1258.0,306,-1.6607173055555557,45288,0.00041286618215963244,36
-35.02461624145508,50219,0.7669415473937988,-85.97312927246094,65,0.0008459126528049375,1258.0,4,-1.6237156250000002,50320,0.0004557064676191658,40
-43.19746780395508,55251,8.009737968444824,-80.0140380859375,65,0.0008459126528049375,1258.0,81,-1.581673840909091,55352,0.0010934435995295644,44
5.490764617919922,60283,4.122201442718506,-69.6004409790039,65,0.0008459126528049375,1258.0,157,-1.5593195000000002,60384,0.0004368663649074733,48
-18.573728561401367,65315,5.513219833374023,-64.61726379394531,65,0.0008459126528049375,1258.0,234,-1.5288836730769235,65416,0.00040721139521338046,52
-11.693201065063477,70347,6.017703056335449,-61.586788177490234,65,0.0008459126528049375,1258.0,310,-1.4874685357142856,70448,0.0006786989397369325,56
-48.421207427978516,75379,10.027704238891602,-50.347164154052734,63,0.0008459126528049375,1258.0,7,-1.44474005,75480,0.0006823274306952953,60
37.36757278442383,80411,7.140135765075684,-36.11968231201172,62,0.0008459126528049375,1258.0,87,-1.4238447812500001,80512,0.0008693835698068142,64
70.77596282958984,85443,6.661029815673828,-38.56711959838867,62,0.0008459126528049375,1258.0,168,-1.4043008088235296,85544,0.002118574222549796,68
-15.467312812805176,90475,14.435935974121094,-30.78538703918457,62,0.0008459126528049375,1258.0,249,-1.3835548194444445,90576,0.001978832297027111,72
38.140716552734375,95507,47.9780158996582,-23.096607208251953,62,0.0008459126528049375,1258.0,329,-1.3698103289473684,95608,0.0017160990973934531,76
