time/total_timesteps,train/critic_loss,train/ent_coef_loss,time/episodes,train/actor_loss,train/n_updates,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,train/learning_rate,train/ent_coef
5028,2.814002513885498,-166.34567260742188,4,-122.8371353149414,4927,1257.0,67,74,-5.61068825,0.0008459126528049375,0.017708543688058853
10056,2.5987870693206787,5.350351810455322,8,-130.96568298339844,9955,1257.0,66,151,-4.48115375,0.0008459126528049375,0.0012826380552724004
15084,1.878972053527832,-24.484527587890625,12,-124.34530639648438,14983,1257.0,66,228,-3.7956374999999998,0.0008459126528049375,0.0009257214260287583
20112,76.1926040649414,291.7509460449219,16,-97.19633483886719,20011,1257.0,65,304,-3.4385076249999997,0.0008459126528049375,0.0011166987242177129
25140,3.190521717071533,77.12403869628906,20,-84.81062316894531,25039,1257.0,65,2,-3.202457699999999,0.0008459126528049375,0.0007785285706631839
30168,20.832744598388672,84.84791564941406,24,-64.5959701538086,30067,1257.0,65,79,-3.0417770416666667,0.0008459126528049375,0.0020023740362375975
35196,3.7379050254821777,-18.960132598876953,28,-53.018856048583984,35095,1257.0,65,156,-2.924924071428572,0.0008459126528049375,0.001191875315271318
40224,3.315089702606201,-42.440555572509766,32,-43.59497833251953,40123,1257.0,65,233,-2.8636841250000002,0.0008459126528049375,0.0005932911299169064
45252,1.3919966220855713,-27.649417877197266,36,-36.88349151611328,45151,1257.0,65,311,-2.8127541944444445,0.0008459126528049375,0.0003727623843587935
50280,3.8240222930908203,20.931320190429688,40,-28.28961944580078,50179,1257.0,64,4,-2.7429972749999996,0.0008459126528049375,0.000437749462435022
55308,1.749000906944275,-67.41326141357422,44,-19.697057723999023,55207,1257.0,65,81,-2.678107409090909,0.0008459126528049375,0.0010679098777472973
60336,1.2332502603530884,44.896629333496094,48,-16.431943893432617,60235,1257.0,65,158,-2.6514962708333334,0.0008459126528049375,0.00041527103167027235
65364,1.2099800109863281,3.10400390625,52,-10.212458610534668,65263,1257.0,64,236,-2.6145526538461534,0.0008459126528049375,0.00039113382808864117
70392,2.897897243499756,-20.55518341064453,56,4.558107376098633,70291,1257.0,64,314,-2.578798875,0.0008459126528049375,0.0009629027917981148
75420,1.7599601745605469,-11.64531135559082,60,9.38679313659668,75319,1257.0,62,6,-2.5730595000000003,0.0008459126528049375,0.0007663324940949678
80448,1.6259466409683228,-11.786595344543457,64,11.499350547790527,80347,1257.0,61,87,-2.54477375,0.0008459126528049375,0.00032006099354475737
85476,5.985595703125,36.803890228271484,68,19.94474983215332,85375,1257.0,61,169,-2.5066261470588236,0.0008459126528049375,0.001275834278203547
