rollout/ep_rew_mean,train/actor_loss,train/critic_loss,time/fps,train/n_updates,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,train/ent_coef,time/time_elapsed,train/learning_rate,time/total_timesteps
-4.40303375,-121.50420379638672,2.69958233833313,66,4927,1257.0,-166.27969360351562,4,0.016898205503821373,75,0.0008459126528049375,5028
-3.3995842499999998,-122.56326293945312,14.192788124084473,66,9955,1257.0,26.77835464477539,8,0.0010803707409650087,151,0.0008459126528049375,10056
-2.7027593333333333,-119.98735046386719,3.6492185592651367,65,14983,1257.0,28.60667610168457,12,0.000910222006496042,231,0.0008459126528049375,15084
-2.3739995625,-98.3269271850586,5.648159980773926,64,20011,1257.0,5.707578659057617,16,0.0009174594306387007,309,0.0008459126528049375,20112
-2.2224733,-89.80203247070312,1.4595234394073486,67,25039,1257.0,71.61698150634766,20,0.0003613577864598483,2,0.0008459126528049375,25140
-2.071098125,-81.13314819335938,1.5221927165985107,64,30067,1257.0,-1.0260932445526123,24,0.00043250079033896327,80,0.0008459126528049375,30168
-2.003843571428571,-65.34479522705078,4.4789018630981445,63,35095,1257.0,-21.540956497192383,28,0.0004676894750446081,160,0.0008459126528049375,35196
-1.9358495625,-62.00376892089844,1.6225345134735107,63,40123,1257.0,84.10585021972656,32,0.00025231530889868736,241,0.0008459126528049375,40224
-1.862486055555556,-57.80796813964844,2.466470956802368,63,45151,1257.0,-56.51835632324219,36,0.0003742959233932197,321,0.0008459126528049375,45252
-1.8205245500000005,-54.1429328918457,2.0265536308288574,64,50179,1257.0,156.5326690673828,40,0.00019693466310855,4,0.0008459126528049375,50280
-1.7733889090909096,-39.94432830810547,3.562948703765869,64,55207,1257.0,-63.32387924194336,44,0.0006266615819185972,82,0.0008459126528049375,55308
-1.7344243124999998,-37.53566360473633,3.423872470855713,63,60235,1257.0,31.505460739135742,48,0.0002731071144808084,162,0.0008459126528049375,60336
-1.6918374038461539,-34.25880813598633,5.716979026794434,63,65263,1257.0,-80.56880950927734,52,0.0005953576765023172,242,0.0008459126528049375,65364
-1.6776615000000004,-12.186528205871582,14.53969955444336,63,70291,1257.0,6.918240547180176,56,0.0011433669133111835,320,0.0008459126528049375,70392
-1.671746266666667,-4.888168811798096,5.469289302825928,56,75319,1257.0,-11.397334098815918,60,0.0007828180096112192,7,0.0008459126528049375,75420
-1.650980828125,-0.0944068431854248,2.3648202419281006,59,80347,1257.0,17.29230308532715,64,0.0004084390529897064,91,0.0008459126528049375,80448
-1.6355934852941179,8.079554557800293,2.7952733039855957,60,85375,1257.0,-104.42301940917969,68,0.0005533489747904241,173,0.0008459126528049375,85476
-1.6153480277777779,14.908432006835938,2.2543673515319824,60,90403,1257.0,4.343294143676758,72,0.0004991195164620876,258,0.0008459126528049375,90504
-1.5978853157894737,23.686403274536133,4.111733913421631,60,95431,1257.0,4.168630123138428,76,0.0008903310517780483,341,0.0008459126528049375,95532
