rollout/ep_rew_mean,train/actor_loss,train/critic_loss,time/fps,train/n_updates,rollout/ep_len_mean,train/ent_coef_loss,time/episodes,train/ent_coef,time/time_elapsed,train/learning_rate,time/total_timesteps
-4.39481125,-123.12705993652344,1.8566973209381104,72,4927,1257.0,-180.07489013671875,4,0.0171988382935524,69,0.0008459126528049375,5028
-3.352706125,-132.51724243164062,6.31846284866333,72,9955,1257.0,-12.757534980773926,8,0.0010797239374369383,137,0.0008459126528049375,10056
-2.698120083333334,-132.204833984375,4.014876365661621,71,14983,1257.0,32.9711799621582,12,0.000836941588204354,210,0.0008459126528049375,15084
-2.3839699375,-127.25106048583984,2.986348867416382,70,20011,1257.0,85.54474639892578,16,0.0005889236927032471,284,0.0008459126528049375,20112
-2.20792355,-97.49866485595703,4.602878093719482,68,25039,1257.0,-65.85858154296875,20,0.0007289040368050337,2,0.0008459126528049375,25140
-2.0823410416666666,-81.3041000366211,2.8337621688842773,68,30067,1257.0,-9.386916160583496,24,0.0007791692041791975,75,0.0008459126528049375,30168
-2.0329769642857145,-74.0114517211914,2.2747855186462402,68,35095,1257.0,22.501998901367188,28,0.0005061307456344366,147,0.0008459126528049375,35196
-1.9750071250000003,-72.63493347167969,2.3221518993377686,68,40123,1257.0,-17.820772171020508,32,0.0004988680593669415,223,0.0008459126528049375,40224
-1.9348858611111115,-69.42363739013672,2.10679292678833,67,45151,1257.0,-76.48609161376953,36,0.0003194840101059526,299,0.0008459126528049375,45252
-1.877987775,-41.931941986083984,1.8033502101898193,69,50179,1257.0,-9.722713470458984,40,0.0003634262247942388,4,0.0008459126528049375,50280
-1.8813877500000002,-29.804641723632812,1.1223883628845215,70,55207,1257.0,20.218311309814453,44,0.00027767446590587497,75,0.0008459126528049375,55308
-1.9115082291666667,-23.68039321899414,0.5839424133300781,70,60235,1257.0,24.846010208129883,48,0.00034414115361869335,147,0.0008459126528049375,60336
-1.8915617884615386,-20.606151580810547,1.1082829236984253,69,65263,1257.0,50.304386138916016,52,0.0002222075709141791,222,0.0008459126528049375,65364
-1.8672152678571428,-18.12825584411621,0.5394018888473511,68,70291,1257.0,26.588497161865234,56,0.0002530495694372803,296,0.0008459126528049375,70392
-1.839602883333333,-14.997654914855957,0.9916751384735107,66,75319,1257.0,-87.31200408935547,60,0.00024042182485572994,6,0.0008459126528049375,75420
-1.8252053593750002,-10.427192687988281,0.5963764190673828,66,80347,1257.0,41.294517517089844,64,0.0004692978982347995,82,0.0008459126528049375,80448
-1.8177163529411768,-6.330761432647705,3.9054369926452637,63,85375,1257.0,29.237045288085938,68,0.00022977820481173694,163,0.0008459126528049375,85476
-1.8057573611111113,-0.18111351132392883,1.0327060222625732,65,90403,1257.0,0.06161642074584961,72,0.00034637353383004665,237,0.0008459126528049375,90504
-1.7797320921052637,6.75021505355835,0.9293329119682312,68,95431,1257.0,-30.08657455444336,76,0.0005419991794042289,297,0.0008459126528049375,95532
