time/fps,train/n_updates,train/critic_loss,time/time_elapsed,train/ent_coef_loss,rollout/ep_rew_mean,train/actor_loss,rollout/ep_len_mean,time/total_timesteps,train/ent_coef,time/episodes,train/learning_rate
12,4931,3.2495501041412354,419,-179.80540466308594,-4.66212025,-123.15039825439453,1258.0,5032,0.017038164660334587,4,0.0008459126528049375
11,9963,4.994950294494629,848,-20.774738311767578,-3.7418609999999997,-132.64718627929688,1258.0,10064,0.001340191112831235,8,0.0008459126528049375
11,14995,6.909587860107422,1290,14.921205520629883,-3.1081114999999997,-131.66757202148438,1258.0,15096,0.001674439525231719,12,0.0008459126528049375
11,20027,5.1532087326049805,1730,-56.47163391113281,-2.7816745625,-132.99020385742188,1258.0,20128,0.0007063206867314875,16,0.0008459126528049375
12,25059,6.65983772277832,13,-15.86777114868164,-2.5501675,-115.54690551757812,1258.0,25160,0.0008625521440990269,20,0.0008459126528049375
11,30091,3.6933131217956543,443,71.28224182128906,-2.3844897916666663,-111.2145004272461,1258.0,30192,0.0008535879314877093,24,0.0008459126528049375
11,35123,1.825299620628357,886,124.33846282958984,-2.283408464285714,-109.92182922363281,1258.0,35224,0.0004862329224124551,28,0.0008459126528049375
11,40155,3.577462673187256,1330,15.523359298706055,-2.1978821875000003,-86.00147247314453,1258.0,40256,0.0014005590928718448,32,0.0008459126528049375
11,45187,5.237460613250732,1799,-5.806057453155518,-2.1470997777777776,-81.07289123535156,1258.0,45288,0.0004947783891111612,36,0.0008459126528049375
12,50219,9.744894027709961,26,55.63114547729492,-2.0825010999999995,-78.09706115722656,1258.0,50320,0.00046632150770165026,40,0.0008459126528049375
11,55251,2.291107177734375,469,38.12638854980469,-2.0390975681818175,-43.08873748779297,1258.0,55352,0.0007139606168493629,44,0.0008459126528049375
11,60283,16.680574417114258,918,-2.083125591278076,-1.9942366458333332,-20.920446395874023,1258.0,60384,0.001507502282038331,48,0.0008459126528049375
11,65315,15.627723693847656,1365,-30.440101623535156,-1.9740986153846154,-14.771675109863281,1258.0,65416,0.0004719027492683381,52,0.0008459126528049375
11,70347,4.370674133300781,1812,3.914759635925293,-1.9368014107142855,-2.1401147842407227,1258.0,70448,0.0013171472819522023,56,0.0008459126528049375
10,75379,2.2053465843200684,44,18.61594009399414,-1.9148349666666669,3.3990955352783203,1258.0,75480,0.0007399869500659406,60,0.0008459126528049375
10,80411,4.387276649475098,513,115.7550277709961,-1.89978690625,6.584220886230469,1258.0,80512,0.0005807348643429577,64,0.0008459126528049375
10,85443,1.4811514616012573,978,-12.871150016784668,-1.878826720588235,9.799928665161133,1258.0,85544,0.000492861436214298,68,0.0008459126528049375
10,90475,1.0640499591827393,1432,71.12609100341797,-1.8665034861111112,12.701750755310059,1258.0,90576,0.000445098034106195,72,0.0008459126528049375
10,95507,2.920170307159424,1873,-36.70759201049805,-1.8439641710526316,16.653133392333984,1258.0,95608,0.0004505648685153574,76,0.0008459126528049375
