rollout/ep_rew_mean,train/actor_loss,train/n_updates,train/critic_loss,train/ent_coef,train/learning_rate,rollout/ep_len_mean,train/ent_coef_loss,time/time_elapsed,time/total_timesteps,time/episodes,time/fps
-5.162798,-124.00204467773438,4931,1.87567138671875,0.017427822574973106,0.0008459126528049375,1258.0,-163.8760986328125,441,5032,4,11
-4.1262715,-130.3172149658203,9963,5.4284234046936035,0.0012783389538526535,0.0008459126528049375,1258.0,17.627286911010742,911,10064,8,11
-3.4404559999999997,-135.61083984375,14995,5.563782691955566,0.0008279549074359238,0.0008459126528049375,1258.0,47.96013259887695,1384,15096,12,10
-3.05182325,-138.2615966796875,20027,4.232383728027344,0.0006923570763319731,0.0008459126528049375,1258.0,26.206680297851562,1856,20128,16,10
-2.9091761499999995,-126.05506134033203,25059,1.829515814781189,0.0008365928661078215,0.0008459126528049375,1258.0,-51.383888244628906,14,25160,20,10
-2.8064881666666666,-102.8868179321289,30091,7.055583953857422,0.0011603531893342733,0.0008459126528049375,1258.0,-11.083158493041992,485,30192,24,10
-2.753140535714286,-101.47806549072266,35123,7.634391784667969,0.0008757210453040898,0.0008459126528049375,1258.0,5.708165168762207,951,35224,28,10
-2.6859856875,-79.4354248046875,40155,3.5578114986419678,0.00040256953798234463,0.0008459126528049375,1258.0,72.42066192626953,1419,40256,32,10
-2.622315861111111,-75.33125305175781,45187,3.6233205795288086,0.0004079616046510637,0.0008459126528049375,1258.0,39.69294357299805,1888,45288,36,10
-2.560177475,-71.13233184814453,50219,1.3538813591003418,0.0003094723797403276,0.0008459126528049375,1258.0,3.247267484664917,29,50320,40,10
-2.5100569999999998,-66.01948547363281,55251,1.8059779405593872,0.0007198142120614648,0.0008459126528049375,1258.0,-21.64881134033203,502,55352,44,10
-2.47385575,-29.207656860351562,60283,26.320295333862305,0.002439019735902548,0.0008459126528049375,1258.0,-5.069355487823486,976,60384,48,10
-2.4504638461538457,-19.927200317382812,65315,9.232956886291504,0.0009537216392345726,0.0008459126528049375,1258.0,72.20670318603516,1449,65416,52,10
-2.4222871607142857,-7.640968322753906,70347,5.340506553649902,0.0007911287830211222,0.0008459126528049375,1258.0,-61.080081939697266,1922,70448,56,10
-2.3911521833333333,3.315866470336914,75379,13.417701721191406,0.0008197285351343453,0.0008459126528049375,1258.0,78.49598693847656,44,75480,60,10
-2.3683379218750003,12.261076927185059,80411,15.54476547241211,0.0008361007203347981,0.0008459126528049375,1258.0,-46.62164306640625,546,80512,64,10
-2.3607547647058826,19.67898178100586,85443,5.557260513305664,0.000993153196759522,0.0008459126528049375,1258.0,-49.27333450317383,1024,85544,68,10
-2.3389601944444447,34.11185836791992,90475,14.848705291748047,0.0013979315990582108,0.0008459126528049375,1258.0,-21.76447868347168,1498,90576,72,10
-2.3163822763157893,50.08631134033203,95507,50.406517028808594,0.0021759197115898132,0.0008459126528049375,1258.0,-11.517566680908203,1977,95608,76,10
