time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/loss,train/explained_variance,train/std,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
1,512,4237,0,,,,,,,,,,,,,
2,1024,2692,0,-0.04397253692150116,-0.04020380973815918,0.9989295601844788,0.0004092704424510632,0.10450590352411382,-43.97262763977051,-0.03685613613924943,0.026569072,16,0.3448486328125,0.2,,
3,1536,2420,0,-0.03000449202954769,0.005226016044616699,0.9982884526252747,0.0004092704424510632,0.005184155859751627,-43.943461894989014,-0.028461136418627575,0.018652935,32,0.2781982421875,0.2,1257.0,-2.9983
4,2048,2318,0,-0.03250085562467575,0.004490554332733154,0.9982441067695618,0.0004092704424510632,0.019079908379353583,-43.931100368499756,-0.03261869965353981,0.020751908,48,0.3221435546875,0.2,1257.0,-2.9983
5,2560,2256,1,-0.03667036443948746,0.01109999418258667,0.9983048439025879,0.0004092704424510632,0.005818659701617435,-43.929362058639526,-0.02712924560182728,0.024166044,64,0.324951171875,0.2,1257.0,-2.888122
6,3072,2170,1,-0.030900172889232635,0.016953229904174805,0.99713134765625,0.0004092704424510632,0.009176019157166593,-43.92067515850067,-0.0289063255477231,0.022728022,80,0.3167724609375,0.2,1257.0,-2.888122
7,3584,2110,1,-0.03582162410020828,0.008042335510253906,0.9954761862754822,0.0004092704424510632,0.012217265873914585,-43.866291999816895,-0.028279430291149765,0.025356987,96,0.309326171875,0.2,1257.0,-2.888122
8,4096,2068,1,-0.0341251976788044,0.004932999610900879,0.9955423474311829,0.0004092704424510632,0.005444471149530727,-43.8336900472641,-0.0315603816852672,0.024389602,112,0.3114013671875,0.2,1257.0,-2.9289346666666667
9,4608,2038,2,-0.026829920709133148,0.009196162223815918,0.9948660135269165,0.0004092704424510632,0.00854668949614279,-43.832194089889526,-0.02607293939217925,0.017809361,128,0.255126953125,0.2,1257.0,-2.9289346666666667
10,5120,2011,2,-0.0461074598133564,0.04127943515777588,0.9937896728515625,0.0004092704424510632,0.002560176060796948,-43.802066802978516,-0.028719287482090294,0.019617558,144,0.2657470703125,0.2,1257.0,-2.929067
11,5632,1989,2,-0.03489010035991669,-0.018804192543029785,0.9928489327430725,0.0004092704424510632,0.005504537490196526,-43.768317461013794,-0.02619719470385462,0.0250534,160,0.294677734375,0.2,1257.0,-2.929067
12,6144,1970,3,-0.030082225799560547,0.011713862419128418,0.9932010769844055,0.0004092704424510632,0.010602137743262574,-43.75078892707825,-0.02349781632074155,0.017959483,176,0.24462890625,0.2,1257.0,-2.929067
13,6656,1955,3,-0.016665514558553696,-0.004845619201660156,0.9924802184104919,0.0004092704424510632,0.004922335741866846,-43.757795214653015,-0.0182861490175128,0.01313909,192,0.17138671875,0.2,1257.0,-2.9385554
14,7168,1942,3,-0.02681558206677437,-0.0012054443359375,0.9916020631790161,0.0004092704424510632,0.027804869401734322,-43.728511095047,-0.03625396275310777,0.035457235,208,0.3387451171875,0.2,1257.0,-2.9385554
15,7680,1928,3,-0.03445734828710556,0.013749301433563232,0.9907057881355286,0.0004092704424510632,0.003710266129928641,-43.69888138771057,-0.024661880350322463,0.015731808,224,0.2242431640625,0.2,1257.0,-2.9320481666666667
16,8192,1915,4,-0.005124583840370178,-0.0023790597915649414,0.9901299476623535,0.0004092704424510632,0.02957860118476674,-43.673884868621826,-0.02102854900294915,0.013256269,240,0.20703125,0.2,1257.0,-2.9320481666666667
17,8704,1905,4,-0.023783916607499123,0.00550997257232666,0.9900421500205994,0.0004092704424510632,0.0122681466746144,-43.66077721118927,-0.023720660392427817,0.01893642,256,0.2484130859375,0.2,1257.0,-2.9320481666666667
18,9216,1896,4,-0.035703182220458984,-0.0029410123825073242,0.9896426200866699,0.0004092704424510632,0.0071999143256107345,-43.65150475502014,-0.027100009348941967,0.023188323,272,0.2467041015625,0.2,1257.0,-2.9551238571428575
19,9728,1887,5,-0.002212807536125183,-0.0002371072769165039,0.9891452789306641,0.0004092704424510632,0.06457220576703548,-43.63799858093262,-0.027098752310848795,0.021234563,288,0.2569580078125,0.2,1257.0,-2.9551238571428575
20,10240,1877,5,-0.04571647197008133,0.0047795772552490234,0.9888678789138794,0.0004092704424510632,0.00485220507835038,-43.622060775756836,-0.026328108142479323,0.021189861,304,0.2808837890625,0.2,1257.0,-2.94886725
21,10752,1869,5,-0.006631758064031601,0.0014317035675048828,0.9891270995140076,0.0004092704424510632,0.06309656950179487,-43.61754012107849,-0.030537730577634647,0.02710804,320,0.2733154296875,0.2,1257.0,-2.94886725
22,11264,1864,6,-0.02443394437432289,-0.010866999626159668,0.9895771741867065,0.0004092704424510632,0.011579438927583396,-43.63419687747955,-0.020747702103108168,0.017115451,336,0.1998291015625,0.2,1257.0,-2.94886725
23,11776,1859,6,-0.03686639666557312,0.0007281303405761719,0.9909118413925171,0.0004092704424510632,0.005003472811949905,-43.65825176239014,-0.02522913081338629,0.021551596,352,0.236572265625,0.2,1257.0,-2.942598777777778
24,12288,1852,6,0.013118728995323181,0.00025337934494018555,0.9913798570632935,0.0004092704424510632,0.09534626628737897,-43.698052525520325,-0.0229661946214037,0.026827592,368,0.24365234375,0.2,1257.0,-2.942598777777778
25,12800,1840,6,-0.03760501369833946,0.0038770437240600586,0.9912301301956177,0.0004092704424510632,0.006027409413945861,-43.68871283531189,-0.023380762402666733,0.015288193,384,0.227294921875,0.2,1257.0,-2.9547455000000005
26,13312,1837,7,0.023838885128498077,0.0007472038269042969,0.9898703694343567,0.0004092704424510632,0.1107252596411854,-43.67258846759796,-0.02744055661605671,0.019321302,400,0.2269287109375,0.2,1257.0,-2.9547455000000005
27,13824,1836,7,-0.030467435717582703,-0.007966399192810059,0.9899423122406006,0.0004092704424510632,0.011058448784751818,-43.64193642139435,-0.028218306746566668,0.028735895,416,0.295166015625,0.2,1257.0,-2.9547455000000005
28,14336,1835,7,-0.02884863317012787,0.0007967352867126465,0.988693356513977,0.0004092704424510632,0.006285738694714382,-43.635138392448425,-0.02113777208433021,0.013926621,432,0.203125,0.2,1257.0,-2.9427716363636365
29,14848,1834,8,-0.011999247595667839,0.0010246634483337402,0.9868276119232178,0.0004092704424510632,0.02937551646027714,-43.57818639278412,-0.020707665076770354,0.024182595,448,0.2359619140625,0.2,1257.0,-2.9427716363636365
30,15360,1833,8,-0.026867950335144997,0.0026075243949890137,0.9862234592437744,0.0004092704424510632,0.004965604173776228,-43.534475207328796,-0.02285146716167219,0.019684777,464,0.2236328125,0.2,1257.0,-2.929695166666667
31,15872,1832,8,0.03180483728647232,0.0003803372383117676,0.9845146536827087,0.0004092704424510632,0.16556954709813,-43.506906628608704,-0.029161308644688688,0.015507375,480,0.218505859375,0.2,1257.0,-2.929695166666667
32,16384,1831,8,-0.0270172618329525,0.001104593276977539,0.9838462471961975,0.0004092704424510632,0.0064599999313941225,-43.454962849617004,-0.019832195743219927,0.021215077,496,0.2330322265625,0.2,1257.0,-2.9236299230769234
33,16896,1830,9,0.035265110433101654,0.000845789909362793,0.9834437370300293,0.0004092704424510632,0.16856185672804713,-43.440810322761536,-0.025259804620873183,0.019846935,512,0.2071533203125,0.2,1257.0,-2.9236299230769234
34,17408,1828,9,-0.04059785604476929,-0.07011806964874268,0.982036292552948,0.0004092704424510632,0.010298842040356249,-43.41528642177582,-0.03385569610691164,0.0291346,528,0.31640625,0.2,1257.0,-2.9236299230769234
35,17920,1826,9,-0.04253009706735611,-0.0006067752838134766,0.9810418486595154,0.0004092704424510632,0.005605857833870687,-43.36954963207245,-0.025142217709799297,0.019752836,544,0.2384033203125,0.2,1257.0,-2.934138571428572
36,18432,1825,10,0.059516146779060364,0.0002875328063964844,0.9815267324447632,0.0004092704424510632,0.21748747490346432,-43.360162138938904,-0.029041535075521097,0.019680047,560,0.2349853515625,0.2,1257.0,-2.934138571428572
37,18944,1824,10,-0.03385646268725395,0.0018997788429260254,0.9800957441329956,0.0004092704424510632,0.0027158441153005697,-43.35568583011627,-0.028480235603637993,0.024568733,576,0.243408203125,0.2,1257.0,-2.931849666666667
38,19456,1823,10,0.05544990301132202,0.0008134245872497559,0.9790472984313965,0.0004092704424510632,0.18578678695484996,-43.30470871925354,-0.026896119830780663,0.029539734,592,0.274169921875,0.2,1257.0,-2.931849666666667
39,19968,1822,10,-0.042611703276634216,-0.05531728267669678,0.9812987446784973,0.0004092704424510632,0.013336727017303929,-43.31605076789856,-0.022821846112492494,0.014642995,608,0.224609375,0.2,1257.0,-2.931849666666667
40,20480,1821,11,-0.04041963070631027,-0.001059412956237793,0.9818578362464905,0.0004092704424510632,0.005354171044018585,-43.37221336364746,-0.025550187165208627,0.018427195,624,0.2335205078125,0.2,1257.0,-2.93709375
41,20992,1821,11,0.0768062174320221,0.00025904178619384766,0.9822641015052795,0.0004092704424510632,0.23552912659943104,-43.379111886024475,-0.024906359991291538,0.01882895,640,0.227783203125,0.2,1257.0,-2.93709375
42,21504,1820,11,-0.025446010753512383,-0.0023736953735351562,0.9806514382362366,0.0004092704424510632,0.00359479509643279,-43.364970207214355,-0.02289741467393469,0.018735193,656,0.2083740234375,0.2,1257.0,-2.937929294117647
43,22016,1821,12,0.06897281855344772,0.0005481243133544922,0.9793885350227356,0.0004092704424510632,0.20902743004262447,-43.31146681308746,-0.02655553779914044,0.017441273,672,0.216552734375,0.2,1257.0,-2.937929294117647
44,22528,1822,12,-0.024697979912161827,-0.00322568416595459,0.978625476360321,0.0004092704424510632,0.015171917126281187,-43.28027367591858,-0.023118191224057227,0.020224607,688,0.232421875,0.2,1257.0,-2.937929294117647
45,23040,1821,12,-0.04487605392932892,0.0012700557708740234,0.9779413342475891,0.0004092704424510632,0.007030237757135183,-43.262134313583374,-0.025048731884453446,0.01565373,704,0.2156982421875,0.2,1257.0,-2.94521
46,23552,1821,12,0.05411502346396446,0.00026416778564453125,0.9790928363800049,0.0004092704424510632,0.2545056096278131,-43.2605265378952,-0.03085398977418663,0.027498435,720,0.2926025390625,0.2,1257.0,-2.94521
47,24064,1823,13,-0.029348760843276978,-0.0024961233139038086,0.979396402835846,0.0004092704424510632,0.004641016908863094,-43.295000314712524,-0.021756190370069817,0.012816833,736,0.2000732421875,0.2,1257.0,-2.9537974736842103
48,24576,1825,13,0.07278719544410706,0.0004906058311462402,0.9795825481414795,0.0004092704424510632,0.23507461231201887,-43.29629099369049,-0.0246135450724978,0.022669058,752,0.2384033203125,0.2,1257.0,-2.9537974736842103
49,25088,1827,13,-0.024816812947392464,-0.005307435989379883,0.9796028733253479,0.0004092704424510632,0.015136833186261356,-43.29770028591156,-0.02553750704100821,0.021444522,768,0.2611083984375,0.2,1257.0,-2.9537974736842103
50,25600,1828,13,-0.02560821734368801,0.00037425756454467773,0.9791769981384277,0.0004092704424510632,0.006643339183938224,-43.298991680145264,-0.025027148163644597,0.015629385,784,0.20947265625,0.2,1257.0,-2.96235895
51,26112,1830,14,0.13094490766525269,0.00028061866760253906,0.9784569144248962,0.0004092704424510632,0.26843291567638516,-43.279956459999084,-0.024567336688051,0.026700996,800,0.2674560546875,0.2,1257.0,-2.96235895
52,26624,1832,14,-0.032766956835985184,0.00017589330673217773,0.9790059924125671,0.0004092704424510632,0.005883416146389209,-43.271448731422424,-0.025634075129346456,0.014492448,816,0.225341796875,0.2,1257.0,-2.9732143333333334
53,27136,1834,14,0.11320202797651291,0.0007489919662475586,0.9774555563926697,0.0004092704424510632,0.27646657451987267,-43.272302746772766,-0.021776197652798146,0.016334435,832,0.224853515625,0.2,1257.0,-2.9732143333333334
54,27648,1836,15,-0.03806455805897713,-0.01709580421447754,0.9769872426986694,0.0004092704424510632,0.011001206788932905,-43.2260684967041,-0.0253060688264668,0.021706311,848,0.275146484375,0.2,1257.0,-2.9732143333333334
55,28160,1839,15,-0.03517980873584747,0.002485513687133789,0.9782420992851257,0.0004092704424510632,0.006790986197302118,-43.23920214176178,-0.02355164775508456,0.01492054,864,0.223876953125,0.2,1257.0,-2.9718710909090906
56,28672,1841,15,0.0008499734103679657,0.00015985965728759766,0.9796660542488098,0.0004092704424510632,0.08767651428934187,-43.283645033836365,-0.021664120082277805,0.028537733,880,0.2913818359375,0.2,1257.0,-2.9718710909090906
57,29184,1842,15,-0.03721589595079422,0.0010333061218261719,0.9808717370033264,0.0004092704424510632,0.0061109218950150535,-43.3293616771698,-0.024559893790865317,0.023024566,896,0.23779296875,0.2,1257.0,-2.978648869565217
58,29696,1843,16,0.14216744899749756,0.00017243623733520508,0.9802649021148682,0.0004092704424510632,0.34174020681530237,-43.338258385658264,-0.02799326847161865,0.026396874,912,0.247802734375,0.2,1257.0,-2.978648869565217
59,30208,1844,16,-0.03683479502797127,-0.0007078647613525391,0.9801878333091736,0.0004092704424510632,0.007682693518290762,-43.32617795467377,-0.030259225677582435,0.033025805,928,0.315185546875,0.2,1257.0,-2.979630416666667
60,30720,1847,16,0.15287631750106812,0.0004210472106933594,0.9791797995567322,0.0004092704424510632,0.3298579677939415,-43.31668543815613,-0.02609207974455785,0.02567703,944,0.2625732421875,0.2,1257.0,-2.979630416666667
61,31232,1849,16,-0.038697920739650726,-0.04305899143218994,0.9794941544532776,0.0004092704424510632,0.013135129353031516,-43.29455351829529,-0.03500597931270022,0.032192856,960,0.3231201171875,0.2,1257.0,-2.979630416666667
62,31744,1848,17,-0.032469287514686584,0.0005530118942260742,0.9782618880271912,0.0004092704424510632,0.0055214647654793225,-43.29282820224762,-0.02245226371451281,0.01670477,976,0.195556640625,0.2,1257.0,-2.9765546400000007
63,32256,1849,17,0.1509602665901184,0.00019723176956176758,0.9761965274810791,0.0004092704424510632,0.38248157780617476,-43.23803973197937,-0.02483630453934893,0.024536256,992,0.239501953125,0.2,1257.0,-2.9765546400000007
64,32768,1849,17,-0.033879607915878296,-0.10236597061157227,0.9765021204948425,0.0004092704424510632,0.0024141766407410614,-43.198800921440125,-0.025592151941964403,0.018217776,1008,0.2384033203125,0.2,1257.0,-2.972844538461539
65,33280,1849,17,0.13944047689437866,0.0002396702766418457,0.9757612347602844,0.0004092704424510632,0.3403552956879139,-43.20437502861023,-0.021827444092195947,0.018493176,1024,0.2108154296875,0.2,1257.0,-2.972844538461539
66,33792,1844,18,-0.031598322093486786,-0.014267563819885254,0.9759559631347656,0.0004092704424510632,0.012278869020519778,-43.18190050125122,-0.026114805426914245,0.025099508,1040,0.2581787109375,0.2,1257.0,-2.972844538461539
67,34304,1843,18,-0.033919915556907654,0.00036138296127319336,0.9769091010093689,0.0004092704424510632,0.006222915668331552,-43.201059103012085,-0.023970370180904865,0.015406173,1056,0.2244873046875,0.2,1257.0,-2.975419925925926
68,34816,1843,18,0.16186562180519104,6.449222564697266e-05,0.9771184325218201,0.0004092704424510632,0.38961601443588734,-43.215059876441956,-0.024065431745839305,0.018670335,1072,0.2254638671875,0.2,1257.0,-2.975419925925926
69,35328,1844,19,-0.03836246579885483,3.266334533691406e-05,0.9756471514701843,0.0004092704424510632,0.006133608825621195,-43.20153570175171,-0.023987074848264456,0.0179793,1088,0.2154541015625,0.2,1257.0,-2.978573035714286
70,35840,1845,19,0.06680136919021606,7.671117782592773e-05,0.9744541049003601,0.0004092704424510632,0.34665765473619103,-43.150654673576355,-0.027919195927097462,0.027347192,1104,0.2769775390625,0.2,1257.0,-2.978573035714286
71,36352,1846,19,-0.023069433867931366,-0.00047397613525390625,0.9736301898956299,0.0004092704424510632,0.011679696617648005,-43.1176723241806,-0.02717006381135434,0.017825196,1120,0.2159423828125,0.2,1257.0,-2.978573035714286
72,36864,1847,19,-0.027098948135972023,0.00040787458419799805,0.9731066226959229,0.0004092704424510632,0.0056619947499712,-43.09516000747681,-0.027380406972952187,0.024900766,1136,0.2557373046875,0.2,1257.0,-2.971621310344828
73,37376,1849,20,0.13646459579467773,6.091594696044922e-05,0.971216082572937,0.0004092704424510632,0.3953723171725869,-43.0617253780365,-0.026238616177579388,0.022150729,1152,0.251953125,0.2,1257.0,-2.971621310344828
74,37888,1851,20,-0.04262959212064743,0.0005395412445068359,0.9716014266014099,0.0004092704424510632,0.006938969403563533,-43.0229389667511,-0.027255504464847036,0.017406788,1168,0.2198486328125,0.2,1257.0,-2.9773242
75,38400,1852,20,0.10527016222476959,9.137392044067383e-05,0.9698097705841064,0.0004092704424510632,0.34944479167461395,-43.02288234233856,-0.02679252617235761,0.033067413,1184,0.2618408203125,0.2,1257.0,-2.9773242
76,38912,1852,21,-0.02156069502234459,-0.00025022029876708984,0.9698801636695862,0.0004092704424510632,0.01658731998759322,-42.96959352493286,-0.022972428851062432,0.022645539,1200,0.2239990234375,0.2,1257.0,-2.9773242
77,39424,1851,21,-0.04455079510807991,0.0004724264144897461,0.9709843993186951,0.0004092704424510632,0.005154012244020123,-43.00562942028046,-0.03333851823117584,0.018651025,1216,0.2652587890625,0.2,1257.0,-2.9773371935483874
78,39936,1848,21,0.17644888162612915,6.783008575439453e-05,0.9724861979484558,0.0004092704424510632,0.37569445464760065,-43.04248368740082,-0.02772235037991777,0.022250053,1232,0.23974609375,0.2,1257.0,-2.9773371935483874
79,40448,1847,21,-0.0353713296353817,3.5822391510009766e-05,0.9712669849395752,0.0004092704424510632,0.0053351963069872,-43.05225396156311,-0.024866954394383356,0.022816245,1248,0.249267578125,0.2,1257.0,-2.97657521875
80,40960,1846,22,0.147722065448761,9.202957153320312e-05,0.9703564643859863,0.0004092704424510632,0.37676342763006687,-43.007449984550476,-0.02658331386919599,0.015240194,1264,0.225830078125,0.2,1257.0,-2.97657521875
81,41472,1845,22,-0.03318703547120094,-0.00010883808135986328,0.9700450301170349,0.0004092704424510632,0.012454019219148904,-42.981924533843994,-0.02845716530282516,0.026145753,1280,0.293701171875,0.2,1257.0,-2.97657521875
