time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/loss,train/explained_variance,train/std,train/learning_rate,train/value_loss,train/entropy_loss,train/policy_gradient_loss,train/approx_kl,train/n_updates,train/clip_fraction,train/clip_range,rollout/ep_len_mean,rollout/ep_rew_mean
1,512,4148,0,,,,,,,,,,,,,
2,1024,2678,0,-0.02990887314081192,-0.33225083351135254,0.9986239671707153,0.0004092704424510632,0.20815590186975896,-43.96728813648224,-0.03134881888399832,0.020486817,16,0.2811279296875,0.2,,
3,1536,2429,0,-0.03245610371232033,-0.0140610933303833,0.9982934594154358,0.0004092704424510632,0.006968953355681151,-43.93164777755737,-0.029136421260773204,0.017792694,32,0.2607421875,0.2,1257.0,-3.039643
4,2048,2323,0,-0.030208025127649307,0.006323397159576416,0.9987912774085999,0.0004092704424510632,0.019320310006150976,-43.93756663799286,-0.024274290190078318,0.020482872,48,0.274169921875,0.2,1257.0,-3.039643
5,2560,2267,1,-0.03357549011707306,0.002851247787475586,1.0011141300201416,0.0004092704424510632,0.006117701253970154,-43.97921311855316,-0.02683539901045151,0.03149744,64,0.328125,0.2,1257.0,-3.030354
6,3072,2225,1,-0.029958846047520638,-0.0019609928131103516,1.001242756843567,0.0004092704424510632,0.010016612068284303,-44.02476763725281,-0.031770078086992726,0.020648193,80,0.3011474609375,0.2,1257.0,-3.030354
7,3584,2201,1,-0.033949390053749084,0.0009248852729797363,1.002634048461914,0.0004092704424510632,0.013385221071075648,-44.037100315093994,-0.02554457432415802,0.013955519,96,0.2469482421875,0.2,1257.0,-3.030354
8,4096,2185,1,-0.024427620694041252,-0.0019434690475463867,1.0033488273620605,0.0004092704424510632,0.006197003662236966,-44.0778648853302,-0.028830057330196723,0.015698869,112,0.259033203125,0.2,1257.0,-3.0107389999999996
9,4608,2173,2,-0.024187881499528885,0.0031003952026367188,1.0057395696640015,0.0004092704424510632,0.009920547032379545,-44.114972949028015,-0.024138833483448252,0.022432841,128,0.262939453125,0.2,1257.0,-3.0107389999999996
10,5120,2160,2,-0.031771060079336166,0.0010774731636047363,1.0056666135787964,0.0004092704424510632,0.002413885569694685,-44.16431641578674,-0.027071321877883747,0.017434556,144,0.2515869140625,0.2,1257.0,-3.01790125
11,5632,2145,2,-0.04792920500040054,-0.0026363134384155273,1.003788709640503,0.0004092704424510632,0.0033577074646018445,-44.128109097480774,-0.03231001281528734,0.019121662,160,0.302734375,0.2,1257.0,-3.01790125
12,6144,2117,2,-0.011841089464724064,0.0016511082649230957,1.003456473350525,0.0004092704424510632,0.01588746116613038,-44.08227741718292,-0.021620793151669204,0.016075913,176,0.25146484375,0.2,1257.0,-3.01790125
13,6656,2090,3,-0.029975462704896927,-0.0008126497268676758,1.002841591835022,0.0004092704424510632,0.00610289355245186,-44.07613933086395,-0.027465716091683134,0.02336495,192,0.2921142578125,0.2,1257.0,-3.0604286000000003
14,7168,2074,3,-0.02620825171470642,0.0001423954963684082,1.003161907196045,0.0004092704424510632,0.02051971963373944,-44.06237816810608,-0.027227524711634032,0.038068555,208,0.328125,0.2,1257.0,-3.0604286000000003
