time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/clip_fraction,train/n_updates,train/learning_rate,train/value_loss,train/clip_range,train/policy_gradient_loss,train/loss,train/explained_variance,train/approx_kl,train/std,train/entropy_loss,rollout/ep_rew_mean,rollout/ep_len_mean
512,1,0,3828,,,,,,,,,,,,,
1024,2,0,1838,0.22216796875,16,0.0004092704424510632,0.22661870912634186,0.2,-0.03040872630663216,-0.028764044865965843,-1.194697380065918,0.013939905,1.0000219345092773,-43.9865517616272,,
1536,3,0,1587,0.2679443359375,32,0.0004092704424510632,0.004686998938268516,0.2,-0.027846919983858243,-0.03869258984923363,0.0033641457557678223,0.02226768,1.000282645225525,-43.991307735443115,-2.564511,1258.0
2048,4,1,1488,0.2784423828125,48,0.0004092704424510632,0.004537894266832154,0.2,-0.03287788390298374,-0.04123581200838089,0.0057212114334106445,0.022601828,0.9997833371162415,-43.98665428161621,-2.564511,1258.0
2560,5,1,1430,0.2335205078125,64,0.0004092704424510632,0.0033933022859855555,0.2,-0.02648491047148127,-0.03663366287946701,0.01385873556137085,0.01589424,0.9994747042655945,-43.97413790225983,-2.464994,1258.0
3072,6,2,1394,0.2545166015625,80,0.0004092704424510632,0.005740092150517739,0.2,-0.024956094683147967,-0.030354686081409454,0.003553152084350586,0.015376622,0.9989985227584839,-43.95898461341858,-2.464994,1258.0
3584,7,2,1371,0.310791015625,96,0.0004092704424510632,0.0043290449102642015,0.2,-0.028218942519742996,-0.0389082245528698,0.002807140350341797,0.020719886,0.9979650378227234,-43.9391827583313,-2.464994,1258.0
4096,8,3,1354,0.232177734375,112,0.0004092704424510632,0.0024279165918414947,0.2,-0.025250490827602334,-0.036963872611522675,0.00658571720123291,0.016215105,0.9979197978973389,-43.91341948509216,-2.4575596666666666,1258.0
4608,9,3,1339,0.2540283203125,128,0.0004092704424510632,0.010686805559089407,0.2,-0.022221998980967328,-0.006951173767447472,0.002116858959197998,0.014246598,0.9978715181350708,-43.91602635383606,-2.4575596666666666,1258.0
5120,10,3,1328,0.2432861328125,144,0.0004092704424510632,0.006287197640631348,0.2,-0.027135081225424074,-0.03382934257388115,0.007091104984283447,0.015780736,0.9960346817970276,-43.889023542404175,-2.4647965,1258.0
