rollout/ep_rew_mean,train/ent_coef_loss,train/n_updates,time/episodes,time/time_elapsed,time/total_timesteps,train/learning_rate,rollout/ep_len_mean,train/ent_coef,train/actor_loss,train/critic_loss,time/fps
-4.374577,-175.6966094970703,4927,4,169,5028,0.0008459126528049375,1257.0,0.017407624050974846,-124.33509826660156,1.5738805532455444,29
-3.42634025,9.884528160095215,9955,8,316,10056,0.0008459126528049375,1257.0,0.0010092102456837893,-132.27069091796875,1.0794849395751953,31
-2.8818514166666667,104.20710754394531,14983,12,463,15084,0.0008459126528049375,1257.0,0.0009379050461575389,-138.0574493408203,1.7719676494598389,32
-2.6401579375,8.903000831604004,20011,16,610,20112,0.0008459126528049375,1257.0,0.0006362338899634778,-140.64891052246094,3.997175693511963,32
-2.4365051500000003,23.331029891967773,25039,20,4,25140,0.0008459126528049375,1257.0,0.0009766742587089539,-138.38673400878906,5.369110107421875,34
-2.2718587083333333,46.95824432373047,30067,24,151,30168,0.0008459126528049375,1257.0,0.0013427132507786155,-145.44984436035156,3.8662915229797363,34
-2.208727392857143,-47.013187408447266,35095,28,311,35196,0.0008459126528049375,1257.0,0.0009790242183953524,-143.6377716064453,3.2010412216186523,32
-2.11415925,23.96658706665039,40123,32,457,40224,0.0008459126528049375,1257.0,0.001055483939126134,-138.38497924804688,9.742603302001953,33
-2.057852638888889,36.534420013427734,45151,36,603,45252,0.0008459126528049375,1257.0,0.001032436266541481,-130.2005615234375,11.906208038330078,33
-2.090234375,34.599449157714844,50179,40,8,50280,0.0008459126528049375,1257.0,0.0006554104620590806,-128.0269317626953,4.478786468505859,34
-2.0561393863636366,5.993302345275879,55207,44,155,55308,0.0008459126528049375,1257.0,0.0008190346416085958,-124.05016326904297,3.812720775604248,34
-2.0340208958333332,21.532560348510742,60235,48,315,60336,0.0008459126528049375,1257.0,0.0006818135734647512,-119.13121795654297,5.0871968269348145,32
-1.9999724038461542,-37.9319953918457,65263,52,499,65364,0.0008459126528049375,1257.0,0.0014576141256839037,-112.05533599853516,22.04589080810547,30
-1.9826733571428572,51.01565170288086,70291,56,684,70392,0.0008459126528049375,1257.0,0.0014522699639201164,-100.478271484375,14.582727432250977,29
-1.9701931666666668,52.92626190185547,75319,60,15,75420,0.0008459126528049375,1257.0,0.0007596980431117117,-99.3115234375,2.701777458190918,26
-1.96212196875,-13.97607421875,80347,64,195,80448,0.0008459126528049375,1257.0,0.0016997387865558267,-90.12564849853516,8.230979919433594,27
-1.955687205882353,-29.629501342773438,85375,68,373,85476,0.0008459126528049375,1257.0,0.0021356455981731415,-76.15827941894531,8.187175750732422,28
