train/actor_loss,time/episodes,train/n_updates,time/time_elapsed,train/ent_coef_loss,train/critic_loss,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/ent_coef
-123.1119613647461,4,4791,155,-159.04493713378906,2.3141067028045654,1223.0,31,4892,0.0008459126528049375,-4.33155575,0.01933417282998562
-129.5376739501953,8,9683,315,-60.54496383666992,50.2489013671875,1223.0,31,9784,0.0008459126528049375,-3.262734,0.001533192815259099
-134.28286743164062,12,14575,473,1.956644892692566,50.17472839355469,1223.0,31,14676,0.0008459126528049375,-2.565553916666667,0.0007634311332367361
-138.94068908691406,16,19467,635,1.6403239965438843,3.4679317474365234,1223.0,30,19568,0.0008459126528049375,-2.2219815,0.0011149061610922217
-140.1197052001953,20,24359,797,-24.187328338623047,5.942508697509766,1223.0,30,24460,0.0008459126528049375,-2.05780535,0.0005003620171919465
-137.7656707763672,24,29251,141,4.828437805175781,7.998959541320801,1223.0,30,29352,0.0008459126528049375,-1.958734,0.0004471598076634109
-136.4533233642578,28,34143,300,17.807720184326172,11.546951293945312,1223.0,30,34244,0.0008459126528049375,-1.8492622142857145,0.0010226067388430238
-138.3484649658203,32,39035,453,19.681846618652344,6.209287643432617,1223.0,31,39136,0.0008459126528049375,-1.790518375,0.0006946537178009748
-135.24737548828125,36,43927,611,79.97998046875,6.710659027099609,1223.0,31,44028,0.0008459126528049375,-1.743179111111111,0.0005366475670598447
-133.3657989501953,40,48819,771,-77.2367172241211,2.887058734893799,1223.0,31,48920,0.0008459126528049375,-1.7059255,0.00044601308763958514
-106.34626770019531,44,53711,117,-60.81751251220703,7.434162139892578,1223.0,32,53812,0.0008459126528049375,-1.651763022727273,0.0015040845610201359
-86.60096740722656,48,58603,271,156.27503967285156,30.932273864746094,1223.0,32,58704,0.0008459126528049375,-1.6299131458333334,0.0013103598030284047
-86.84963989257812,52,63495,431,-10.12520980834961,1.7058508396148682,1223.0,31,63596,0.0008459126528049375,-1.6052337500000002,0.00103859999217093
-85.59453582763672,56,68387,586,-8.911003112792969,1.0813119411468506,1223.0,31,68488,0.0008459126528049375,-1.5883975535714288,0.0007606089347973466
-71.37696838378906,60,73279,740,-10.3369140625,1.328662395477295,1223.0,31,73380,0.0008459126528049375,-1.5652129333333333,0.0007412572158500552
-61.09257125854492,64,78171,111,-33.731117248535156,6.5209760665893555,1223.0,29,78272,0.0008459126528049375,-1.542963109375,0.0025504776276648045
-54.9726676940918,68,83063,281,7.127065658569336,5.094252586364746,1223.0,28,83164,0.0008459126528049375,-1.52777825,0.0004360883613117039
-48.465694427490234,72,87955,446,180.10025024414062,13.355206489562988,1223.0,29,88056,0.0008459126528049375,-1.5068800416666666,0.0005272190319374204
-44.14529037475586,76,92847,613,12.79760456085205,4.830117225646973,1223.0,29,92948,0.0008459126528049375,-1.496833960526316,0.0008831244776956737
-40.702064514160156,80,97739,777,-38.31834411621094,1.0272257328033447,1223.0,29,97840,0.0008459126528049375,-1.4908337875000002,0.0014722748892381787
