train/actor_loss,time/episodes,train/n_updates,time/time_elapsed,train/ent_coef_loss,train/critic_loss,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/ent_coef
-121.1943130493164,4,4791,151,-164.72613525390625,0.9101524949073792,1223.0,32,4892,0.0008459126528049375,-4.561126,0.0192707572132349
-126.06156921386719,8,9683,273,-59.66118621826172,3.3898262977600098,1223.0,35,9784,0.0008459126528049375,-3.7217635,0.0011747601674869657
-130.51174926757812,12,14575,391,17.168039321899414,3.8926877975463867,1223.0,37,14676,0.0008459126528049375,-2.992676583333333,0.0012170815607532859
-132.88340759277344,16,19467,533,70.29817962646484,4.692007064819336,1223.0,36,19568,0.0008459126528049375,-2.584971875,0.0008796437177807093
-132.71592712402344,20,24359,643,-0.06470382213592529,49.21319580078125,1223.0,38,24460,0.0008459126528049375,-2.32274705,0.001356381457298994
-126.01296997070312,24,29251,137,-43.9560546875,5.9850592613220215,1223.0,31,29352,0.0008459126528049375,-2.1670634583333332,0.0014621319714933634
-117.68856048583984,28,34143,281,21.74510955810547,5.980299949645996,1223.0,32,34244,0.0008459126528049375,-2.0370403928571426,0.0004997415817342699
-93.99362182617188,32,39035,433,156.7044219970703,23.575668334960938,1223.0,32,39136,0.0008459126528049375,-1.92649115625,0.0016494548181071877
-89.55186462402344,36,43927,584,101.43537902832031,4.479946613311768,1223.0,32,44028,0.0008459126528049375,-1.8530509444444445,0.0006256365450099111
-89.37409210205078,40,48819,712,13.185253143310547,5.7262864112854,1223.0,33,48920,0.0008459126528049375,-1.7898953749999997,0.0006117877783253789
-75.87850952148438,44,53711,108,3.9351730346679688,2.4761335849761963,1223.0,35,53812,0.0008459126528049375,-1.7453070454545454,0.0007194309146143496
-66.74659729003906,48,58603,239,-25.124513626098633,23.41041374206543,1223.0,36,58704,0.0008459126528049375,-1.7017637708333335,0.000596678932197392
-65.28902435302734,52,63495,349,38.30889129638672,12.229970932006836,1223.0,38,63596,0.0008459126528049375,-1.6769889615384617,0.0005229578237049282
-61.41416549682617,56,68387,459,-12.955618858337402,10.19709300994873,1223.0,40,68488,0.0008459126528049375,-1.6774454107142855,0.0006222596857696772
-57.021915435791016,60,73279,571,131.72926330566406,0.5897413492202759,1223.0,40,73380,0.0008459126528049375,-1.6562648333333327,0.0002939942351076752
-54.28786849975586,64,78171,109,6.442912578582764,4.890015602111816,1223.0,29,78272,0.0008459126528049375,-1.639100390625,0.00039368082070723176
-45.29419708251953,68,83063,276,-108.2275390625,2.9257712364196777,1223.0,29,83164,0.0008459126528049375,-1.619584338235294,0.0007350830710493028
-44.791072845458984,72,87955,446,-18.972122192382812,1.1587601900100708,1223.0,29,88056,0.0008459126528049375,-1.5988679166666666,0.00041033298475667834
-41.7301139831543,76,92847,615,88.5514144897461,2.416592597961426,1223.0,29,92948,0.0008459126528049375,-1.5868857105263157,0.00035741020110435784
-39.714637756347656,80,97739,765,-12.863838195800781,0.7160667181015015,1223.0,29,97840,0.0008459126528049375,-1.588482375,0.00022548006381839514
