train/actor_loss,time/episodes,train/n_updates,time/time_elapsed,train/ent_coef_loss,train/critic_loss,rollout/ep_len_mean,time/fps,time/total_timesteps,train/learning_rate,rollout/ep_rew_mean,train/ent_coef
-120.12992858886719,4,4791,141,-180.29995727539062,49.7376708984375,1223.0,34,4892,0.0008459126528049375,-4.28983025,0.01936725713312626
-127.80528259277344,8,9683,270,40.40629196166992,2.342543840408325,1223.0,36,9784,0.0008459126528049375,-3.3975934999999997,0.001254395698197186
-131.64273071289062,12,14575,410,-39.09413528442383,3.46791410446167,1223.0,35,14676,0.0008459126528049375,-2.8337375,0.001434761332347989
-127.73175048828125,16,19467,566,53.411067962646484,13.077990531921387,1223.0,34,19568,0.0008459126528049375,-2.542568,0.001443154993467033
-115.68067932128906,20,24359,725,41.97759246826172,33.75716781616211,1223.0,33,24460,0.0008459126528049375,-2.31447555,0.0016227468149736524
-98.18671417236328,24,29251,138,74.97865295410156,25.664949417114258,1223.0,31,29352,0.0008459126528049375,-2.164659458333333,0.0019052907591685653
-93.257568359375,28,34143,278,-2.8610117435455322,11.230608940124512,1223.0,33,34244,0.0008459126528049375,-2.0423734999999996,0.0005698931054212153
-82.73210906982422,32,39035,434,-6.521419525146484,6.863664627075195,1223.0,32,39136,0.0008459126528049375,-1.95997665625,0.0006745781283825636
-81.6728744506836,36,43927,558,10.40524673461914,1.3228532075881958,1223.0,34,44028,0.0008459126528049375,-1.8703969444444448,0.000778542656917125
-80.17030334472656,40,48819,701,13.307058334350586,1.4223101139068604,1223.0,34,48920,0.0008459126528049375,-1.8149420749999998,0.0005936677916906774
-77.15266418457031,44,53711,118,51.717041015625,0.9890990257263184,1223.0,32,53812,0.0008459126528049375,-1.7857524090909087,0.00026426155818626285
-76.44221496582031,48,58603,268,-90.58317565917969,3.5557892322540283,1223.0,32,58704,0.0008459126528049375,-1.736589875,0.0008624789188615978
-77.25203704833984,52,63495,429,-29.568134307861328,8.406869888305664,1223.0,31,63596,0.0008459126528049375,-1.6927839615384612,0.0008280756883323193
-68.86962890625,56,68387,578,-11.46401596069336,7.370131492614746,1223.0,31,68488,0.0008459126528049375,-1.6465319642857144,0.0007218989194370806
-59.023292541503906,60,73279,737,-22.464757919311523,2.0097548961639404,1223.0,31,73380,0.0008459126528049375,-1.61131695,0.0006030239164829254
-60.26220703125,64,78171,101,-40.31622314453125,2.6345438957214355,1223.0,32,78272,0.0008459126528049375,-1.583502453125,0.0008459922973997891
-57.64110565185547,68,83063,270,25.609222412109375,19.088396072387695,1223.0,30,83164,0.0008459126528049375,-1.5716379411764705,0.0004857573949266225
-51.9448127746582,72,87955,435,-2.611929178237915,28.55100440979004,1223.0,29,88056,0.0008459126528049375,-1.5455875416666665,0.0012267378624528646
-46.00437545776367,76,92847,608,-15.309903144836426,4.130425930023193,1223.0,29,92948,0.0008459126528049375,-1.5256067368421051,0.0012078313156962395
-39.786746978759766,80,97739,781,32.93789291381836,3.221160411834717,1223.0,29,97840,0.0008459126528049375,-1.510064425,0.0008529345504939556
