train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,time/fps,train/critic_loss,time/episodes,rollout/ep_len_mean,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef,time/total_timesteps
-121.82535552978516,-4.28958025,367,13,1.9123761653900146,4,1257.0,4927,-185.8995361328125,0.0008459126528049375,0.016843117773532867,5028
-126.2959976196289,-3.58507675,742,13,1.1079351902008057,8,1257.0,9955,-81.5586166381836,0.0008459126528049375,0.000688716652803123,10056
-129.12677001953125,-2.8668674166666666,1106,13,6.162258148193359,12,1257.0,14983,25.51937484741211,0.0008459126528049375,0.0011073836358264089,15084
-126.11166381835938,-2.6041033125,1470,13,16.621912002563477,16,1257.0,20011,12.633423805236816,0.0008459126528049375,0.0006579480832442641,20112
-123.77880859375,-2.3423108,10,13,4.887617111206055,20,1257.0,25039,-11.790355682373047,0.0008459126528049375,0.0007902684155851603,25140
-111.398193359375,-2.16453,378,13,4.200111389160156,24,1257.0,30067,45.20030212402344,0.0008459126528049375,0.0006133998977020383,30168
-103.91275787353516,-2.0353459642857143,746,13,2.889173984527588,28,1257.0,35095,58.56975555419922,0.0008459126528049375,0.0005415238556452096,35196
-53.629737854003906,-1.93354765625,1119,13,24.861873626708984,32,1257.0,40123,-17.958677291870117,0.0008459126528049375,0.0012018472189083695,40224
-27.08141326904297,-1.869786861111111,1494,13,4.688529014587402,36,1257.0,45151,-51.593971252441406,0.0008459126528049375,0.00032068457221612334,45252
-19.155378341674805,-1.81938375,20,13,2.202622413635254,40,1257.0,50179,-53.83205032348633,0.0008459126528049375,0.00020909495651721954,50280
-11.590474128723145,-1.7808631590909088,397,13,2.3811917304992676,44,1257.0,55207,-48.12860870361328,0.0008459126528049375,0.00019810727098956704,55308
-9.089397430419922,-1.7500868333333333,775,13,0.9889862537384033,48,1257.0,60235,-44.377281188964844,0.0008459126528049375,0.0002479424583725631,60336
-3.110614538192749,-1.7236693076923073,1154,13,4.462408065795898,52,1257.0,65263,38.25508499145508,0.0008459126528049375,0.00021158250456210226,65364
1.1219956874847412,-1.6836516428571429,1537,13,0.9226664304733276,56,1257.0,70291,-6.827798366546631,0.0008459126528049375,0.0001974531332962215,70392
5.672053337097168,-1.6414962333333334,33,12,2.806004047393799,60,1257.0,75319,48.297367095947266,0.0008459126528049375,0.0004688369226641953,75420
12.165124893188477,-1.6015813125,435,12,4.6781134605407715,64,1257.0,80347,18.726560592651367,0.0008459126528049375,0.0005750227137468755,80448
18.55608367919922,-1.5760700147058824,843,12,3.319293975830078,68,1257.0,85375,72.9291000366211,0.0008459126528049375,0.0004479340568650514,85476
24.301006317138672,-1.5536360277777779,1251,12,2.901787757873535,72,1257.0,90403,43.00567626953125,0.0008459126528049375,0.0006748962914571166,90504
29.41865348815918,-1.548240592105263,1665,12,6.114622116088867,76,1257.0,95431,23.131473541259766,0.0008459126528049375,0.0004358651058282703,95532
