time/episodes,train/ent_coef,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,train/actor_loss,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates
4,0.017364712432026863,2.022247314453125,0.0008459126528049375,-5.221734,1257.0,-184.4694061279297,-123.29996490478516,5028,69,72,4927
8,0.0010673478245735168,4.027448654174805,0.0008459126528049375,-4.2953434999999995,1257.0,87.83358764648438,-125.74424743652344,10056,68,146,9955
12,0.0005462762201204896,4.17902946472168,0.0008459126528049375,-3.602530166666666,1257.0,-67.36183166503906,-122.43060302734375,15084,68,220,14983
16,0.0008379310602322221,6.150867938995361,0.0008459126528049375,-3.1767932500000002,1257.0,-3.6733193397521973,-106.63035583496094,20112,68,294,20011
20,0.0010920836357399821,4.257238388061523,0.0008459126528049375,-2.9697118500000004,1257.0,38.64082336425781,-92.02859497070312,25140,68,2,25039
24,0.0011342235375195742,314.2557678222656,0.0008459126528049375,-2.8297835,1257.0,-31.889850616455078,-79.65338134765625,30168,67,76,30067
28,0.001683589769527316,15.983570098876953,0.0008459126528049375,-2.703824142857143,1257.0,31.20449447631836,-53.20135498046875,35196,67,150,35095
32,0.0006383985164575279,3.329150438308716,0.0008459126528049375,-2.65914625,1257.0,-72.28889465332031,-45.95354080200195,40224,67,224,40123
36,0.0005240066675469279,4.603240013122559,0.0008459126528049375,-2.581007138888889,1257.0,62.76564407348633,-39.64907455444336,45252,67,297,45151
40,0.0006294932099990547,2.970534563064575,0.0008459126528049375,-2.536523175,1257.0,12.264294624328613,-32.54914474487305,50280,67,4,50179
44,0.000706337857991457,2.436519145965576,0.0008459126528049375,-2.4870806136363637,1257.0,80.44892120361328,-28.27719497680664,55308,68,78,55207
48,0.0005296316812746227,4.382867813110352,0.0008459126528049375,-2.4429988750000002,1257.0,-62.96002960205078,-21.057979583740234,60336,68,151,60235
52,0.0007428909302689135,2.80969500541687,0.0008459126528049375,-2.4001576538461538,1257.0,39.03427505493164,-17.370222091674805,65364,67,225,65263
56,0.001574813388288021,2.7629928588867188,0.0008459126528049375,-2.351325267857143,1257.0,-53.04195022583008,-16.412006378173828,70392,67,300,70291
60,0.0011046259896829724,21.729778289794922,0.0008459126528049375,-2.315833183333333,1257.0,-6.6027326583862305,-8.31988525390625,75420,66,6,75319
64,0.000738880829885602,5.097039222717285,0.0008459126528049375,-2.27370425,1257.0,8.921232223510742,-4.554196834564209,80448,64,84,80347
68,0.0007913978188298643,3.9157814979553223,0.0008459126528049375,-2.2445425882352943,1257.0,-21.103160858154297,1.4413323402404785,85476,64,162,85375
72,0.0013525746762752533,10.553243637084961,0.0008459126528049375,-2.2125970555555554,1257.0,-33.39640426635742,12.021147727966309,90504,65,237,90403
